,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar,1000,78436,0.15,targeted_informed,1000,0.07507113501196727,0.7433306942962377,0.61,0.61,0.10639528160055436
1,Golatkar,1000,78436,0.15,targeted_informed,2000,0.06521849299315363,0.7425906165020137,0.585,0.56,0.15620118712901898
2,Golatkar,1000,78436,0.15,targeted_informed,3000,0.06835847598267719,0.7419882275997384,0.5536666666666666,0.498,0.1967774793962416
3,Golatkar,1000,78436,0.15,targeted_informed,4000,0.07548090303316712,0.7411448831365529,0.53475,0.505,0.2536395538723493
4,Golatkar,1000,78436,0.15,targeted_informed,5000,0.06422661297256127,0.7408522942411621,0.5232,0.503,0.27338229502120104
5,Golatkar,1000,78436,0.15,targeted_informed,6000,0.06318029796238989,0.740611338680252,0.5253333333333333,0.575,0.2896468625451845
6,Golatkar,1000,78436,0.15,targeted_informed,7000,0.06550238298950717,0.7397335719940794,0.5332857142857143,0.617,0.34894100462549477
7,Golatkar,1000,78436,0.15,targeted_informed,8000,0.06376107397954911,0.7392344497607656,0.542125,0.644,0.38268856109100835
8,Golatkar,1000,78436,0.15,targeted_informed,9000,0.0636504830326885,0.7388558053079067,0.5502222222222222,0.657,0.408305301009167
9,Golatkar,1000,78436,0.15,targeted_informed,10000,0.06416792696109042,0.7382878386286187,0.5545,0.631,0.44675493461131965
10,Golatkar,1000,78436,0.15,targeted_informed,11000,0.06380781898042187,0.7378575608412792,0.5539090909090909,0.598,0.4759030550654621
11,Golatkar,1000,78436,0.15,targeted_informed,12000,0.06323566503124312,0.7371002719355616,0.5534166666666667,0.603,0.5272448552979975
12,Golatkar,1000,78436,0.15,targeted_informed,13000,0.06786271795863286,0.7363257719183505,0.5487692307692308,0.559,0.5798078152051415
13,Golatkar,1000,78436,0.15,targeted_informed,14000,0.06468906800728291,0.7354307941206844,0.5455,0.585,0.6406157351966583
14,Golatkar,1000,78436,0.15,targeted_informed,15000,0.06292801001109183,0.734707927437954,0.5446666666666666,0.618,0.6897835266200575
15,Golatkar,1000,78436,0.15,targeted_informed,16000,0.06289764499524608,0.7338990051977556,0.544375,0.608,0.7448616186774072
16,Golatkar,1000,78436,0.15,targeted_informed,17000,0.064286285021808,0.7331417162920382,0.5455882352941176,0.636,0.7964787256340369
17,Golatkar,1000,78436,0.15,targeted_informed,18000,0.06274874997325242,0.7324360607208014,0.5452222222222223,0.618,0.8446241131446801
18,Golatkar,1000,78436,0.15,targeted_informed,19000,0.06260217900853604,0.7318853051530068,0.5434736842105263,0.591,0.8822329701066384
19,Golatkar,1000,78436,0.15,targeted_informed,20000,0.0646239229827188,0.7311280162472893,0.543,0.623,0.9339909749186662
20,Golatkar,1000,78436,0.15,targeted_informed,21000,0.0628117069718428,0.7306116829024818,0.541,0.587,0.9693109843580532
21,Golatkar,1000,78436,0.15,targeted_informed,22000,0.061959573009517044,0.7303363051185846,0.5375909090909091,0.572,0.9881584320130631
22,Golatkar,1000,78436,0.15,targeted_informed,23000,0.06528383301338181,0.7297511273278028,0.5357391304347826,0.6,1.0282326303381175
23,Golatkar,1000,78436,0.15,targeted_informed,24000,0.06237696699099615,0.7290110495335789,0.5345,0.602,1.078960274644434
24,Golatkar,1000,78436,0.15,targeted_informed,25000,0.061709679022897035,0.7282537606278614,0.5316,0.568,1.130920391616231
25,Golatkar,1000,78436,0.15,targeted_informed,26000,0.07910709601128474,0.7278234828405219,0.5290384615384616,0.571,1.1604669915506745
26,Golatkar,1000,78436,0.15,targeted_informed,27000,0.06654994405107573,0.727444838387663,0.5281481481481481,0.593,1.186482284592097
27,Golatkar,1000,78436,0.15,targeted_informed,28000,0.06192043097689748,0.7267563939279199,0.5263214285714286,0.571,1.2338171143882926
28,Golatkar,1000,78436,0.15,targeted_informed,29000,0.06089735898422077,0.7259818939107088,0.5241034482758621,0.567,1.287121761718657
29,Golatkar,1000,78436,0.15,targeted_informed,30000,0.06125442695338279,0.7244328938762865,0.5200333333333333,0.533,1.393899639225977
30,Golatkar,1000,78436,0.15,targeted_informed,31000,0.06175981997512281,0.7237616605280369,0.5157096774193548,0.526,1.440240000937502
31,Golatkar,1000,78436,0.15,targeted_informed,32000,0.06068781699286774,0.7230215827338129,0.5105625,0.506,1.491382342595853
32,Golatkar,1000,78436,0.15,targeted_informed,33000,0.059985676023643464,0.7220233382671853,0.5058484848484849,0.499,1.560446780551902
33,Golatkar,1000,78436,0.15,targeted_informed,34000,0.06131176801864058,0.7213865271419229,0.5014411764705883,0.483,1.6045542578789806
34,Golatkar,1000,78436,0.15,targeted_informed,35000,0.060024553968105465,0.7206980826821796,0.4961714285714286,0.445,1.6522811344019732
35,Golatkar,1000,78436,0.15,targeted_informed,36000,0.059976106975227594,0.7196309937695776,0.4920833333333333,0.468,1.7263464679820915
36,Golatkar,1000,78436,0.15,targeted_informed,37000,0.062226557987742126,0.7192351382052253,0.4875405405405405,0.438,1.7538497707770044
37,Golatkar,1000,78436,0.15,targeted_informed,38000,0.06075033399974927,0.7182713159615848,0.48376315789473684,0.456,1.8208765615075178
38,Golatkar,1000,78436,0.15,targeted_informed,39000,0.05960162001429126,0.7174107603869058,0.4794871794871795,0.452,1.8807965726660718
39,Golatkar,1000,78436,0.15,targeted_informed,40000,0.061231550003867596,0.7163264603628102,0.473575,0.393,1.9563962733065572
40,Golatkar,1000,78436,0.15,targeted_informed,41000,0.0602704570046626,0.7154486936766377,0.46814634146341466,0.407,2.0176782557454316
41,Golatkar,1000,78436,0.15,targeted_informed,42000,0.059099540987517685,0.7143299714295549,0.46276190476190476,0.4,2.0958896031137595
42,Golatkar,1000,78436,0.15,targeted_informed,43000,0.059837354987394065,0.7129702936215621,0.4583720930232558,0.423,2.191108067905463
43,Golatkar,1000,78436,0.15,targeted_informed,44000,0.06060865294421092,0.7122818491618189,0.45284090909090907,0.374,2.2393877117142624
44,Golatkar,1000,78436,0.15,targeted_informed,45000,0.058898639981634915,0.7115245602561013,0.44808888888888887,0.388,2.292548037153459
45,Golatkar,1000,78436,0.15,targeted_informed,46000,0.05851534800603986,0.7106123713469416,0.4420217391304348,0.379,2.356655512067072
46,Golatkar,1000,78436,0.15,targeted_informed,47000,0.06367662199772894,0.7097001824377819,0.4361914893617021,0.38,2.4208433906005933
47,Golatkar,1000,78436,0.15,targeted_informed,48000,0.06201075401622802,0.7089601046435579,0.43083333333333335,0.385,2.4729795319214443
48,Golatkar,1000,78436,0.15,targeted_informed,49000,0.05944042204646394,0.7078758046194623,0.4264081632653061,0.391,2.5494609643407182
49,Golatkar,1000,78436,0.15,targeted_informed,50000,0.06262231699656695,0.7069980379332897,0.4214,0.372,2.611458172809065
50,Golatkar,1000,78436,0.15,targeted_informed,51000,0.05848862702259794,0.70608584902413,0.4162941176470588,0.374,2.6759661234075875
51,Golatkar,1000,78436,0.15,targeted_informed,52000,0.058814912976231426,0.7050703934460087,0.4118269230769231,0.395,2.7478723277980217
52,Golatkar,1000,78436,0.15,targeted_informed,53000,0.057354933000169694,0.7045368489897078,0.4069811320754717,0.373,2.785693929894553
53,Golatkar,1000,78436,0.15,targeted_informed,54000,0.06261480500688776,0.7034009156311315,0.4021851851851852,0.375,2.8663101604278047
54,Golatkar,1000,78436,0.15,targeted_informed,55000,0.06066141102928668,0.7025059378334653,0.3982909090909091,0.41,2.929915099051108
55,Golatkar,1000,78436,0.15,targeted_informed,56000,0.05845159001182765,0.7017830711507349,0.3929285714285714,0.343,2.981345769487009
56,Golatkar,1000,78436,0.15,targeted_informed,57000,0.05911019298946485,0.7011118378024853,0.3883859649122807,0.363,3.029148862730159
57,Golatkar,1000,78436,0.15,targeted_informed,58000,0.060701092006638646,0.7003545488967677,0.38424137931034485,0.379,3.0831338644564337
58,Golatkar,1000,78436,0.15,targeted_informed,59000,0.0577047030092217,0.6996488933255309,0.3793050847457627,0.355,3.1334890149168397
59,Golatkar,1000,78436,0.15,targeted_informed,60000,0.058742865978274494,0.6987539155278648,0.37385,0.331,3.197424892703861
60,Golatkar,1000,78436,0.15,targeted_informed,61000,0.06217073299922049,0.6974458710543527,0.36878688524590164,0.37,3.2910123621784124
61,Golatkar,1000,78436,0.15,targeted_informed,62000,0.059513715968932956,0.6968779043750646,0.3634193548387097,0.347,3.331701901612727
62,Golatkar,1000,78436,0.15,targeted_informed,63000,0.05798913002945483,0.6959485043544112,0.3580952380952381,0.355,3.398353978283977
63,Golatkar,1000,78436,0.15,targeted_informed,64000,0.05953029601369053,0.695053526556745,0.352765625,0.349,3.4626187772664805
64,Golatkar,1000,78436,0.15,targeted_informed,65000,0.0610688790329732,0.6943306598740147,0.3478769230769231,0.35,3.514583308419933
65,Golatkar,1000,78436,0.15,targeted_informed,66000,0.058592936024069786,0.6932635709614127,0.3428787878787879,0.343,3.5913883270903906
66,Golatkar,1000,78436,0.15,targeted_informed,67000,0.05948665598407388,0.6921964820488107,0.33686567164179104,0.324,3.6683074048791022
