,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar,100,4493,0.375,targeted_informed,100,0.13702591799665242,0.9692540322580645,0.87,0.87,0.026007802340701474
1,Golatkar,100,4493,0.375,targeted_informed,200,0.1225431669736281,0.9682459677419355,0.915,0.96,0.026021337496746594
2,Golatkar,100,4493,0.375,targeted_informed,300,0.12876944697927684,0.96875,0.93,0.99,0.0
3,Golatkar,100,4493,0.375,targeted_informed,400,0.12428237497806549,0.96875,0.9325,0.94,0.0
4,Golatkar,100,4493,0.375,targeted_informed,500,0.10597917798440903,0.967741935483871,0.93,0.93,0.052056220718374374
5,Golatkar,100,4493,0.375,targeted_informed,600,0.11546882300172001,0.9672379032258065,0.9333333333333333,0.96,0.0781046602447257
6,Golatkar,100,4493,0.375,targeted_informed,700,0.1283135029952973,0.9667338709677419,0.9314285714285714,0.93,0.10416666666666945
7,Golatkar,100,4493,0.375,targeted_informed,800,0.11156201700214297,0.9657258064516129,0.925,0.9,0.1563314226159471
8,Golatkar,100,4493,0.375,targeted_informed,900,0.11797644500620663,0.9642137096774194,0.9211111111111111,0.91,0.23468057366362355
9,Golatkar,100,4493,0.375,targeted_informed,1000,0.13469018501928076,0.9637096774193549,0.923,0.98,0.26082420448617466
10,Golatkar,100,4493,0.375,targeted_informed,1100,0.12385162501595914,0.9642137096774194,0.9227272727272727,0.94,0.23468057366362355
11,Golatkar,100,4493,0.375,targeted_informed,1200,0.11269132804591209,0.9632056451612904,0.9183333333333333,0.92,0.28698147665014107
12,Golatkar,100,4493,0.375,targeted_informed,1300,0.10504652897361666,0.9621975806451613,0.9146153846153846,0.93,0.3393369877316646
13,Golatkar,100,4493,0.375,targeted_informed,1400,0.0995728190173395,0.9621975806451613,0.9114285714285715,0.94,0.3393369877316646
14,Golatkar,100,4493,0.375,targeted_informed,1500,0.10691629600478336,0.9621975806451613,0.9073333333333333,0.92,0.3393369877316646
15,Golatkar,100,4493,0.375,targeted_informed,1600,0.0941989419516176,0.9616935483870968,0.899375,0.89,0.36553524804177656
16,Golatkar,100,4493,0.375,targeted_informed,1700,0.08732719096587971,0.9627016129032258,0.8964705882352941,0.91,0.3131524008350757
17,Golatkar,100,4493,0.375,targeted_informed,1800,0.09127677197102457,0.9616935483870968,0.8966666666666666,0.93,0.36553524804177656
18,Golatkar,100,4493,0.375,targeted_informed,1900,0.08954843797255307,0.9606854838709677,0.8921052631578947,0.9,0.4179728317659348
19,Golatkar,100,4493,0.375,targeted_informed,2000,0.09625946095911786,0.9601814516129032,0.8915,0.92,0.44421217663966445
20,Golatkar,100,4493,0.375,targeted_informed,2100,0.10701412596972659,0.9596774193548387,0.89,0.91,0.47046523784631283
21,Golatkar,100,4493,0.375,targeted_informed,2200,0.09924740000860766,0.9591733870967742,0.884090909090909,0.92,0.49673202614378825
22,Golatkar,100,4493,0.375,targeted_informed,2300,0.08279069600393996,0.9591733870967742,0.8817391304347826,0.95,0.49673202614378825
23,Golatkar,100,4493,0.375,targeted_informed,2400,0.08135287201730534,0.9581653225806451,0.8779166666666667,0.94,0.5493068270991385
24,Golatkar,100,4493,0.375,targeted_informed,2500,0.0659828229690902,0.9561491935483871,0.8732,0.87,0.6546216286986108
25,Golatkar,100,4493,0.375,targeted_informed,2600,0.06730719195911661,0.9546370967741935,0.8665384615384616,0.87,0.7337526205450756
26,Golatkar,100,4493,0.375,targeted_informed,2700,0.06178462697425857,0.9516129032258065,0.8585185185185186,0.88,0.8923884514435673
27,Golatkar,100,4493,0.375,targeted_informed,2800,0.06039935996523127,0.9516129032258065,0.8557142857142858,0.91,0.8923884514435673
28,Golatkar,100,4493,0.375,targeted_informed,2900,0.06043084996053949,0.9511088709677419,0.8517241379310345,0.93,0.9188763454975086
29,Golatkar,100,4493,0.375,targeted_informed,3000,0.059501973970327526,0.9495967741935484,0.847,0.89,0.9984235417761435
30,Golatkar,100,4493,0.375,targeted_informed,3100,0.05900439101969823,0.9465725806451613,0.8416129032258064,0.92,1.1578947368421073
31,Golatkar,100,4493,0.375,targeted_informed,3200,0.060388990968931466,0.9425403225806451,0.835,0.89,1.371308016877639
32,Golatkar,100,4493,0.375,targeted_informed,3300,0.08380158303771168,0.938508064516129,0.8281818181818181,0.9,1.5856236786469362
33,Golatkar,100,4493,0.375,targeted_informed,3400,0.0807336539728567,0.9339717741935484,0.8191176470588235,0.87,1.8278145695364245
34,Golatkar,100,4493,0.375,targeted_informed,3500,0.08747917995788157,0.9324596774193549,0.8114285714285714,0.91,1.9088016967126173
35,Golatkar,100,4493,0.375,targeted_informed,3600,0.07257588097127154,0.9274193548387096,0.7983333333333333,0.88,2.1796916533758663
36,Golatkar,100,4493,0.375,targeted_informed,3700,0.06458619801560417,0.9238911290322581,0.7910810810810811,0.95,2.3701731025299573
37,Golatkar,100,4493,0.375,targeted_informed,3800,0.05619227100396529,0.922883064516129,0.7823684210526316,0.92,2.4247268851585413
38,Golatkar,100,4493,0.375,targeted_informed,3900,0.0558683070121333,0.9168346774193549,0.7733333333333333,0.86,2.753274525527932
39,Golatkar,100,4493,0.375,targeted_informed,4000,0.05426587496185675,0.9107862903225806,0.75325,0.87,3.0839367122552974
40,Golatkar,100,4493,0.375,targeted_informed,4100,0.054459921026136726,0.9057459677419355,0.7324390243902439,0.84,3.3611185802635104
41,Golatkar,100,4493,0.375,targeted_informed,4200,0.05365473497658968,0.8986895161290323,0.715952380952381,0.89,3.7516869095816467
42,Golatkar,100,4493,0.375,targeted_informed,4300,0.053317527985200286,0.8946572580645161,0.7006976744186046,0.9,3.9761969164187185
43,Golatkar,100,4493,0.375,targeted_informed,4400,0.052380008972249925,0.8881048387096774,0.6879545454545455,0.89,4.343105320304019
44,Golatkar,100,4493,0.375,targeted_informed,4493,0.05235116102267057,0.875,0.6692632984642778,0.8279569892473119,5.084745762711865
