,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,1000,0.0772282739635557,0.7433306942962377,False,0.61,0.61,0.10639528160055436
1,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,2000,0.07031297002686188,0.7425906165020137,False,0.585,0.56,0.15620118712901898
2,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,3000,0.07015493098879233,0.7419882275997384,False,0.5536666666666666,0.498,0.1967774793962416
3,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,4000,0.07109096803469583,0.7411448831365529,False,0.53475,0.505,0.2536395538723493
4,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,5000,0.07017315196571872,0.7408522942411621,False,0.5232,0.503,0.27338229502120104
5,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,6000,0.07018044497817755,0.740611338680252,False,0.5253333333333333,0.575,0.2896468625451845
6,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,7000,0.07154590502614155,0.7397335719940794,False,0.5332857142857143,0.617,0.34894100462549477
7,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,8000,0.0716128500062041,0.7392344497607656,False,0.542125,0.644,0.38268856109100835
8,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,9000,0.07469411904457957,0.7388558053079067,False,0.5502222222222222,0.657,0.408305301009167
9,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,10000,0.07122962002176791,0.7382878386286187,False,0.5545,0.631,0.44675493461131965
10,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,11000,0.06964696402428672,0.7378575608412792,False,0.5539090909090909,0.598,0.4759030550654621
11,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,12000,98.6166467689909,0.7378747719527727,True,0.5621666666666667,0.618,0.0
