,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,100,0.07927412900608033,0.9692540322580645,False,0.87,0.87,0.026007802340701474
1,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,200,0.07657110202126205,0.9682459677419355,False,0.915,0.96,0.026021337496746594
2,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,300,0.07597510499181226,0.96875,False,0.93,0.99,0.0
3,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,400,0.07722008699784055,0.96875,False,0.9325,0.94,0.0
4,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,500,0.11466991098131984,0.967741935483871,False,0.93,0.93,0.052056220718374374
5,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,600,0.07331409398466349,0.9672379032258065,False,0.9333333333333333,0.96,0.0781046602447257
6,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,700,0.07347331801429391,0.9667338709677419,False,0.9314285714285714,0.93,0.10416666666666945
7,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,800,0.07286333898082376,0.9657258064516129,False,0.925,0.9,0.1563314226159471
8,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,900,0.07256134395720437,0.9642137096774194,False,0.9211111111111111,0.91,0.23468057366362355
9,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1000,0.07243495300645009,0.9637096774193549,False,0.923,0.98,0.26082420448617466
10,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1100,0.07152757397852838,0.9642137096774194,False,0.9227272727272727,0.94,0.23468057366362355
11,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1200,0.07072069501737133,0.9632056451612904,False,0.9183333333333333,0.92,0.28698147665014107
12,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1300,0.06544363597640768,0.9621975806451613,False,0.9146153846153846,0.93,0.3393369877316646
13,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1400,0.060042202996555716,0.9621975806451613,False,0.9114285714285715,0.94,0.3393369877316646
14,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1500,0.05874575499910861,0.9621975806451613,False,0.9073333333333333,0.92,0.3393369877316646
15,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1600,0.05858040403109044,0.9616935483870968,False,0.899375,0.89,0.36553524804177656
16,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1700,0.05917452397989109,0.9627016129032258,False,0.8964705882352941,0.91,0.3131524008350757
17,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1800,0.05858235701452941,0.9616935483870968,False,0.8966666666666666,0.93,0.36553524804177656
18,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,1900,0.09522242000093684,0.9606854838709677,False,0.8921052631578947,0.9,0.4179728317659348
19,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2000,0.08468994800932705,0.9601814516129032,False,0.8915,0.92,0.44421217663966445
20,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2100,0.0672624220023863,0.9596774193548387,False,0.89,0.91,0.47046523784631283
21,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2200,0.06865891697816551,0.9591733870967742,False,0.884090909090909,0.92,0.49673202614378825
22,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2300,0.0623169609461911,0.9591733870967742,False,0.8817391304347826,0.95,0.49673202614378825
23,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2400,9.08245554799214,0.9566532258064516,True,0.8745833333333334,0.95,0.0
24,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2500,0.06270902702817693,0.9561491935483871,False,0.8732,0.87,0.02635046113306908
25,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2600,0.09109344199532643,0.9546370967741935,False,0.8665384615384616,0.87,0.10548523206751335
26,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2700,0.0913629160495475,0.9516129032258065,False,0.8585185185185186,0.88,0.2641310089804526
27,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2800,0.0904647299903445,0.9516129032258065,False,0.8557142857142858,0.91,0.2641310089804526
28,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,2900,0.08943264500703663,0.9511088709677419,False,0.8517241379310345,0.93,0.290620871862619
29,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3000,0.09061211301013827,0.9495967741935484,False,0.847,0.89,0.3701745108408261
30,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3100,8.361594040005002,0.9440524193548387,True,0.8338709677419355,0.92,0.0
31,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3200,0.05541644198819995,0.9425403225806451,False,0.8353125,0.89,0.08014961261020932
32,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3300,0.05254402098944411,0.938508064516129,False,0.8281818181818181,0.9,0.2945113788487317
33,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3400,8.039076567976736,0.9324596774193549,True,0.8129411764705883,0.86,0.0
34,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3500,0.08576519502094015,0.9324596774193549,False,0.8122857142857143,0.92,0.0
35,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3600,0.07978820794960484,0.9274193548387096,False,0.7983333333333333,0.88,0.2710027100271045
36,Golatkar threshold: 0.5%,100,4493,0.375,targeted_informed,3700,0.08493370498763397,0.9238911290322581,False,0.7910810810810811,0.95,0.46158023350529337
