,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,1000,0.06666665396187454,0.7433306942962377,False,0.61,0.61,0.10639528160055436
1,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,2000,0.07080462999874726,0.7425906165020137,False,0.585,0.56,0.15620118712901898
2,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,3000,0.071552089008037,0.7419882275997384,False,0.5536666666666666,0.498,0.1967774793962416
3,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,4000,0.06909968802938238,0.7411448831365529,False,0.53475,0.505,0.2536395538723493
4,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,5000,0.06888805201742798,0.7408522942411621,False,0.5232,0.503,0.27338229502120104
5,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,6000,0.0647975750034675,0.740611338680252,False,0.5253333333333333,0.575,0.2896468625451845
6,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,7000,0.06418062502052635,0.7397335719940794,False,0.5332857142857143,0.617,0.34894100462549477
7,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,8000,0.0648104110150598,0.7392344497607656,False,0.542125,0.644,0.38268856109100835
8,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,9000,0.0663005939568393,0.7388558053079067,False,0.5502222222222222,0.657,0.408305301009167
9,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,10000,0.06966032803757116,0.7382878386286187,False,0.5545,0.631,0.44675493461131965
10,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,11000,0.06357591302366927,0.7378575608412792,False,0.5539090909090909,0.598,0.4759030550654621
11,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,12000,0.06358838803134859,0.7371002719355616,False,0.5534166666666667,0.603,0.5272448552979975
12,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,13000,0.06414284300990403,0.7363257719183505,False,0.5487692307692308,0.559,0.5798078152051415
13,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,14000,0.06258332601282746,0.7354307941206844,False,0.5455,0.585,0.6406157351966583
14,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,15000,0.06243727297987789,0.734707927437954,False,0.5446666666666666,0.618,0.6897835266200575
15,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,16000,0.06325737200677395,0.7338990051977556,False,0.544375,0.608,0.7448616186774072
