,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,100,0.09049862204119563,0.9692540322580645,False,0.87,0.87,0.026007802340701474
1,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,200,0.08131085999775678,0.9682459677419355,False,0.915,0.96,0.026021337496746594
2,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,300,0.07889873802196234,0.96875,False,0.93,0.99,0.0
3,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,400,0.0765475410153158,0.96875,False,0.9325,0.94,0.0
4,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,500,0.07598896697163582,0.967741935483871,False,0.93,0.93,0.052056220718374374
5,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,600,0.07585918600670993,0.9672379032258065,False,0.9333333333333333,0.96,0.0781046602447257
6,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,700,0.07501493202289566,0.9667338709677419,False,0.9314285714285714,0.93,0.10416666666666945
7,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,800,0.07218795397784561,0.9657258064516129,False,0.925,0.9,0.1563314226159471
8,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,900,0.06725566001841798,0.9642137096774194,False,0.9211111111111111,0.91,0.23468057366362355
9,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1000,0.06701626803260297,0.9637096774193549,False,0.923,0.98,0.26082420448617466
10,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1100,0.06538263196125627,0.9642137096774194,False,0.9227272727272727,0.94,0.23468057366362355
11,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1200,0.06555741204647347,0.9632056451612904,False,0.9183333333333333,0.92,0.28698147665014107
12,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1300,0.06162581202806905,0.9621975806451613,False,0.9146153846153846,0.93,0.3393369877316646
13,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1400,0.05986862099962309,0.9621975806451613,False,0.9114285714285715,0.94,0.3393369877316646
