,method,time,num_removes,remove_ratio,sampling_type,batch,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,nothing,0,78436,0.15,targeted_informed,1000,0.744914116553647,0.61,0.61
1,nothing,0,78436,0.15,targeted_informed,2000,0.744914116553647,0.5885,0.567
2,nothing,0,78436,0.15,targeted_informed,3000,0.744914116553647,0.5693333333333334,0.531
3,nothing,0,78436,0.15,targeted_informed,4000,0.744914116553647,0.55925,0.529
4,nothing,0,78436,0.15,targeted_informed,5000,0.744914116553647,0.5574,0.55
5,nothing,0,78436,0.15,targeted_informed,6000,0.744914116553647,0.5703333333333334,0.635
6,nothing,0,78436,0.15,targeted_informed,7000,0.744914116553647,0.5822857142857143,0.654
7,nothing,0,78436,0.15,targeted_informed,8000,0.744914116553647,0.595,0.684
8,nothing,0,78436,0.15,targeted_informed,9000,0.744914116553647,0.607,0.703
9,nothing,0,78436,0.15,targeted_informed,10000,0.744914116553647,0.6157,0.694
10,nothing,0,78436,0.15,targeted_informed,11000,0.744914116553647,0.6208181818181818,0.672
11,nothing,0,78436,0.15,targeted_informed,12000,0.744914116553647,0.6264166666666666,0.688
12,nothing,0,78436,0.15,targeted_informed,13000,0.744914116553647,0.629,0.66
13,nothing,0,78436,0.15,targeted_informed,14000,0.744914116553647,0.6339285714285714,0.698
14,nothing,0,78436,0.15,targeted_informed,15000,0.744914116553647,0.6398,0.722
15,nothing,0,78436,0.15,targeted_informed,16000,0.744914116553647,0.644625,0.717
16,nothing,0,78436,0.15,targeted_informed,17000,0.744914116553647,0.6500588235294118,0.737
17,nothing,0,78436,0.15,targeted_informed,18000,0.744914116553647,0.6548333333333334,0.736
18,nothing,0,78436,0.15,targeted_informed,19000,0.744914116553647,0.6578947368421053,0.713
19,nothing,0,78436,0.15,targeted_informed,20000,0.744914116553647,0.66185,0.737
20,nothing,0,78436,0.15,targeted_informed,21000,0.744914116553647,0.6644285714285715,0.716
21,nothing,0,78436,0.15,targeted_informed,22000,0.744914116553647,0.6665454545454546,0.711
22,nothing,0,78436,0.15,targeted_informed,23000,0.744914116553647,0.6697391304347826,0.74
23,nothing,0,78436,0.15,targeted_informed,24000,0.744914116553647,0.67375,0.766
24,nothing,0,78436,0.15,targeted_informed,25000,0.744914116553647,0.6774,0.765
25,nothing,0,78436,0.15,targeted_informed,26000,0.744914116553647,0.6803461538461538,0.754
26,nothing,0,78436,0.15,targeted_informed,27000,0.744914116553647,0.6838518518518518,0.775
27,nothing,0,78436,0.15,targeted_informed,28000,0.744914116553647,0.6861428571428572,0.748
28,nothing,0,78436,0.15,targeted_informed,29000,0.744914116553647,0.6881379310344827,0.744
29,nothing,0,78436,0.15,targeted_informed,30000,0.744914116553647,0.69,0.744
30,nothing,0,78436,0.15,targeted_informed,31000,0.744914116553647,0.6914516129032258,0.735
31,nothing,0,78436,0.15,targeted_informed,32000,0.744914116553647,0.692375,0.721
32,nothing,0,78436,0.15,targeted_informed,33000,0.744914116553647,0.6939090909090909,0.743
33,nothing,0,78436,0.15,targeted_informed,34000,0.744914116553647,0.6949117647058823,0.728
34,nothing,0,78436,0.15,targeted_informed,35000,0.744914116553647,0.6953142857142857,0.709
35,nothing,0,78436,0.15,targeted_informed,36000,0.744914116553647,0.6961666666666667,0.726
36,nothing,0,78436,0.15,targeted_informed,37000,0.744914116553647,0.6966216216216217,0.713
37,nothing,0,78436,0.15,targeted_informed,38000,0.744914116553647,0.6976578947368421,0.736
38,nothing,0,78436,0.15,targeted_informed,39000,0.744914116553647,0.6988205128205128,0.743
39,nothing,0,78436,0.15,targeted_informed,40000,0.744914116553647,0.698525,0.687
40,nothing,0,78436,0.15,targeted_informed,41000,0.744914116553647,0.699170731707317,0.725
41,nothing,0,78436,0.15,targeted_informed,42000,0.744914116553647,0.6998571428571428,0.728
42,nothing,0,78436,0.15,targeted_informed,43000,0.744914116553647,0.7004651162790698,0.726
43,nothing,0,78436,0.15,targeted_informed,44000,0.744914116553647,0.7011818181818181,0.732
44,nothing,0,78436,0.15,targeted_informed,45000,0.744914116553647,0.7022222222222222,0.748
45,nothing,0,78436,0.15,targeted_informed,46000,0.744914116553647,0.7027826086956521,0.728
46,nothing,0,78436,0.15,targeted_informed,47000,0.744914116553647,0.703404255319149,0.732
47,nothing,0,78436,0.15,targeted_informed,48000,0.744914116553647,0.704125,0.738
48,nothing,0,78436,0.15,targeted_informed,49000,0.744914116553647,0.7042857142857143,0.712
49,nothing,0,78436,0.15,targeted_informed,50000,0.744914116553647,0.70436,0.708
50,nothing,0,78436,0.15,targeted_informed,51000,0.744914116553647,0.7047254901960784,0.723
51,nothing,0,78436,0.15,targeted_informed,52000,0.744914116553647,0.7049038461538462,0.714
52,nothing,0,78436,0.15,targeted_informed,53000,0.744914116553647,0.7051132075471698,0.716
53,nothing,0,78436,0.15,targeted_informed,54000,0.744914116553647,0.7053518518518519,0.718
54,nothing,0,78436,0.15,targeted_informed,55000,0.744914116553647,0.705709090909091,0.725
55,nothing,0,78436,0.15,targeted_informed,56000,0.744914116553647,0.7055535714285714,0.697
56,nothing,0,78436,0.15,targeted_informed,57000,0.744914116553647,0.7053508771929825,0.694
57,nothing,0,78436,0.15,targeted_informed,58000,0.744914116553647,0.7057931034482758,0.731
58,nothing,0,78436,0.15,targeted_informed,59000,0.744914116553647,0.7059152542372882,0.713
59,nothing,0,78436,0.15,targeted_informed,60000,0.744914116553647,0.7059333333333333,0.707
60,nothing,0,78436,0.15,targeted_informed,61000,0.744914116553647,0.7060655737704918,0.714
61,nothing,0,78436,0.15,targeted_informed,62000,0.744914116553647,0.7061774193548387,0.713
62,nothing,0,78436,0.15,targeted_informed,63000,0.744914116553647,0.7064603174603175,0.724
63,nothing,0,78436,0.15,targeted_informed,64000,0.744914116553647,0.706140625,0.686
64,nothing,0,78436,0.15,targeted_informed,65000,0.744914116553647,0.7060615384615384,0.701
65,nothing,0,78436,0.15,targeted_informed,66000,0.744914116553647,0.7056969696969697,0.682
66,nothing,0,78436,0.15,targeted_informed,67000,0.744914116553647,0.7056417910447761,0.702
67,nothing,0,78436,0.15,targeted_informed,68000,0.744914116553647,0.7054705882352941,0.694
68,nothing,0,78436,0.15,targeted_informed,69000,0.744914116553647,0.7054347826086956,0.703
69,nothing,0,78436,0.15,targeted_informed,70000,0.744914116553647,0.7054857142857143,0.709
70,nothing,0,78436,0.15,targeted_informed,71000,0.744914116553647,0.7056197183098591,0.715
71,nothing,0,78436,0.15,targeted_informed,72000,0.744914116553647,0.7054027777777778,0.69
72,nothing,0,78436,0.15,targeted_informed,73000,0.744914116553647,0.7054657534246576,0.71
73,nothing,0,78436,0.15,targeted_informed,74000,0.744914116553647,0.7055810810810811,0.714
74,nothing,0,78436,0.15,targeted_informed,75000,0.744914116553647,0.7060133333333334,0.738
75,nothing,0,78436,0.15,targeted_informed,76000,0.744914116553647,0.7062236842105263,0.722
76,nothing,0,78436,0.15,targeted_informed,77000,0.744914116553647,0.7065584415584416,0.732
77,nothing,0,78436,0.15,targeted_informed,78000,0.744914116553647,0.7066410256410256,0.713
78,nothing,0,78436,0.15,targeted_informed,78436,0.744914116553647,0.7065505635167525,0.6903669724770642
