,method,time,num_removes,remove_ratio,sampling_type,batch,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,nothing,0,2000,0.2,targeted_informed,100,0.853,0.57,0.57
1,nothing,0,2000,0.2,targeted_informed,200,0.853,0.59,0.61
2,nothing,0,2000,0.2,targeted_informed,300,0.853,0.6566666666666666,0.79
3,nothing,0,2000,0.2,targeted_informed,400,0.853,0.675,0.73
4,nothing,0,2000,0.2,targeted_informed,500,0.853,0.686,0.73
5,nothing,0,2000,0.2,targeted_informed,600,0.853,0.695,0.74
6,nothing,0,2000,0.2,targeted_informed,700,0.853,0.71,0.8
7,nothing,0,2000,0.2,targeted_informed,800,0.853,0.72,0.79
8,nothing,0,2000,0.2,targeted_informed,900,0.853,0.7244444444444444,0.76
9,nothing,0,2000,0.2,targeted_informed,1000,0.853,0.732,0.8
10,nothing,0,2000,0.2,targeted_informed,1100,0.853,0.7381818181818182,0.8
11,nothing,0,2000,0.2,targeted_informed,1200,0.853,0.7391666666666666,0.75
12,nothing,0,2000,0.2,targeted_informed,1300,0.853,0.7476923076923077,0.85
13,nothing,0,2000,0.2,targeted_informed,1400,0.853,0.7564285714285715,0.87
14,nothing,0,2000,0.2,targeted_informed,1500,0.853,0.7573333333333333,0.77
15,nothing,0,2000,0.2,targeted_informed,1600,0.853,0.764375,0.87
16,nothing,0,2000,0.2,targeted_informed,1700,0.853,0.7711764705882352,0.88
17,nothing,0,2000,0.2,targeted_informed,1800,0.853,0.7783333333333333,0.9
18,nothing,0,2000,0.2,targeted_informed,1900,0.853,0.7794736842105263,0.8
19,nothing,0,2000,0.2,targeted_informed,2000,0.853,0.7835,0.86
