,method,time,num_removes,remove_ratio,sampling_type,batch,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,nothing,0,4493,0.375,targeted_informed,100,0.96875,0.89,0.89
1,nothing,0,4493,0.375,targeted_informed,200,0.96875,0.925,0.96
2,nothing,0,4493,0.375,targeted_informed,300,0.96875,0.9466666666666667,0.99
3,nothing,0,4493,0.375,targeted_informed,400,0.96875,0.9475,0.95
4,nothing,0,4493,0.375,targeted_informed,500,0.96875,0.948,0.95
5,nothing,0,4493,0.375,targeted_informed,600,0.96875,0.95,0.96
6,nothing,0,4493,0.375,targeted_informed,700,0.96875,0.95,0.95
7,nothing,0,4493,0.375,targeted_informed,800,0.96875,0.95,0.95
8,nothing,0,4493,0.375,targeted_informed,900,0.96875,0.9477777777777778,0.93
9,nothing,0,4493,0.375,targeted_informed,1000,0.96875,0.951,0.98
10,nothing,0,4493,0.375,targeted_informed,1100,0.96875,0.9518181818181818,0.96
11,nothing,0,4493,0.375,targeted_informed,1200,0.96875,0.9533333333333334,0.97
12,nothing,0,4493,0.375,targeted_informed,1300,0.96875,0.9538461538461539,0.96
13,nothing,0,4493,0.375,targeted_informed,1400,0.96875,0.9557142857142857,0.98
14,nothing,0,4493,0.375,targeted_informed,1500,0.96875,0.956,0.96
15,nothing,0,4493,0.375,targeted_informed,1600,0.96875,0.95375,0.92
16,nothing,0,4493,0.375,targeted_informed,1700,0.96875,0.9552941176470588,0.98
17,nothing,0,4493,0.375,targeted_informed,1800,0.96875,0.9572222222222222,0.99
18,nothing,0,4493,0.375,targeted_informed,1900,0.96875,0.9557894736842105,0.93
19,nothing,0,4493,0.375,targeted_informed,2000,0.96875,0.955,0.94
20,nothing,0,4493,0.375,targeted_informed,2100,0.96875,0.9557142857142857,0.97
21,nothing,0,4493,0.375,targeted_informed,2200,0.96875,0.955,0.94
22,nothing,0,4493,0.375,targeted_informed,2300,0.96875,0.9560869565217391,0.98
23,nothing,0,4493,0.375,targeted_informed,2400,0.96875,0.95625,0.96
24,nothing,0,4493,0.375,targeted_informed,2500,0.96875,0.9544,0.91
25,nothing,0,4493,0.375,targeted_informed,2600,0.96875,0.955,0.97
26,nothing,0,4493,0.375,targeted_informed,2700,0.96875,0.9544444444444444,0.94
27,nothing,0,4493,0.375,targeted_informed,2800,0.96875,0.9542857142857143,0.95
28,nothing,0,4493,0.375,targeted_informed,2900,0.96875,0.9555172413793104,0.99
29,nothing,0,4493,0.375,targeted_informed,3000,0.96875,0.955,0.94
30,nothing,0,4493,0.375,targeted_informed,3100,0.96875,0.9554838709677419,0.97
31,nothing,0,4493,0.375,targeted_informed,3200,0.96875,0.9553125,0.95
32,nothing,0,4493,0.375,targeted_informed,3300,0.96875,0.9551515151515152,0.95
33,nothing,0,4493,0.375,targeted_informed,3400,0.96875,0.9544117647058824,0.93
34,nothing,0,4493,0.375,targeted_informed,3500,0.96875,0.9545714285714286,0.96
35,nothing,0,4493,0.375,targeted_informed,3600,0.96875,0.9541666666666667,0.94
36,nothing,0,4493,0.375,targeted_informed,3700,0.96875,0.9551351351351351,0.99
37,nothing,0,4493,0.375,targeted_informed,3800,0.96875,0.9552631578947368,0.96
38,nothing,0,4493,0.375,targeted_informed,3900,0.96875,0.9548717948717949,0.94
39,nothing,0,4493,0.375,targeted_informed,4000,0.96875,0.9555,0.98
40,nothing,0,4493,0.375,targeted_informed,4100,0.96875,0.9548780487804878,0.93
41,nothing,0,4493,0.375,targeted_informed,4200,0.96875,0.9554761904761905,0.98
42,nothing,0,4493,0.375,targeted_informed,4300,0.96875,0.9555813953488372,0.96
43,nothing,0,4493,0.375,targeted_informed,4400,0.96875,0.9556818181818182,0.96
44,nothing,0,4493,0.375,targeted_informed,4493,0.96875,0.955931448920543,0.967741935483871
