,method,time,num_removes,remove_ratio,sampling_type,batch,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,retrain,114.58200111286715,78436,0.15,targeted_informed,1000,0.7451034387800765,0.61,0.61
1,retrain,116.86576731596142,78436,0.15,targeted_informed,2000,0.7429692609548725,0.586,0.562
2,retrain,116.16530951904133,78436,0.15,targeted_informed,3000,0.7417644831503218,0.5543333333333333,0.5
3,retrain,114.0474251601845,78436,0.15,targeted_informed,4000,0.7401466386699252,0.5325,0.503
4,retrain,115.22391373896971,78436,0.15,targeted_informed,5000,0.7389590719768683,0.5142,0.497
5,retrain,114.3294188901782,78436,0.15,targeted_informed,6000,0.7405941275687584,0.5241666666666667,0.576
6,retrain,115.59152385778725,78436,0.15,targeted_informed,7000,0.7408522942411621,0.5325714285714286,0.617
7,retrain,115.02697820123285,78436,0.15,targeted_informed,8000,0.7389418608653747,0.540375,0.641
8,retrain,114.05231959279627,78436,0.15,targeted_informed,9000,0.7393893497642078,0.5564444444444444,0.663
9,retrain,112.7620226549916,78436,0.15,targeted_informed,10000,0.7375649719458882,0.558,0.637
10,retrain,110.20377154927701,78436,0.15,targeted_informed,11000,0.7377026608378369,0.5581818181818182,0.603
11,retrain,109.75653997203335,78436,0.15,targeted_informed,12000,0.7378747719527727,0.5621666666666667,0.618
12,retrain,111.17194185964763,78436,0.15,targeted_informed,13000,0.7364806719217927,0.5532307692307692,0.568
13,retrain,111.68287229305133,78436,0.15,targeted_informed,14000,0.7334859385219098,0.5329285714285714,0.571
14,retrain,111.68268628232181,78436,0.15,targeted_informed,15000,0.7425217720560394,0.5945333333333334,0.689
15,retrain,113.27312073484063,78436,0.15,targeted_informed,16000,0.7292347939829954,0.5239375,0.574
16,retrain,113.35632929718122,78436,0.15,targeted_informed,17000,0.7358610719080239,0.5508235294117647,0.647
17,retrain,113.26817382313311,78436,0.15,targeted_informed,18000,0.7312657051392379,0.5427222222222222,0.614
18,retrain,112.13412314374,78436,0.15,targeted_informed,19000,0.7340194829782107,0.5504736842105263,0.604
19,retrain,110.72191750491038,78436,0.15,targeted_informed,20000,0.7335031496334034,0.5487,0.629
20,retrain,110.19163587456569,78436,0.15,targeted_informed,21000,0.7303190940070909,0.540952380952381,0.588
21,retrain,112.1878045159392,78436,0.15,targeted_informed,22000,0.7283914495198099,0.5235,0.555
22,retrain,112.79694957705215,78436,0.15,targeted_informed,23000,0.728718460638188,0.5331739130434783,0.6
23,retrain,112.60566330514848,78436,0.15,targeted_informed,24000,0.7299404495542322,0.5399583333333333,0.612
24,retrain,112.25705106602982,78436,0.15,targeted_informed,25000,0.7274620494991566,0.52252,0.557
25,retrain,114.27570211421698,78436,0.15,targeted_informed,26000,0.7274964717221438,0.5238846153846154,0.558
26,retrain,111.8679514429532,78436,0.15,targeted_informed,27000,0.7280988606244191,0.5263333333333333,0.591
27,retrain,111.8504914981313,78436,0.15,targeted_informed,28000,0.7270145606003235,0.5245,0.569
28,retrain,112.87773648602888,78436,0.15,targeted_informed,29000,0.7254999827888885,0.5242068965517241,0.57
29,retrain,111.41329790605232,78436,0.15,targeted_informed,30000,0.726136793914151,0.5265666666666666,0.541
30,retrain,109.60424429597333,78436,0.15,targeted_informed,31000,0.723589549413101,0.5152903225806451,0.523
31,retrain,111.3274654620327,78436,0.15,targeted_informed,32000,0.7217307493717944,0.50384375,0.49
32,retrain,111.12324703298509,78436,0.15,targeted_informed,33000,0.7235723383016075,0.5089090909090909,0.509
33,retrain,111.42804263299331,78436,0.15,targeted_informed,34000,0.7203366493408144,0.49861764705882355,0.478
