method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,500,0,0,131.582505941391,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0,0,97.06549596786499,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0,0,4.513773679733276,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
baseline,0.0001,True,0,SGD,1.0,False,512,500,0,1,141.25489616394043,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0,1,99.96174383163452,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0,1,6.4670186042785645,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
baseline,0.0001,True,0,SGD,1.0,False,512,500,0,2,118.68260908126831,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0,2,123.12025594711304,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0,2,6.118101119995117,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.01,2,94.70485854148865,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.01,2,93.00337481498718,27.763586044311523,10.346588134765625,0.34692516922950745,0.853,0.8509127789046653,0.9228090000000001
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.01,2,203.9411928653717,27.753681182861328,11.519826889038086,0.5499199032783508,0.853,0.8509127789046653,0.922807
baseline,0.0001,True,0,SGD,1.0,False,512,500,100,1,94.95369601249695,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,100,1,98.82707405090332,3579.9951171875,3596.3359375,3579.21630859375,0.639,0.6346153846153847,0.6992695
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,100,1,204.27469420433044,5655.294921875,6230.49462890625,5655.53955078125,0.5255,0.3966942148760331,0.5595725
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.01,0,94.61438465118408,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.01,0,103.61538314819336,27.757234573364258,10.329671859741211,0.3492361903190613,0.853,0.8509127789046653,0.922811
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.01,0,214.69660305976868,27.76679801940918,7.889752388000488,0.553670346736908,0.8525,0.8504815002534212,0.9227920000000001
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.1,0,99.55682468414307,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.1,0,126.16161775588989,27.95159149169922,10.81672191619873,3.492363691329956,0.8535,0.8514951849974658,0.922871
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.1,0,198.2851254940033,28.340906143188477,19.494548797607422,5.536705493927002,0.8515,0.8502269288956127,0.9226699999999999
baseline,0.0001,True,0,SGD,1.0,False,512,500,100,0,140.75456070899963,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,100,0,100.32279849052429,3503.4814453125,3517.8251953125,3503.201904296875,0.646,0.6474103585657371,0.6937905
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,100,0,191.9775538444519,5536.9658203125,6632.54931640625,5536.70947265625,0.537,0.6547352721849367,0.5689555
baseline,0.0001,True,0,SGD,1.0,False,512,500,1,0,125.32642245292664,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,1,0,123.78647351264954,44.46630859375,36.53848648071289,34.9238166809082,0.85,0.8470948012232415,0.9228379999999999
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,1,0,188.89998936653137,62.102256774902344,271.29351806640625,55.3670539855957,0.8415,0.8434567901234569,0.91986
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.01,1,140.33591055870056,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.01,1,113.19941139221191,27.76272964477539,10.343111991882324,0.3566646873950958,0.853,0.8509127789046653,0.9227929999999999
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.01,1,186.60470724105835,27.757020950317383,12.336258888244629,0.5655536651611328,0.853,0.8509127789046653,0.922796
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.1,2,141.20991230010986,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.1,2,108.27893495559692,28.012046813964844,10.96916675567627,3.469261884689331,0.8515,0.8494678155093766,0.9228470000000001
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.1,2,190.97943234443665,28.20538902282715,23.142780303955078,5.499200344085693,0.8515,0.8490086426029486,0.9227299999999999
baseline,0.0001,True,0,SGD,1.0,False,512,500,0.1,1,135.45080065727234,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,0.1,1,124.36933732032776,28.014549255371094,10.967957496643066,3.5666661262512207,0.8525,0.8504815002534212,0.922858
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,0.1,1,184.9784014225006,28.26613426208496,31.522401809692383,5.655537128448486,0.8485,0.8458015267175573,0.9225640000000002
baseline,0.0001,True,0,SGD,1.0,False,512,500,10,1,141.43945980072021,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,10,1,120.52364182472229,358.2445068359375,361.6549377441406,356.79608154296875,0.819,0.81511746680286,0.893757
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,10,1,185.5859432220459,565.9258422851562,1576.845703125,565.5538330078125,0.705,0.6620847651775487,0.7868955
baseline,0.0001,True,0,SGD,1.0,False,512,500,10,2,139.5262107849121,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,10,2,121.30269360542297,348.5950927734375,350.8490905761719,347.037353515625,0.827,0.8248987854251012,0.899134
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,10,2,186.9413447380066,550.1492919921875,1262.490478515625,549.9198608398438,0.715,0.6757679180887372,0.792832
baseline,0.0001,True,0,SGD,1.0,False,512,500,1,2,140.6878786087036,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,1,2,120.67973852157593,44.68330764770508,36.74525833129883,34.6931037902832,0.8515,0.8491620111731845,0.922962
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,1,2,187.1548764705658,61.178489685058594,146.28343200683594,54.99201202392578,0.846,0.8409090909090908,0.920366
baseline,0.0001,True,0,SGD,1.0,False,512,500,100,2,142.7304425239563,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,100,2,120.48311734199524,3480.608154296875,3491.590576171875,3479.728759765625,0.6775,0.6799007444168734,0.742464
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,100,2,185.70648193359375,5498.7958984375,5879.22119140625,5499.19677734375,0.491,0.38452237001209194,0.4969565
baseline,0.0001,True,0,SGD,1.0,False,512,500,1,1,139.57485055923462,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,1,1,121.99734497070312,45.384239196777344,37.677032470703125,35.667118072509766,0.8475,0.8452562151192288,0.922897
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,1,1,188.15903234481812,62.72217559814453,224.3170166015625,56.55534362792969,0.8425,0.836022904737116,0.91837
baseline,0.0001,True,0,SGD,1.0,False,512,500,10,0,142.10114002227783,27.757566452026367,10.334737777709961,0.0,0.853,0.8509127789046653,0.922803
Guo,0.0001,True,0,SGD,1.0,False,512,500,10,0,120.73093247413635,350.36895751953125,353.2730407714844,349.32440185546875,0.815,0.8133198789101918,0.893732
Golatkar,0.0001,True,0,SGD,1.0,False,512,500,10,0,187.09026861190796,554.552734375,2235.998046875,553.670654296875,0.6835,0.7406800491601803,0.8179630000000001
