lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff_orig,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
0.0001,True,0.5,0,None,-1,None,5000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,77.53335332870483,24.90682029724121,8.96410846710205,4.052933216094971,0.846,0.8444444444444446,0.919612,0.8464,0.8457211731619124,0.9171961070055086,0.8554,0.8536733454766242,0.9207845893021371
0.0001,True,0.5,1,None,-1,None,5000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,77.61695218086243,24.7974853515625,43.26647186279297,3.971423625946045,0.8455,0.8457314028956564,0.92043,0.8566,0.8562261880890315,0.9228715518481484,0.8422,0.8440403241747381,0.9168678436942904
0.0001,True,0.45,0,None,-1,None,4500,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,84.83173131942749,25.344514846801758,15.331095695495605,3.665891647338867,0.848,0.8458417849898581,0.919701,0.8473333333333334,0.8453051114613827,0.9162462548118556,0.8547272727272728,0.8529898804047839,0.9213775451914289
0.0001,True,0.45,1,None,-1,None,4500,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,84.8157308101654,25.219396591186523,25.869918823242188,3.5470621585845947,0.844,0.843687374749499,0.9204220000000001,0.8593333333333333,0.8577847674679848,0.9234987781901409,0.8429090909090909,0.8443804034582134,0.9172643117414048
0.0001,True,0.4,1,None,-1,None,4000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,92.45874238014221,25.674617767333984,29.228073120117188,3.0164644718170166,0.846,0.8458458458458459,0.9207330000000001,0.8595,0.8574327752409944,0.9237081356165326,0.8451666666666666,0.8466237411259698,0.9183147150584385
0.0001,True,0.4,0,None,-1,None,4000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,92.78686285018921,25.884990692138672,8.518080711364746,3.0173051357269287,0.846,0.8434959349593496,0.920703,0.8475,0.8468106479156203,0.9177861254695576,0.8558333333333333,0.8533649771147651,0.9217693775677724
0.0001,True,0.35,0,None,-1,None,3500,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,100.26217651367188,26.228992462158203,24.181184768676758,2.5790278911590576,0.848,0.8447395301327885,0.921256,0.8491428571428571,0.8478386167146975,0.9185575389808214,0.8553846153846154,0.8523869346733668,0.9218564181306358
0.0001,True,0.35,1,None,-1,None,3500,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,100.44287967681885,25.971288681030273,18.300506591796875,2.591543436050415,0.8505,0.8481462671406806,0.92155,0.8634285714285714,0.8608847497089639,0.9272550636373283,0.8478461538461538,0.8467854376452362,0.9180474850351843
0.0001,True,0.3,1,None,-1,None,3000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,107.19326782226562,26.299896240234375,36.8803596496582,2.2711122035980225,0.8485,0.8473551637279597,0.921344,0.863,0.86240374958152,0.9265306666666664,0.8477142857142858,0.8472779369627507,0.9190025714285713
0.0001,True,0.3,0,None,-1,None,3000,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,108.0619113445282,26.612581253051758,23.633230209350586,2.138234853744507,0.8495,0.8461931527848748,0.921549,0.8483333333333334,0.8488874128196612,0.9179345121542841,0.8558571428571429,0.8519876778641631,0.9225310159151663
0.0001,True,0.25,0,None,-1,None,2500,None,uniform_random,0,SGD,1.0,False,512,500,31.726116180419922,115.78202748298645,26.94721794128418,7.010351181030273,1.8654043674468994,0.8505,0.8476821192052981,0.9217799999999999,0.8488,0.8496420047732696,0.9151898709862073,0.856,0.8531411476747348,0.9234576853797435
