method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.35,1,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,6.848012208938599,27.14171600341797,5.480372905731201,3.0801680088043213,0.8495,0.8475949367088608,0.922542,0.8648571428571429,0.862699564586357,0.9276031708452049,0.8493846153846154,0.8488497761309247,0.9195155399759993
Guo,0.0001,True,0.35,2,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,6.778452396392822,27.483495712280273,5.580137252807617,2.9695611000061035,0.847,0.8445121951219512,0.9216299999999998,0.8488571428571429,0.8473304473304473,0.9145057341325624,0.8569230769230769,0.85518530052943,0.9248126689534464
Guo,0.0001,True,0.35,0,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,6.831366539001465,27.344764709472656,5.69575309753418,3.077666997909546,0.8495,0.846819338422392,0.9223939999999999,0.8508571428571429,0.8502581755593804,0.9191045293743638,0.856,0.8536585365853658,0.9231695901549402
Guo,0.0001,True,0.3,2,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,6.964159965515137,27.515195846557617,5.618069648742676,2.645838737487793,0.847,0.8446700507614212,0.9215895000000001,0.8486666666666667,0.8464140730717185,0.9141310729471436,0.8564285714285714,0.8550411077455647,0.9242928509626818
Guo,0.0001,True,0.3,0,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.122951030731201,27.49374771118164,5.697751045227051,2.6469459533691406,0.851,0.8481141692150866,0.9224189999999999,0.8513333333333334,0.85261070720423,0.9183009573380425,0.857,0.853547915142648,0.9235565182753893
Guo,0.0001,True,0.3,1,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.099968910217285,27.184001922607422,5.595436096191406,2.7383430004119873,0.8525,0.8503297818366311,0.922095,0.8623333333333333,0.8610830810628994,0.9267768888888888,0.8511428571428571,0.8495958429561202,0.9200809795918368
Guo,0.0001,True,0.25,1,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.3950135707855225,27.217472076416016,5.678089618682861,2.4365124702453613,0.851,0.8485772357723578,0.922195,0.862,0.8615014050582095,0.9268290029159595,0.8524,0.8505871237683897,0.9204410245849296
Guo,0.0001,True,0.25,0,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.301124334335327,27.64142608642578,5.62539529800415,2.3731729984283447,0.8515,0.8487009679062658,0.922411,0.8488,0.8497615262321145,0.9153922053873456,0.8566666666666667,0.8539997283715878,0.9242606781179981
Guo,0.0001,True,0.25,2,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.484333753585815,27.511112213134766,5.6318678855896,2.3268280029296875,0.8475,0.8457258472432979,0.92186,0.8512,0.8475409836065574,0.9171417945463194,0.8562666666666666,0.855457227138643,0.9232730898434109
Guo,0.0001,True,0.2,0,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,43.56091499328613,7.683208465576172,27.697914123535156,5.614551544189453,2.0057718753814697,0.851,0.8482688391038696,0.922497,0.8495,0.8503232222774738,0.9137490546937206,0.85775,0.8555837563451776,0.9242511223352272
