method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.2,0,2000,0,None,2000,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,6.92055344581604,24.306684494018555,92.57964324951172,9.622056007385254,0.788,0.8117229129662522,0.890481,0.323,0.0,nan,0.8925,0.9139311449159329,0.9572486000000001
Golatkar,0.0001,True,0.2,0,2000,0,None,2000,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,6.677117347717285,25.66069793701172,95.23674011230469,8.56382942199707,0.7935,0.8155426529700759,0.894955,0.346,0.0,nan,0.895,0.9158653846153845,0.9584157999999999
Guo,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,7.10175347328186,26.17654037475586,48.04307556152344,7.015529632568359,0.8145,0.8267164876226063,0.9039200000000001,0.3352,0.0,nan,0.8769142857142858,0.8919434132637706,0.9461902666666667
Golatkar,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,7.1661036014556885,27.488582611083984,48.87458419799805,6.480791091918945,0.8175,0.8288795124238162,0.9069260000000001,0.3536,0.0,nan,0.8794285714285714,0.8941506973010935,0.9476344533333333
Guo,0.0001,True,0.05,0,500,0,None,500,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,7.6290106773376465,27.140077590942383,10.848483085632324,3.8744258880615234,0.8395,0.8424153166421208,0.9167099999999999,0.396,0.0,nan,0.8608421052631579,0.8672690763052209,0.9311055111111111
Golatkar,0.0001,True,0.05,0,500,0,None,500,1,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,7.729493618011475,28.440324783325195,8.533991813659668,4.146529197692871,0.8435,0.8460403344810625,0.918693,0.406,0.0,nan,0.8626315789473684,0.869067924149694,0.9327520444444445
Golatkar,0.0001,True,0.2,0,1000,0,None,2000,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,13.036312103271484,27.34467887878418,46.857093811035156,9.486146926879883,0.7835,0.8086610693769333,0.8871120000000001,0.305,0.0,nan,0.893,0.9142284569138276,0.9575497333333333
Guo,0.0001,True,0.2,0,1000,0,None,2000,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,13.079848051071167,24.99451446533203,55.01396560668945,10.074033737182617,0.781,0.8068783068783069,0.885709,0.3,0.0,nan,0.889875,0.9120319520718921,0.9567498666666666
Guo,0.0001,True,0.125,0,625,0,None,1250,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,13.602789640426636,26.65247917175293,29.1134090423584,7.268918514251709,0.8135,0.8261072261072261,0.901793,0.3256,0.0,nan,0.8756571428571429,0.8909819639278557,0.9457694133333334
Golatkar,0.0001,True,0.125,0,625,0,None,1250,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,13.63010311126709,28.478961944580078,21.871564865112305,7.039478778839111,0.815,0.8271028037383177,0.90355,0.3296,0.0,nan,0.8778285714285714,0.8928750375789157,0.9469338666666667
Golatkar,0.0001,True,0.05,0,250,0,None,500,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,13.811643838882446,28.734371185302734,2.5369560718536377,4.279376029968262,0.841,0.843811394891945,0.9181770000000001,0.4,0.0,nan,0.862,0.8684923262112548,0.9325305777777777
Guo,0.0001,True,0.05,0,250,0,None,500,2,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,14.750648021697998,27.291385650634766,7.973674297332764,3.9202427864074707,0.8385,0.8414334806087382,0.916454,0.392,0.0,nan,0.8602105263157894,0.8667201926936974,0.9309704000000001
Golatkar,0.0001,True,0.2,0,500,0,None,2000,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,22.070470333099365,28.135339736938477,10.659390449523926,10.09599494934082,0.7785,0.8051033875934888,0.8832485,0.285,0.0,nan,0.89125,0.9131216297183943,0.9569914666666668
Guo,0.0001,True,0.2,0,500,0,None,2000,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,22.66270422935486,25.7520809173584,34.0349006652832,10.448719024658203,0.778,0.804920913884007,0.8822409999999998,0.285,0.0,nan,0.889,0.9113418530351437,0.9562748666666666
Guo,0.0001,True,0.05,0,125,0,None,500,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,23.08787202835083,27.388702392578125,6.769899845123291,3.9412622451782227,0.8385,0.8414334806087382,0.9162499999999999,0.39,0.0,nan,0.8598947368421053,0.866432513798294,0.9308929333333333
Golatkar,0.0001,True,0.05,0,125,0,None,500,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,23.00070357322693,28.79625129699707,0.6613369584083557,4.312316417694092,0.8405,0.8433971526755033,0.9180660000000002,0.4,0.0,nan,0.862,0.8684923262112548,0.9324714666666665
Golatkar,0.0001,True,0.125,0,312,0,None,1250,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,26.37862801551819,29.00199317932129,3.185249090194702,7.396730899810791,0.8115,0.8244061481136469,0.902093,0.3112,0.0,nan,0.8768,0.8921784356871374,0.9465842133333334
Guo,0.0001,True,0.125,0,312,0,None,1250,4,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,26.797017574310303,27.041959762573242,18.014989852905273,7.4576520919799805,0.812,0.8247903075489283,0.9004160000000001,0.3152,0.0,nan,0.8749714285714286,0.8905124099279423,0.9454548533333333
Guo,0.0001,True,0.2,0,250,0,None,2000,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,36.94573402404785,26.32225799560547,21.153953552246094,10.712972640991211,0.7745,0.802279701885138,0.8803019999999999,0.2815,0.0,nan,0.889375,0.9116854605328808,0.9559390666666666
Golatkar,0.0001,True,0.2,0,250,0,None,2000,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,37.15194129943848,28.354907989501953,2.668593645095825,10.24289608001709,0.7775,0.8043956043956044,0.8824730000000001,0.282,0.0,nan,0.89175,0.9135728542914172,0.9568823333333333
Guo,0.0001,True,0.125,0,156,0,None,1250,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,40.22973418235779,27.29680824279785,11.945303916931152,7.566964149475098,0.8105,0.8238028823802882,0.899732,0.3096,0.0,nan,0.8740571428571429,0.8898,0.9452735999999999
Golatkar,0.0001,True,0.125,0,156,0,None,1250,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,41.62645435333252,28.981176376342773,1.1321994066238403,7.360102653503418,0.8115,0.8244061481136469,0.9022029999999999,0.3136,0.0,nan,0.8772571428571428,0.8925355213127877,0.9465854399999999
Guo,0.0001,True,0.05,0,62,0,None,500,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,42.07883596420288,27.443620681762695,6.179256439208984,3.952627658843994,0.8385,0.8414334806087382,0.916177,0.39,0.0,nan,0.8597894736842105,0.8663455749548465,0.9308487999999998
Golatkar,0.0001,True,0.05,0,62,0,None,500,8,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,42.3867449760437,28.826904296875,5.884706497192383,4.338373184204102,0.8405,0.8433971526755033,0.918117,0.396,0.0,nan,0.8616842105263158,0.8682574694204932,0.9324702
baseline,0.0001,True,0.2,0,None,0,None,2000,None,targeted_informed,0,SGD,1.0,False,512,500,39.7220675945282,38.33072757720947,26.618528366088867,24.019983291625977,10.610982894897461,0.7735,0.8015768725361366,0.877491,0.274,0.0,nan,0.8875,0.91,0.9551677666666666
