method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.35,1,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.210082530975342,27.144636154174805,10.1650972366333,3.0806291103363037,0.8505,0.8484541307653319,0.922589,0.8651428571428571,0.8629500580720094,0.9276417042884783,0.85,0.8493277700509968,0.9195709731094863
Guo,0.0001,True,0.35,0,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.310301065444946,27.347095489501953,10.419538497924805,3.077745199203491,0.8485,0.8454869964303926,0.922423,0.8502857142857143,0.8495981630309989,0.9191388183244068,0.856,0.8535211267605634,0.9232281006315817
Guo,0.0001,True,0.35,2,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.579935550689697,27.485607147216797,10.255383491516113,2.9652299880981445,0.8475,0.8449415353329943,0.921682,0.8485714285714285,0.8469093009820913,0.9145684290132315,0.8573846153846154,0.8555399719495091,0.9248672964258011
Guo,0.0001,True,0.25,0,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.090897798538208,27.643550872802734,10.321821212768555,2.3734028339385986,0.8515,0.8487009679062658,0.922443,0.8496,0.8504375497215594,0.9154101337520034,0.8569333333333333,0.8541525078156857,0.9243018180284688
Guo,0.0001,True,0.3,2,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.492671012878418,27.51727867126465,10.301986694335938,2.642853260040283,0.8465,0.8440832910106653,0.921646,0.8483333333333334,0.8457104103085793,0.9141879618613163,0.8564285714285714,0.8549155478562149,0.9243411366809091
Guo,0.0001,True,0.3,1,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.438504695892334,27.18648338317871,10.29448127746582,2.738703966140747,0.852,0.8498985801217038,0.922121,0.8626666666666667,0.8611859838274933,0.9268142222222222,0.8512857142857143,0.8495882097962723,0.9201421224489795
Guo,0.0001,True,0.15,1,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.7690908908844,27.435588836669922,10.333332061767578,1.6503986120224,0.8505,0.8483003551496702,0.922613,0.8633333333333333,0.8612051455653351,0.9278741277390106,0.8538823529411764,0.8525990980299075,0.9212333857901533
Guo,0.0001,True,0.25,1,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.531006097793579,27.219575881958008,10.393107414245605,2.4364278316497803,0.851,0.8485772357723578,0.922227,0.8628,0.862193652069104,0.9268968456947997,0.852,0.8500810372771475,0.9204803136526275
Guo,0.0001,True,0.25,2,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.82905125617981,27.513315200805664,10.32717514038086,2.3246536254882812,0.8475,0.8455696202531644,0.9218959999999998,0.8512,0.8475409836065574,0.9171699597557563,0.8566666666666667,0.8557627800885549,0.9233215175053198
Guo,0.0001,True,0.2,1,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.942421674728394,27.348148345947266,10.4038667678833,2.0833985805511475,0.8505,0.8481462671406806,0.922623,0.87,0.868020304568528,0.9298044298044299,0.851875,0.85028427037271,0.9205685575355348
Guo,0.0001,True,0.2,0,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.225090265274048,27.700010299682617,10.306686401367188,2.0060954093933105,0.851,0.8482688391038696,0.9225369999999999,0.8495,0.8500249128051819,0.9137780640927662,0.857,0.8547117094234189,0.9242938106996667
Guo,0.0001,True,0.15,2,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.283264636993408,27.550655364990234,10.324275970458984,1.752208948135376,0.849,0.8471659919028339,0.9222210000000002,0.8513333333333334,0.8475734791524265,0.9164341292072383,0.856,0.8548387096774194,0.92306500703815
Guo,0.0001,True,0.2,2,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.323414087295532,27.530521392822266,10.341842651367188,1.9298549890518188,0.8485,0.8465822784810126,0.9219379999999999,0.854,0.8507157464212678,0.917722873683242,0.855625,0.8544790223006172,0.923131870865418
Guo,0.0001,True,0.01,2,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.080028295516968,27.784740447998047,10.33174991607666,0.44862309098243713,0.8525,0.8503297818366311,0.922793,0.79,0.7835051546391751,0.885954381752701,0.8560606060606061,0.8545176110260337,0.9229865492495276
Guo,0.0001,True,0.1,1,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.902454853057861,27.558673858642578,10.313570022583008,1.231960654258728,0.85,0.847870182555781,0.9228710000000001,0.859,0.8559754851889684,0.9298422490808198,0.8556666666666667,0.8544211588030932,0.9216985759619863
Guo,0.0001,True,0.1,0,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.944257736206055,27.64549446105957,10.371335983276367,1.2637203931808472,0.8505,0.8479918657854602,0.9227110000000001,0.851,0.8523290386521309,0.9240863807337796,0.8568888888888889,0.8547259192420482,0.9224370864092934
Guo,0.0001,True,0.05,0,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.250168323516846,27.71993064880371,10.308344841003418,0.9888941049575806,0.851,0.8485772357723578,0.922452,0.826,0.820618556701031,0.9078020993343575,0.8569473684210527,0.8554101500159592,0.9231456041033758
Guo,0.0001,True,0.01,0,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.540840148925781,27.76220703125,10.333950996398926,0.43336373567581177,0.8515,0.8493150684931506,0.9227869999999999,0.84,0.8297872340425532,0.916766706682673,0.8562626262626263,0.85472179683512,0.9228215048595655
Guo,0.0001,True,0.05,1,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,13.144660234451294,27.73041343688965,10.310325622558594,0.971683919429779,0.852,0.8498985801217038,0.9230820000000001,0.852,0.8489795918367348,0.9230091613812543,0.856,0.8547153780798641,0.9227770884314088
Guo,0.0001,True,0.05,2,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.933974027633667,27.647136688232422,10.355202674865723,0.9175147414207458,0.8505,0.8481462671406806,0.9228219999999999,0.874,0.8706365503080081,0.940096,0.8553684210526316,0.853923027854561,0.921866725761773
Guo,0.0001,True,0.3,0,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,14.16387414932251,27.496013641357422,10.417943954467773,2.646919012069702,0.851,0.8479591836734693,0.9224349999999999,0.851,0.8520357497517378,0.9183174117941093,0.8565714285714285,0.8530444964871193,0.9236090139379657
Guo,0.0001,True,0.15,0,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,15.41490626335144,27.707456588745117,10.326118469238281,1.6675058603286743,0.85,0.8474059003051883,0.9226619999999999,0.848,0.8513689700130379,0.9164635481671264,0.8570588235294118,0.8544038346315159,0.9234632322534714
Guo,0.0001,True,0.01,1,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,17.480629920959473,27.73453712463379,10.332307815551758,0.42466893792152405,0.8525,0.8503297818366311,0.9228365000000001,0.86,0.8510638297872339,0.9237254114813328,0.8563636363636363,0.8548683404776485,0.9225682605086968
Guo,0.0001,True,0.45,2,4500,-1,None,4500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,8.034826040267944,27.11810302734375,10.307498931884766,4.040668964385986,0.847,0.8446700507614212,0.920726,0.8484444444444444,0.8469479353680431,0.9153863992459038,0.8552727272727273,0.8534069981583794,0.9239175910983746
Guo,0.0001,True,0.4,1,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.052398443222046,27.178049087524414,9.89449405670166,3.5337183475494385,0.8475,0.8460373548712772,0.9222,0.86275,0.8601273885350319,0.9244178529674714,0.8488333333333333,0.8493605713336655,0.9203572708507547
Guo,0.0001,True,0.4,0,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.40490198135376,27.304529190063477,10.3789644241333,3.5855801105499268,0.848,0.8448979591836734,0.922127,0.84925,0.8486825595984943,0.9185574188548105,0.8586666666666667,0.8561736770691994,0.9235645335577833
Guo,0.0001,True,0.45,1,4500,-1,None,4500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,8.69548487663269,27.111223220825195,9.745015144348145,4.097585201263428,0.847,0.8452982810920121,0.9221119999999999,0.8611111111111112,0.8588846240686384,0.9243598143101912,0.8470909090909091,0.8476725230936424,0.9199289173988116
Guo,0.0001,True,0.1,2,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,19.63647747039795,27.546451568603516,10.321707725524902,1.297576665878296,0.8475,0.8452562151192288,0.9223979999999999,0.86,0.8541666666666666,0.9242353298996715,0.8548888888888889,0.8536530703720305,0.9221442261457463
Guo,0.0001,True,0.45,0,4500,-1,None,4500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.385342597961426,27.06414222717285,10.25558090209961,4.13449764251709,0.848,0.8453713123092574,0.92136,0.8468888888888889,0.8451337379186334,0.9174837866538561,0.8581818181818182,0.8567756151303709,0.9235966538031889
Guo,0.0001,True,0.4,2,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.944131135940552,27.277729034423828,10.29944133758545,3.3711001873016357,0.8465,0.8442415017757483,0.92161,0.85125,0.8488696977393956,0.9177303340392643,0.8555,0.8545057895620071,0.9235110893775824
Golatkar,0.0001,True,0.01,0,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.89185619354248,29.035221099853516,0.05520020052790642,2.4203712940216064,0.853,0.8504577822990844,0.924335,0.84,0.8297872340425532,0.9187675070028012,0.857979797979798,0.856647634584013,0.9245219844718695
Golatkar,0.0001,True,0.1,1,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.071230411529541,28.958608627319336,0.09605077654123306,2.7189245223999023,0.852,0.849440488301119,0.9244220000000002,0.861,0.8583078491335372,0.9313465439226088,0.8572222222222222,0.8561513489309303,0.9236283584093612
Golatkar,0.0001,True,0.15,0,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.229785680770874,29.185638427734375,0.16428235173225403,2.9727776050567627,0.8525,0.8495665476797551,0.9244370000000001,0.85,0.853228962818004,0.9182119399849374,0.8595294117647059,0.8572111934943794,0.925520130791972
Golatkar,0.0001,True,0.15,1,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.1311776638031,28.905399322509766,0.06695125252008438,2.836465358734131,0.8505,0.8481462671406806,0.9243720000000001,0.866,0.8639133378469871,0.9297266545179786,0.8567058823529412,0.8557213930348258,0.923270980305855
Golatkar,0.0001,True,0.2,0,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.866914987564087,29.249099731445312,0.10007376223802567,3.052640914916992,0.851,0.8481141692150866,0.9244109999999999,0.851,0.8514456630109671,0.9158287285080365,0.8595,0.8575411913814955,0.9264395729013511
Golatkar,0.0001,True,0.05,2,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.516098737716675,28.976581573486328,0.06822183728218079,2.5242207050323486,0.851,0.8485772357723578,0.9243870000000001,0.876,0.8724279835390946,0.941056,0.8573684210526316,0.8560807222517259,0.9236662603878116
Golatkar,0.0001,True,0.05,1,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.893597841262817,29.057241439819336,0.16504263877868652,2.6076362133026123,0.8525,0.8504815002534212,0.924679,0.856,0.853658536585366,0.9240181946313025,0.8576842105263158,0.8566277836691409,0.9245760519830394
Golatkar,0.0001,True,0.05,0,500,-1,None,500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.95069408416748,29.042997360229492,0.06771590560674667,2.5845580101013184,0.8525,0.8501777552056882,0.9240410000000001,0.828,0.823045267489712,0.9095462109575013,0.8594736842105263,0.8582351067218859,0.9249194769940348
Golatkar,0.0001,True,0.01,2,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,13.155503273010254,29.058937072753906,0.11390359699726105,2.4380199909210205,0.852,0.8495934959349594,0.924293,0.78,0.7755102040816325,0.8899559823929571,0.8586868686868687,0.857317695053544,0.9247009458096498
Golatkar,0.0001,True,0.1,2,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.159867286682129,28.951627731323242,0.09249597042798996,2.7370615005493164,0.851,0.8487309644670051,0.924051,0.864,0.8586278586278586,0.9261322480080358,0.8572222222222222,0.8562157323486629,0.9240506079073361
Golatkar,0.0001,True,0.01,1,100,-1,None,100,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,13.541382312774658,29.007726669311523,0.1232021227478981,2.4043147563934326,0.852,0.8497461928934009,0.9243459999999999,0.86,0.8510638297872339,0.9265355279004416,0.8576767676767677,0.8564734643984924,0.924278311131713
Golatkar,0.0001,True,0.2,1,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.493172407150269,28.91731071472168,0.08379973471164703,3.1918890476226807,0.8515,0.8490086426029486,0.924458,0.872,0.8700507614213198,0.9315659315659317,0.854,0.8527854802117468,0.9227723076732692
Golatkar,0.0001,True,0.2,2,2000,-1,None,2000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,11.52334451675415,29.08677864074707,0.19379949569702148,3.045289993286133,0.8485,0.8462709284627092,0.923852,0.8565,0.8534966819806025,0.9200033206508474,0.858,0.8571428571428572,0.9252382091680622
Golatkar,0.0001,True,0.1,0,1000,-1,None,1000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,14.936516284942627,29.047344207763672,0.14113736152648926,2.774376630783081,0.8535,0.8508905852417301,0.9243570000000001,0.853,0.8543111992071358,0.9255925556503591,0.859,0.8571750140686552,0.9243532687175312
Golatkar,0.0001,True,0.25,1,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.835578918457031,28.885910034179688,0.061544232070446014,3.3612327575683594,0.851,0.8485772357723578,0.9242595,0.866,0.8655158570855078,0.9289417294532385,0.8549333333333333,0.8532901833872708,0.922829231009478
Golatkar,0.0001,True,0.35,2,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,8.751737117767334,29.35143280029297,0.17814470827579498,3.742997407913208,0.849,0.8465447154471545,0.923984,0.8525714285714285,0.8512968299711816,0.9173554123804756,0.8601538461538462,0.8585214007782103,0.9274664564124369
Golatkar,0.0001,True,0.3,0,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.083683490753174,29.255653381347656,0.30314624309539795,3.508435010910034,0.851,0.8479591836734693,0.924575,0.8536666666666667,0.8550676791020139,0.9206744014469249,0.8595714285714285,0.8563075573746529,0.9260991697766059
Golatkar,0.0001,True,0.35,1,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.637299299240112,29.048250198364258,0.10897522419691086,3.774415969848633,0.852,0.8497461928934009,0.924875,0.8677142857142857,0.8656803017116332,0.929918116433044,0.8524615384615385,0.8521202775636083,0.9223596242286818
Golatkar,0.0001,True,0.15,2,1500,-1,None,1500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,16.909005641937256,29.027454376220703,0.18613259494304657,2.967557191848755,0.8495,0.8472856418061897,0.9240039999999999,0.8546666666666667,0.8510928961748634,0.9185558667911609,0.8578823529411764,0.8569398389388916,0.9250770459424407
Golatkar,0.0001,True,0.3,1,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.724869012832642,28.952817916870117,0.06393133848905563,3.4506523609161377,0.853,0.8507614213197969,0.92428,0.868,0.8669354838709677,0.9290275555555555,0.8532857142857143,0.8520812328964424,0.9226695510204082
Golatkar,0.0001,True,0.3,2,3000,-1,None,3000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,10.713833332061768,29.25684928894043,0.11492124199867249,3.4589810371398926,0.848,0.8455284552845528,0.923819,0.851,0.8490374873353597,0.91686840749707,0.86,0.8587489189968289,0.9267373001418203
Golatkar,0.0001,True,0.25,0,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,15.419482946395874,29.287858963012695,0.20907601714134216,3.288191080093384,0.8515,0.8485466598674145,0.9244049999999999,0.8508,0.8516898608349901,0.917655021126657,0.8596,0.857104084679061,0.9265881232171966
Golatkar,0.0001,True,0.4,1,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,8.426616668701172,29.22683334350586,0.14286060631275177,4.138482093811035,0.8505,0.8489135927235978,0.924597,0.86675,0.8642729819200408,0.9269033641552726,0.8521666666666666,0.8528777575053905,0.9234308003033747
Golatkar,0.0001,True,0.45,1,4500,-1,None,4500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,7.974620342254639,29.329442977905273,0.1794458031654358,4.548194885253906,0.85,0.8486377396569122,0.924802,0.8662222222222222,0.8643533123028391,0.9270112839593594,0.8498181818181818,0.850632911392405,0.9233256680293874
Golatkar,0.0001,True,0.4,0,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.45349907875061,29.319355010986328,0.11200854927301407,4.031440258026123,0.8515,0.8490086426029486,0.9246440000000001,0.85375,0.8534936138241924,0.9215175853641766,0.8613333333333333,0.8590308370044052,0.9264923289748911
Golatkar,0.0001,True,0.35,0,3500,-1,None,3500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,12.79241156578064,29.226770401000977,0.20580384135246277,3.70365309715271,0.8525,0.8497198166072338,0.924722,0.8554285714285714,0.8549311926605505,0.9217375941762341,0.8593846153846154,0.857098186366479,0.9259353463020195
Golatkar,0.0001,True,0.25,2,2500,-1,None,2500,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,13.902390003204346,29.156349182128906,0.22536058723926544,3.2429823875427246,0.847,0.8449848024316109,0.9239389999999998,0.8544,0.8508196721311475,0.9196558595477818,0.8585333333333334,0.8579081291013793,0.9255911108146506
Golatkar,0.0001,True,0.4,2,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,500,34.540963649749756,9.991798877716064,29.302274703979492,0.08087105304002762,4.082757472991943,0.849,0.8467005076142131,0.92422,0.856,0.8539553752535497,0.9206393929477071,0.8596666666666667,0.8588195841716968,0.926404670975372
