method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.2,0,2000,0,None,2000,1,targeted_informed,0,SGD,1.0,False,512,500,0.1,0,299.75849771499634,9.349955081939697,24.638010025024414,97.21310424804688,0.7885,0.8120835184362506,0.890753,0.327,0.0,nan,0.892,0.9134961954345214,0.9572711666666666
Guo,0.0001,True,0.2,0,2000,0,None,2000,1,targeted_informed,0,SGD,1.0,False,512,500,0.1,2,300.80818700790405,9.138427257537842,24.726594924926758,97.12334442138672,0.792,0.8147818343722173,0.8911259999999999,0.3265,0.0,nan,0.89275,0.9140624999999999,0.9572890333333335
Guo,0.0001,True,0.05,0,500,0,None,500,1,targeted_informed,0,SGD,1.0,False,512,500,0.1,1,299.58952283859253,10.327215433120728,27.425539016723633,16.22489356994629,0.84,0.8425196850393701,0.916929,0.4,0.0,nan,0.8611578947368421,0.867530380636738,0.9311885111111111
Guo,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,1,1,300.47765254974365,9.792945384979248,48.628196716308594,64.58796691894531,0.8145,0.8262295081967213,0.905329,0.3496,0.0,nan,0.8797714285714285,0.8943987151174462,0.9461543733333333
Guo,0.0001,True,0.05,0,500,0,None,500,1,targeted_informed,0,SGD,1.0,False,512,500,0.01,2,300.01483631134033,10.2354257106781,27.145545959472656,15.769392013549805,0.8395,0.8421052631578947,0.9168419999999999,0.398,0.0,nan,0.8611578947368421,0.8675037669512807,0.931151111111111
Guo,0.0001,True,0.2,0,2000,0,None,2000,1,targeted_informed,0,SGD,1.0,False,512,500,0.01,2,301.55074977874756,9.115462064743042,24.316326141357422,97.0722885131836,0.7905,0.8135291499777482,0.890885,0.326,0.0,nan,0.89225,0.9136964357228675,0.9572822
Guo,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,0.1,1,301.2342095375061,9.450955390930176,26.519617080688477,53.0803108215332,0.814,0.8260056127221703,0.904292,0.3416,0.0,nan,0.8769142857142858,0.8919650917845321,0.9462650400000001
Guo,0.0001,True,0.05,0,500,0,None,500,1,targeted_informed,0,SGD,1.0,False,512,500,1,1,300.77572894096375,10.083589315414429,46.507476806640625,39.673797607421875,0.841,0.8425742574257425,0.9173760000000001,0.416,0.0,nan,0.8616842105263158,0.8681252509032517,0.9311485777777777
Guo,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,0.1,2,301.2707633972168,9.49429202079773,26.51310920715332,53.08034133911133,0.814,0.8261682242990653,0.904302,0.3424,0.0,nan,0.8766857142857143,0.8917427510785593,0.9462565866666667
Guo,0.0001,True,0.125,0,1250,0,None,1250,1,targeted_informed,0,SGD,1.0,False,512,500,0.01,2,301.3796193599701,9.465689659118652,26.18259620666504,52.90304946899414,0.8145,0.8267164876226063,0.904186,0.34,0.0,nan,0.8771428571428571,0.8921224284997492,0.9462336
