strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.922327756881714,38.9223108291626,0,1.6927719116210938e-05,0.8485,0.63,0.63,0.414201183431953,100,False,0.6200000047683716,0.6200000047683716,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.31403470039368,38.31402015686035,0,1.4543533325195312e-05,0.85,0.71,0.78,0.5025125628140675,200,False,0.3799999952316284,0.5,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.91496968269348,38.91496253013611,0,7.152557373046875e-06,0.849,0.7233333333333334,0.78,0.4436557231588258,300,False,0.3700000047683716,0.4566666781902313,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.108943462371826,38.1089289188385,0,1.4543533325195312e-05,0.8475,0.76,0.88,0.3552397868561282,400,False,0.3499999940395355,0.4300000071525574,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.27476644515991,38.274760723114014,0,5.7220458984375e-06,0.8455,0.766,0.8,0.23710729104919998,500,False,0.36000001430511475,0.41600000858306885,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.352449893951416,38.352434396743774,0,1.5497207641601562e-05,0.846,0.775,0.89,0.2666666666666636,600,False,0.38999998569488525,0.4116666615009308,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.28292655944824,38.282920122146606,0,6.4373016357421875e-06,0.8465,0.7814285714285715,0.86,0.29620853080568743,700,False,0.3400000035762787,0.40142858028411865,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.43686294555664,38.436848878860474,0,1.4066696166992188e-05,0.846,0.78375,0.83,0.2666666666666636,800,False,0.4000000059604645,0.4012500047683716,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.35885143280029,38.358845472335815,0,5.9604644775390625e-06,0.8465,0.7922222222222223,0.87,0.29620853080568743,900,False,0.3700000047683716,0.3977777659893036,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.86370921134949,38.86369514465332,0,1.4066696166992188e-05,0.846,0.797,0.86,0.2666666666666636,1000,False,0.3100000023841858,0.3889999985694885,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.3912718296051,38.39126181602478,0,1.0013580322265625e-05,0.8465,0.8036363636363636,0.87,0.29620853080568743,1100,False,0.3199999928474426,0.3827272653579712,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.299309730529785,38.29929494857788,0,1.4781951904296875e-05,0.845,0.8041666666666667,0.79,0.20753038837829516,1200,False,0.3700000047683716,0.3816666603088379,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.47535824775696,38.475350856781006,0,7.3909759521484375e-06,0.8435,0.8053846153846154,0.84,0.11869436201780426,1300,False,0.3100000023841858,0.3761538565158844,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,37.94266629219055,37.94265031814575,0,1.5974044799804688e-05,0.845,0.8092857142857143,0.87,0.20753038837829516,1400,False,0.3499999940395355,0.3742857277393341,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.222267866134644,38.22226047515869,0,7.3909759521484375e-06,0.8445,0.8133333333333334,0.86,0.1779359430604984,1500,False,0.27000001072883606,0.367333322763443,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,37.85356688499451,37.85355281829834,0,1.4066696166992188e-05,0.845,0.81625,0.86,0.20753038837829516,1600,False,0.30000001192092896,0.3631249964237213,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,38.18008255958557,38.180076122283936,0,6.4373016357421875e-06,0.8445,0.82,0.9,0.1779359430604984,1700,False,0.23000000417232513,0.3552941083908081,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,37.20905017852783,37.20903658866882,0,1.3589859008789062e-05,0.8475,0.8233333333333334,0.88,0.3552397868561282,1800,False,0.3199999928474426,0.35333332419395447,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,37.649312257766724,37.64930701255798,0,5.245208740234375e-06,0.847,0.8231578947368421,0.85,0.32573289902279834,1900,False,0.38999998569488525,0.3552631437778473,None
golatkar,0.0001,True,0.2,100,0,0,uniform_informed,0,SGD,1.0,False,512,500,1.0,0,37.52259969711304,37.52258491516113,0,1.4781951904296875e-05,0.848,0.8245,0.84,0.3847292098253892,2000,False,0.3199999928474426,0.35350000858306885,None
