strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4301564693450928,0.42878150939941406,0,0.001374959945678711,0.852,0.81,0.81,0.05865102639296193,0.013608571483334306,0.0010000000000000009,0.81,100,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4263179302215576,0.42497777938842773,0,0.0013401508331298828,0.852,0.84,0.87,0.05865102639296193,0.013608571483334306,0.0010000000000000009,0.84,200,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4299607276916504,0.428511381149292,0,0.0014493465423583984,0.851,0.8266666666666667,0.83,0.11737089201877945,0.027233115468409615,0.0020000000000000018,0.8266666666666667,300,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.42201995849609375,0.42064547538757324,0,0.0013744831085205078,0.8515,0.835,0.88,0.08800234672924294,0.020418845156131536,0.0014999999999999458,0.835,400,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4223947525024414,0.42048144340515137,0,0.001913309097290039,0.8505,0.824,0.8,0.1467566774288199,0.03405138593936671,0.0024999999999999467,0.824,500,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.41930603981018066,0.4179401397705078,0,0.0013659000396728516,0.85,0.8266666666666667,0.85,0.17615971814445114,0.040873660092339975,0.0030000000000000027,0.8266666666666667,600,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4152190685272217,0.41382360458374023,0,0.0013954639434814453,0.8495,0.8242857142857143,0.85,0.20558002936857256,0.04769994145479952,0.0034999999999999476,0.8242857142857143,700,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4130396842956543,0.4116823673248291,0,0.0013573169708251953,0.8485,0.83375,0.91,0.2644725242433117,0.061364539938807625,0.0044999999999999485,0.83375,800,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.4089500904083252,0.4075803756713867,0,0.0013697147369384766,0.8485,0.8277777777777777,0.82,0.2644725242433117,0.061364539938807625,0.0044999999999999485,0.8277777777777777,900,False,1.0,1.0,5,0.2320261437908497,0
golatkar_disparity_thresh_v2,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,0.0,0,0.40824103355407715,0.40688157081604004,0,0.0013594627380371094,0.848,0.822,0.81,0.29394473838918306,0.06820286413605228,0.0050000000000000044,0.822,1000,False,1.0,1.0,5,0.2320261437908497,0
