strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,1.9073486328125e-06,0,0,1.9073486328125e-06,0.843,0.86,0.86,0.0,None,0.0,0.86,100,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.89,0.92,0.0,None,0.0,0.89,200,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,7.152557373046875e-07,0,0,7.152557373046875e-07,0.843,0.8866666666666667,0.88,0.0,None,0.0,0.8866666666666667,300,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.8925,0.91,0.0,None,0.0,0.8925,400,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.843,0.89,0.88,0.0,None,0.0,0.89,500,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.843,0.8966666666666666,0.93,0.0,None,0.0,0.8966666666666666,600,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.8985714285714286,0.91,0.0,None,0.0,0.8985714285714286,700,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.90375,0.94,0.0,None,0.0,0.90375,800,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9088888888888889,0.95,0.0,None,0.0,0.9088888888888889,900,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.907,0.89,0.0,None,0.0,0.907,1000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9072727272727272,0.91,0.0,None,0.0,0.9072727272727272,1100,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9066666666666666,0.9,0.0,None,0.0,0.9066666666666666,1200,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9084615384615384,0.93,0.0,None,0.0,0.9084615384615384,1300,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9071428571428571,0.89,0.0,None,0.0,0.9071428571428571,1400,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,7.152557373046875e-07,0,0,7.152557373046875e-07,0.843,0.908,0.92,0.0,None,0.0,0.908,1500,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.91125,0.96,0.0,None,0.0,0.91125,1600,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,7.152557373046875e-07,0,0,7.152557373046875e-07,0.843,0.9123529411764706,0.93,0.0,None,0.0,0.9123529411764706,1700,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9122222222222223,0.91,0.0,None,0.0,0.9122222222222223,1800,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.843,0.9136842105263158,0.94,0.0,None,0.0,0.9136842105263158,1900,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.2,100,0,0,targeted_random,0,SGD,1.0,False,100,500,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.843,0.913,0.9,0.0,None,0.0,0.913,2000,False,1.0,1.0,None,None,0
