strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,49.141467809677124,0,49.14144587516785,2.193450927734375e-05,0.843,0.86,0.86,0.02966478789676327,100,True,0.5299999713897705,0.5299999713897705,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,47.58733510971069,0,47.58732008934021,1.5020370483398438e-05,0.8415,0.87,0.88,0.0593824228028504,200,True,0.4699999988079071,0.5,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,49.25671672821045,0,49.25670289993286,1.3828277587890625e-05,0.841,0.86,0.85,0.08910008910009248,300,True,0.5,0.5,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,57.093175649642944,0,57.09316039085388,1.52587890625e-05,0.8405,0.8625,0.85,0.1188354129530601,400,True,0.5,0.5,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,53.853859186172485,0,53.853841066360474,1.811981201171875e-05,0.8415,0.862,0.85,0.0593824228028504,500,True,0.5799999833106995,0.515999972820282,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,48.41436767578125,0,48.4143500328064,1.7642974853515625e-05,0.841,0.8633333333333333,0.87,0.08910008910009248,600,True,0.4000000059604645,0.49666666984558105,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,52.66264271736145,0,52.662625789642334,1.6927719116210938e-05,0.8365,0.8542857142857143,0.88,0.35735556879094726,700,True,0.6000000238418579,0.5114285945892334,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,47.0011351108551,0,47.00112509727478,1.0013580322265625e-05,0.8405,0.8675,0.88,0.1188354129530601,800,True,0.5099999904632568,0.5112500190734863,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,46.91813111305237,0,46.91811728477478,1.3828277587890625e-05,0.842,0.8622222222222222,0.83,0.029682398337789018,900,True,0.4399999976158142,0.503333330154419,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,56.70665144920349,0,56.706636905670166,1.4543533325195312e-05,0.8405,0.862,0.85,0.1188354129530601,1000,True,0.5400000214576721,0.5070000290870667,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,57.71877408027649,0,57.718759059906006,1.5020370483398438e-05,0.8415,0.860909090909091,0.85,0.0593824228028504,1100,True,0.4399999976158142,0.5009090900421143,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,47.0176465511322,0,47.01763367652893,1.2874603271484375e-05,0.841,0.8583333333333333,0.83,0.08910008910009248,1200,True,0.5899999737739563,0.5083333253860474,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,46.66071629524231,0,46.660709619522095,6.67572021484375e-06,0.8395,0.86,0.88,0.17835909631391217,1300,True,0.5299999713897705,0.5099999904632568,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,54.70837664604187,0,54.70836400985718,1.2636184692382812e-05,0.8405,0.8607142857142858,0.86,0.1188354129530601,1400,True,0.4099999964237213,0.5028571486473083,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,53.63763356208801,0,53.63762092590332,1.2636184692382812e-05,0.8395,0.8606666666666667,0.86,0.17835909631391217,1500,True,0.5099999904632568,0.503333330154419,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,50.39179039001465,0,50.391778230667114,1.2159347534179688e-05,0.842,0.86125,0.89,0.029682398337789018,1600,True,0.4300000071525574,0.4987500011920929,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,44.98981738090515,0,44.989802837371826,1.4543533325195312e-05,0.841,0.861764705882353,0.88,0.08910008910009248,1700,True,0.5,0.49882352352142334,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,47.19975829124451,0,47.19975018501282,8.106231689453125e-06,0.841,0.865,0.87,0.08910008910009248,1800,True,0.6000000238418579,0.504444420337677,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,53.15084195137024,0,53.15083074569702,1.1205673217773438e-05,0.8405,0.8642105263157894,0.88,0.1188354129530601,1900,True,0.47999998927116394,0.503157913684845,None
retrain,0.0001,True,0.2,100,1,0,uniform_random,0,SGD,1.0,False,512,500,1.0,1,46.391966104507446,0,46.391950368881226,1.5735626220703125e-05,0.8385,0.869,0.89,0.23795359904818578,2000,True,0.4300000071525574,0.49950000643730164,None
