method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,142.3910870552063,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,149.73643851280212,21.146501541137695,1161.6947021484375,0.005350010469555855,0.7448969054421535,0.7512001880014773,0.8185261250594529
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,0.4180326461791992,21.13065528869629,2104.687255859375,0.18194149434566498,0.745327183229493,0.7500886689523554,0.8187413903259786
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,143.7725386619568,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,155.30690622329712,21.146411895751953,1162.087890625,0.0007043167133815587,0.744914116553647,0.7512127977439444,0.8185281886305802
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,0.5600688457489014,21.148578643798828,1196.734619140625,0.020308442413806915,0.7448969054421535,0.7511417058428476,0.8185219611629867
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,2,142.30600881576538,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,2,168.80968379974365,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,2,0.3811497688293457,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
baseline,0.0001,True,0,SGD,1.0,False,512,200,10,2,159.6298792362213,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,10,2,179.57182669639587,21.12126922607422,1144.7645263671875,0.7044347524642944,0.7448280609961792,0.7512749966447457,0.8186394294010644
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,10,2,0.4635498523712158,30.807769775390625,34198.5078125,20.308467864990234,0.6759836150218581,0.6073007926574886,0.767751317828178
baseline,0.0001,True,0,SGD,1.0,False,512,200,100,0,155.74364185333252,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,100,0,185.55577540397644,21.85509490966797,1278.3380126953125,6.428564548492432,0.7415235275894118,0.7461975258568242,0.8157318286348885
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,100,0,0.4515516757965088,190.2501678466797,110850.078125,186.65232849121094,0.4909641664658704,0.25048150025342114,0.5362731841415869
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,2,192.62865114212036,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,2,157.5336892604828,21.14278793334961,1160.19384765625,0.07044267654418945,0.7448280609961792,0.7511497532646279,0.8185410994365508
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,2,0.4134531021118164,21.453392028808594,4690.61669921875,2.0308468341827393,0.7485456610787925,0.7485110338417048,0.8169214023993814
baseline,0.0001,True,0,SGD,1.0,False,512,200,10,1,169.07195782661438,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,10,1,194.55599093437195,21.160017013549805,1123.440673828125,0.5349785089492798,0.7442428832053974,0.7507129676228821,0.8183229288088947
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,10,1,0.395855188369751,26.610170364379883,82383.8359375,18.19414710998535,0.5878455130632336,0.3428195065726282,0.7019019266984442
baseline,0.0001,True,0,SGD,1.0,False,512,200,100,2,207.7134780883789,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,100,2,166.24593448638916,22.040023803710938,1196.0654296875,7.105040550231934,0.7450345943341021,0.7524150148744861,0.8177674221008717
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,100,2,0.40269041061401367,206.36297607421875,92716.1640625,203.0846710205078,0.5326322673918281,0.3440028989008334,0.5716128077566467
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,190.90118217468262,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,190.32814764976501,21.14640998840332,1162.0968017578125,0.0006396892131306231,0.744914116553647,0.7512127977439444,0.8185278667348256
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,0.391742467880249,21.148611068725586,1205.308349609375,0.018665233626961708,0.7449657498881278,0.7512172190322688,0.8185457494371033
