method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.7515251636505127,20.91358184814453,1307.570556640625,2.4245681762695312,0.7293380606519569,0.7444339714629311,0.811324108879917,0.5364696882769172,0.0,nan,0.7385604863466629,0.7600409434736177,0.8191206385652015
Guo,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.7038142681121826,20.057933807373047,1810.054931640625,4.347568988800049,0.7076864823930329,0.7346830380854189,0.7954146548478401,0.4234954389856763,0.0,nan,0.7384529736368485,0.7745626839511283,0.8237744120016129
Guo,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.6115303039550781,19.37932777404785,2839.703857421875,6.3787994384765625,0.6829885373997453,0.7246333477851366,0.7707921342335886,0.2885154775868224,0.0,nan,0.7523544684278496,0.7982758367909452,0.8369606562822727
Golatkar,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.7482929229736328,20.030824661254883,731.0225830078125,4.3866729736328125,0.7060514268011429,0.7349092771664054,0.7951459548860313,0.4156547015738846,0.0,nan,0.7371334349016933,0.7746285406145932,0.8238079527491502
Golatkar,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.7079088687896729,19.343454360961914,1814.5423583984375,6.448108196258545,0.6807338817940862,0.7243521160247266,0.7699393333800941,0.27852006731602835,0.0,nan,0.7513330363530826,0.7984867269544924,0.8369664079550708
Golatkar,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,0.8339793682098389,20.899946212768555,183.85057067871094,2.438397169113159,0.728064438401432,0.7447248521666074,0.811370027338968,0.5304264677758653,0.0,nan,0.737527804897688,0.760522714958721,0.8192115121804853
Guo,0.0001,True,0.15,0,39218,0,None,78436,2,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,1.0230302810668945,19.750688552856445,2249.52978515625,6.523153305053711,0.6819730818216241,0.723689326195532,0.7687591325323191,0.28483094497424655,0.0,nan,0.752201478601673,0.797952744349868,0.8365126477387703
Golatkar,0.0001,True,0.15,0,39218,0,None,78436,2,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,1.2561979293823242,20.046152114868164,950.5158081054688,6.631789684295654,0.6798733262194072,0.7230329382333671,0.7674684520819222,0.27642919067775,0.0,nan,0.7510293065511143,0.7977800965223096,0.836224259663963
Guo,0.0001,True,0.05,0,13072,0,None,26145,2,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,1.5820138454437256,20.971525192260742,1240.217041015625,2.440140962600708,0.7290110495335789,0.7441792451297381,0.8111747373935307,0.5355899789634729,0.0,nan,0.7383672360170301,0.759889301892509,0.8190497616707941
Guo,0.0001,True,0.1,0,26145,0,None,52291,2,targeted_informed,0,SGD,1.0,False,512,200,75.10152292251587,1.4664063453674316,20.23920440673828,1540.712890625,4.399513244628906,0.7071357268252384,0.7342163631251756,0.7946350310364418,0.42112409401235396,0.0,nan,0.7380896223909362,0.7742317174581195,0.823509334057921
