method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,254.35067772865295,0.6533942222595215,20.909759521484375,1306.594970703125,0.7293208495404633,0.7444301802167801,0.8113111980739465,0.5365844329699752,0.0,nan,0.7385101607399878,0.7599836661991948,0.8191084796530922
Guo,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,254.547367811203,0.6107640266418457,20.05795669555664,1810.7694091796875,0.7076864823930329,0.7346830380854189,0.7954145576270228,0.4234954389856763,0.0,nan,0.7384550984979357,0.7745632767885596,0.8237742394240927
Guo,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,255.92823266983032,0.5644049644470215,19.378984451293945,2839.093017578125,0.6829713262882517,0.7246142805884463,0.7707898050836434,0.2885154775868224,0.0,nan,0.7523567182782345,0.7982765603781157,0.8369595330102206
Guo,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,2,256.34642148017883,0.7204005718231201,19.378765106201172,2838.80322265625,0.6830057485112389,0.7246524144117207,0.7707920423480601,0.2885154775868224,0.0,nan,0.7523612179790043,0.7982824437973166,0.8369615257760534
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,2,256.42301750183105,0.7364425659179688,20.913143157958984,1307.4443359375,0.7293552717634505,0.7444460695886759,0.8113253164336047,0.5364696882769172,0.0,nan,0.7385604863466629,0.7600418301812887,0.8191221613195019
Guo,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,256.59362840652466,0.7063593864440918,20.05430030822754,1809.626953125,0.7076176379470587,0.7346288427893027,0.7953969114558798,0.4234954389856763,0.0,nan,0.7384232255816277,0.7745196983656282,0.8237634206741069
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,256.7090721130371,0.7446062564849854,20.91321563720703,1307.7493896484375,0.7293552717634505,0.7444460695886759,0.8113232854670196,0.5364696882769172,0.0,nan,0.7385564602981289,0.7600354747519539,0.8191195131072199
Guo,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,256.7780559062958,0.7198793888092041,19.37936019897461,2839.22314453125,0.6829885373997453,0.7246333477851366,0.7707918609482425,0.2885154775868224,0.0,nan,0.7523544684278496,0.7982758367909452,0.836960507061808
Guo,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,1,257.0926082134247,0.707176685333252,20.058095932006836,1810.370849609375,0.7076864823930329,0.734691327168208,0.7954122557463313,0.4234954389856763,0.0,nan,0.7384487239146741,0.7745598467407688,0.8237725067832535
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,257.7202227115631,0.7654504776000977,20.913593292236328,1307.541259765625,0.7293380606519569,0.7444339714629311,0.8113238901330784,0.5364696882769172,0.0,nan,0.7385604863466629,0.7600427168824065,0.8191204500832279
Guo,0.0001,True,0.15,0,78436,0,None,78436,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,258.4323229789734,0.6101174354553223,19.38225555419922,2835.774658203125,0.6828852707307838,0.7245354104684021,0.7707686044245716,0.2885154775868224,0.0,nan,0.7522779735147612,0.7982246200195716,0.8369439140462417
Guo,0.0001,True,0.05,0,26145,0,None,26145,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,1,259.88093423843384,0.7801108360290527,20.913698196411133,1307.2657470703125,0.7293208495404633,0.7444135667040449,0.8113221502361352,0.5364696882769172,0.0,nan,0.7385484082010608,0.7600307444441982,0.8191186255712339
Guo,0.0001,True,0.1,0,52291,0,None,52291,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,260.1684331893921,0.7177393436431885,20.057886123657227,1810.6651611328125,0.7076864823930329,0.7346830380854189,0.79541448471141,0.4234954389856763,0.0,nan,0.7384529736368485,0.7745618581719015,0.8237742801086656
