strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11068868637084961,0.11068391799926758,0,4.76837158203125e-06,0.7472720388282675,0.73,0.73,0.08284622819533081,1000,False,0.5180000066757202,0.5180000066757202,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11025595664978027,0.11025261878967285,0,3.337860107421875e-06,0.7472720388282675,0.7465,0.763,0.08284622819533081,2000,False,0.5,0.5090000033378601,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11032295227050781,0.11031961441040039,0,3.337860107421875e-06,0.7472376166052803,0.7453333333333333,0.743,0.08514947184314255,3000,False,0.5260000228881836,0.5146666765213013,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.1107187271118164,0.11071538925170898,0,3.337860107421875e-06,0.7473236721627483,0.747,0.751,0.07939156148243179,4000,False,0.4830000102519989,0.5067499876022339,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11033940315246582,0.1103360652923584,0,3.337860107421875e-06,0.7472376166052803,0.7422,0.723,0.08514947184314255,5000,False,0.5180000066757202,0.5090000033378601,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.1121373176574707,0.11212754249572754,0,9.775161743164062e-06,0.7473236721627483,0.7446666666666667,0.756,0.07939156148243179,6000,False,0.4819999933242798,0.5044999718666077,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11073875427246094,0.11073565483093262,0,3.0994415283203125e-06,0.7474097277202162,0.7448571428571429,0.747,0.07363431359013024,7000,False,0.5170000195503235,0.5062857270240784,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11049962043762207,0.11049652099609375,0,3.0994415283203125e-06,0.7473408832742419,0.745875,0.753,0.07824005891015952,8000,False,0.5450000166893005,0.5111250281333923,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11160969734191895,0.11160612106323242,0,3.5762786865234375e-06,0.7471859832707997,0.7445555555555555,0.734,0.08860453609196094,9000,False,0.5270000100135803,0.5128889083862305,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11053228378295898,0.11052870750427246,0,3.5762786865234375e-06,0.7471859832707997,0.744,0.74,0.08860453609196094,10000,False,0.503000020980835,0.511900007724762,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11049723625183105,0.11049413681030273,0,3.0994415283203125e-06,0.7472031943822932,0.744,0.744,0.08745282150418664,11000,False,0.5189999938011169,0.5125454664230347,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11049032211303711,0.11048722267150879,0,3.0994415283203125e-06,0.747168772159306,0.7439166666666667,0.743,0.08975627718579747,12000,False,0.5529999732971191,0.515916645526886,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11057543754577637,0.11057186126708984,0,3.5762786865234375e-06,0.7472376166052803,0.7452307692307693,0.762,0.08514947184314255,13000,False,0.5009999871253967,0.5147692561149597,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.1107330322265625,0.11072921752929688,0,3.814697265625e-06,0.747254827716774,0.7475714285714286,0.777,0.08399783676803543,14000,False,0.5049999952316284,0.5140714049339294,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.1104423999786377,0.11043834686279297,0,4.0531158447265625e-06,0.7472720388282675,0.7466666666666667,0.734,0.08284622819533081,15000,False,0.5139999985694885,0.5140666961669922,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11052870750427246,0.11052584648132324,0,2.86102294921875e-06,0.7472720388282675,0.747375,0.757,0.08284622819533081,16000,False,0.5080000162124634,0.5136874914169312,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.10994076728820801,0.10993766784667969,0,3.0994415283203125e-06,0.747254827716774,0.7469411764705882,0.74,0.08399783676803543,17000,False,0.531000018119812,0.5147058963775635,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11019563674926758,0.11019229888916016,0,3.337860107421875e-06,0.7471859832707997,0.745,0.712,0.08860453609196094,18000,False,0.515999972820282,0.5147777795791626,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.1101996898651123,0.11019611358642578,0,3.5762786865234375e-06,0.7473064610512546,0.7452105263157894,0.75,0.08054309055344748,19000,False,0.49900001287460327,0.5139473676681519,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.11052060127258301,0.11051726341247559,0,3.337860107421875e-06,0.7472204054937868,0.7451,0.743,0.08630113342155216,20000,False,0.5170000195503235,0.5141000151634216,None
golatkar,0.0001,True,0.15,1000,0,0,uniform_random,0,SGD,1.0,False,512,200,1.0,5,0.10971808433532715,0.10971403121948242,0,4.0531158447265625e-06,0.7471515610478124,0.7446190476190476,0.736,0.09090804478659642,21000,False,0.5170000195503235,0.5142381191253662,None
