strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12968134880065918,0.12049722671508789,0,0.009184122085571289,0.7477195277271006,0.72,0.72,0.05521303027514842,0.03662707253757903,0.0008261333516919045,0.72,1000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.13074254989624023,0.12124371528625488,0,0.009498834609985352,0.7473580943857354,0.731,0.745,0.0793879077259423,0.05266413816438374,0.001187566693057085,0.731,2000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12877178192138672,0.11921381950378418,0,0.009557962417602539,0.7469622388213831,0.7253333333333334,0.716,0.10587856189292381,0.07023743756321561,0.0015834222574093726,0.7253333333333334,3000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.1284322738647461,0.11911320686340332,0,0.009319067001342773,0.7468761832639151,0.72,0.708,0.11163925558484529,0.0740589511564616,0.0016694778148773626,0.72,4000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12932157516479492,0.11987447738647461,0,0.009447097778320312,0.7467384943719665,0.716,0.714,0.12085774467938747,0.08017428782735346,0.0018071667068260133,0.716,5000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12888336181640625,0.11954069137573242,0,0.009342670440673828,0.7466696499259923,0.7133333333333334,0.704,0.12546762589927923,0.0832323785169818,0.0018760111528002277,0.7133333333333334,6000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12906360626220703,0.11974310874938965,0,0.009320497512817383,0.746841761040928,0.7144285714285714,0.73,0.11394371870863948,0.07558767974778793,0.0017039000378644698,0.7144285714285714,7000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12861156463623047,0.11934185028076172,0,0.00926971435546875,0.7469278165983959,0.7115,0.699,0.10818275981125873,0.07176599022325279,0.0016178444803965908,0.7115,8000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.13152742385864258,0.12233638763427734,0,0.009191036224365234,0.7467040721489794,0.709,0.709,0.12316263222717397,0.08170329797193408,0.0018415889298131205,0.709,9000,False,1.0,1.0,5,0.6633773287764102,0
golatkar_disparity_thresh_v2,0.0001,True,0.15,1000,0,0,targeted_random,0,SGD,1.0,False,1000,200,1.0,2,0.12867999076843262,0.11937236785888672,0,0.009307622909545898,0.7466180165915115,0.7066,0.703,0.1289253154065759,0.08552613134607048,0.0019276444872809995,0.7066,10000,False,1.0,1.0,5,0.6633773287764102,0
