strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.61,0.61,0.0,None,0.0,0.61,1000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.7485456610787925,0.5975,0.585,0.0,None,0.0,0.5975,2000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.5863333333333334,0.564,0.0,None,0.0,0.5863333333333334,3000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.430511474609375e-06,0,0,1.430511474609375e-06,0.7485456610787925,0.5815,0.567,0.0,None,0.0,0.5815,4000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.58,0.574,0.0,None,0.0,0.58,5000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,2.384185791015625e-06,0,0,2.384185791015625e-06,0.7485456610787925,0.5951666666666666,0.671,0.0,None,0.0,0.5951666666666666,6000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.430511474609375e-06,0,0,1.430511474609375e-06,0.7485456610787925,0.6092857142857143,0.694,0.0,None,0.0,0.6092857142857143,7000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.7485456610787925,0.623625,0.724,0.0,None,0.0,0.623625,8000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.6378888888888888,0.752,0.0,None,0.0,0.6378888888888888,9000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.430511474609375e-06,0,0,1.430511474609375e-06,0.7485456610787925,0.6479,0.738,0.0,None,0.0,0.6479,10000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.6525454545454545,0.699,0.0,None,0.0,0.6525454545454545,11000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.7485456610787925,0.658,0.718,0.0,None,0.0,0.658,12000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,2.1457672119140625e-06,0,0,2.1457672119140625e-06,0.7485456610787925,0.66,0.684,0.0,None,0.0,0.66,13000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.7485456610787925,0.6649285714285714,0.729,0.0,None,0.0,0.6649285714285714,14000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.6702666666666667,0.745,0.0,None,0.0,0.6702666666666667,15000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.67525,0.75,0.0,None,0.0,0.67525,16000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,2.1457672119140625e-06,0,0,2.1457672119140625e-06,0.7485456610787925,0.6802941176470588,0.761,0.0,None,0.0,0.6802941176470588,17000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,2.86102294921875e-06,0,0,2.86102294921875e-06,0.7485456610787925,0.6848888888888889,0.763,0.0,None,0.0,0.6848888888888889,18000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.7485456610787925,0.6876842105263158,0.738,0.0,None,0.0,0.6876842105263158,19000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.7485456610787925,0.6911,0.756,0.0,None,0.0,0.6911,20000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,1.9073486328125e-06,0,0,1.9073486328125e-06,0.7485456610787925,0.6932857142857143,0.737,0.0,None,0.0,0.6932857142857143,21000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.15,1000,0,0,targeted_informed,0,SGD,1.0,False,1000,200,1.0,2,3.337860107421875e-06,0,0,3.337860107421875e-06,0.7485456610787925,0.6952727272727273,0.737,0.0,None,0.0,0.6952727272727273,22000,False,1.0,1.0,None,None,0
