strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,100.10345578193665,0,100.10344362258911,1.2159347534179688e-05,0.7516264500361434,0.773,0.773,0.0870900465244251,1000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,108.79705309867859,0,108.79704189300537,1.1205673217773438e-05,0.7515059722556883,0.7625,0.746,0.07907493782876582,2000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,100.14174032211304,0,100.14167356491089,6.67572021484375e-05,0.7525042167223159,0.754,0.765,0.1454470492573075,3000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,85.74860167503357,0,85.7485921382904,9.5367431640625e-06,0.7529861278441362,0.75575,0.755,0.17745720991471173,4000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,95.49753665924072,0,95.49752497673035,1.1682510375976562e-05,0.75209115004647,0.7626,0.761,0.11799342444411542,5000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,90.49450707435608,0,90.4944953918457,1.1682510375976562e-05,0.7530377611786169,0.7616666666666667,0.767,0.18088565279113467,6000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,89.85272741317749,0,89.85271573066711,1.1682510375976562e-05,0.7506109944580222,0.7735714285714286,0.78,0.019493847970926546,7000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,89.89127540588379,0,89.89126515388489,1.0251998901367188e-05,0.7516952944821177,0.765625,0.732,0.09166953133952682,8000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,90.02649402618408,0,90.02648329734802,1.0728836059570312e-05,0.7523837389418608,0.7621111111111111,0.775,0.13744130111098515,9000,True,1.0,1.0,None
retrain,0.0001,True,0.15,1000,1,0,targeted_random,0,SGD,1.0,False,512,200,1.0,1,89.94613909721375,0,89.94612836837769,1.0728836059570312e-05,0.7521944167154315,0.7583,0.735,0.12485824579892699,10000,True,1.0,1.0,None
