method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,60,0,0,296.5002951622009,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0,0,242.0627474784851,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0,0,50.81749415397644,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
baseline,0.0001,True,0,SGD,1.0,False,512,60,0,2,296.0468316078186,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0,2,243.21418452262878,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0,2,50.86248707771301,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
baseline,0.0001,True,0,SGD,1.0,False,512,60,1,2,295.31513833999634,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,1,2,240.6682288646698,39.18901062011719,3544.039794921875,0.7764016389846802,0.87803,0.8791143443313478,0.9457190020323916
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,1,2,77.08458352088928,42.295509338378906,5539.91357421875,16.11763572692871,0.86596,0.8629139479228456,0.9368615390578466
baseline,0.0001,True,0,SGD,1.0,False,512,60,100,0,296.0357856750488,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,100,0,242.69940423965454,94.97837829589844,5008.2109375,83.5636215209961,0.76449,0.7656360397655465,0.8400068850055769
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,100,0,77.44397401809692,1642.2296142578125,68732.8515625,1642.123046875,0.51398,0.5143199760167882,0.5175378380056489
baseline,0.0001,True,0,SGD,1.0,False,512,60,0.1,1,297.5967297554016,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0.1,1,243.06932592391968,39.18231964111328,3539.879150390625,0.08014211803674698,0.8781,0.8792327963700489,0.9457474876554649
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0.1,1,77.4598879814148,39.1642951965332,3417.417236328125,1.6562737226486206,0.87754,0.8786034339188706,0.9455124598650924
baseline,0.0001,True,0,SGD,1.0,False,512,60,0.01,1,301.8061292171478,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0.01,1,247.57520747184753,39.18043518066406,3537.493408203125,0.008012867532670498,0.87802,0.8791511452801776,0.945743842052512
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0.01,1,76.82760190963745,39.17547607421875,3525.022216796875,0.16562741994857788,0.87805,0.8791772760147821,0.9457280946397567
