method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.35,2,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,84.6372458934784,39.23093032836914,1263.9141845703125,1.8049676418304443,0.87814,0.8786182441181745,0.9456177119503467,0.8777214285714285,0.8783341032656978,0.9455623672184529,0.8806884615384616,0.8815743763003685,0.9473064014337657
Guo,0.0001,True,0.35,1,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,84.50752806663513,39.20518493652344,1264.0745849609375,1.8268160820007324,0.87825,0.8786516629954849,0.945587424725814,0.87825,0.8790405563637653,0.945864191134189,0.8804807692307692,0.8810640130131089,0.9471067418175607
Guo,0.0001,True,0.35,0,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,84.8940224647522,39.20595169067383,1264.164794921875,1.7926009893417358,0.87789,0.8783340806057888,0.945599662935727,0.8789,0.8794767896495344,0.9461046168087703,0.880426923076923,0.881188686383839,0.9470965667471967
Guo,0.0001,True,0.3,1,120000,-1,None,120000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,90.70121788978577,39.201168060302734,1264.0894775390625,1.6324055194854736,0.87839,0.8787718686138665,0.9456380445668162,0.8783916666666667,0.8790478321771058,0.9459634466385438,0.88055,0.8811476574937459,0.9470544442748001
Guo,0.0001,True,0.3,2,120000,-1,None,120000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,91.33128523826599,39.22356033325195,1263.9049072265625,1.648833990097046,0.87797,0.8783580378592291,0.9456125023461269,0.8774333333333333,0.8779013780508051,0.9452333815189522,0.8807357142857143,0.8815513180670241,0.9472891897774782
Guo,0.0001,True,0.3,0,120000,-1,None,120000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,91.52411413192749,39.19725799560547,1264.1605224609375,1.5912115573883057,0.87798,0.8783716433085464,0.9456400417684339,0.879,0.8794500531349627,0.9462122060326263,0.8801535714285714,0.8808544028517968,0.94699520418365
Guo,0.0001,True,0.25,1,100000,-1,None,100000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,96.00542163848877,39.200252532958984,1264.08837890625,1.443968653678894,0.8783,0.8785962252104864,0.9455967077333332,0.87806,0.8789004310087989,0.9456168492327695,0.8803566666666667,0.8808060279413278,0.9470565481740174
Guo,0.0001,True,0.25,0,100000,-1,None,100000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,96.6954894065857,39.205589294433594,1264.136962890625,1.4060022830963135,0.87796,0.8783153192677382,0.9456171599498996,0.87845,0.8790005475088347,0.9457852914558559,0.8803733333333333,0.8809937525699355,0.9470637526209124
Guo,0.0001,True,0.25,2,100000,-1,None,100000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,96.88221597671509,39.203189849853516,1264.0640869140625,1.4272860288619995,0.87817,0.8784871485423046,0.9456668497901484,0.87826,0.8786821859927453,0.9457021310429755,0.8803333333333333,0.8810446861103931,0.9470710142347636
Guo,0.0001,True,0.2,2,80000,-1,None,80000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,102.29133248329163,39.18964385986328,1264.167236328125,1.2194886207580566,0.87818,0.8784740926956766,0.9457197066329625,0.8789,0.8795264623955431,0.9461690440016053,0.87996875,0.8805391754372869,0.9469301092043834
Guo,0.0001,True,0.2,1,80000,-1,None,80000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,102.53794765472412,39.20332336425781,1264.1654052734375,1.2495909929275513,0.87813,0.8783866042650009,0.9456427455706239,0.8777375,0.8785828667899748,0.9453321722071724,0.880403125,0.8808325003970071,0.9470833601057946
Guo,0.0001,True,0.2,0,80000,-1,None,80000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,102.38046264648438,39.19552993774414,1264.0970458984375,1.2463854551315308,0.87806,0.8784150281178957,0.9456258023568999,0.8784875,0.878695234411071,0.9456987607239145,0.880171875,0.8809069027098377,0.9469683717950081
Guo,0.0001,True,0.15,0,60000,-1,None,60000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,107.68350315093994,39.190616607666016,1264.19091796875,1.024835467338562,0.87818,0.8784595430509826,0.9456728791950322,0.8778666666666667,0.8779724238992873,0.9456861986035189,0.8803294117647059,0.880940118919425,0.9469231099046069
Guo,0.0001,True,0.15,2,60000,-1,None,60000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,108.25424909591675,39.17375946044922,1264.2169189453125,1.0205076932907104,0.87805,0.8783043439212047,0.9457097026248591,0.8798,0.8804218066056506,0.9467564989120094,0.879785294117647,0.8803101692284715,0.9467790182588774
Guo,0.0001,True,0.15,1,60000,-1,None,60000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,108.89397406578064,39.19575119018555,1264.2236328125,1.0668482780456543,0.87821,0.8784057667155879,0.9456998540168817,0.8787,0.8796786139399551,0.9455504592697295,0.8801235294117647,0.8804918955689522,0.9470125859674343
Guo,0.0001,True,0.1,2,40000,-1,None,40000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,113.34020400047302,39.1743049621582,1264.2386474609375,0.8358414769172668,0.87807,0.8783048715978161,0.945678328399446,0.87995,0.8801657017368737,0.9462274881194784,0.8796666666666667,0.8802030906054001,0.9468077090829519
Guo,0.0001,True,0.1,1,40000,-1,None,40000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,114.5501983165741,39.19073486328125,1264.21044921875,0.8471812009811401,0.87845,0.8786502271252434,0.9457155380295857,0.878375,0.8791034020029322,0.9452234049534882,0.8800083333333333,0.8804192261590036,0.9469643640478969
Guo,0.0001,True,0.1,0,40000,-1,None,40000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,113.99263787269592,39.18794250488281,1264.2491455078125,0.8239405751228333,0.87823,0.8784912438257746,0.9456586803835312,0.8778,0.8777694423605902,0.9453553240900556,0.8800472222222222,0.8806205750713932,0.9468979284952106
Guo,0.0001,True,0.05,2,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,120.98420643806458,39.18247985839844,1264.2662353515625,0.5730547904968262,0.87824,0.8784223664503246,0.945744177652784,0.8804,0.8809713375796178,0.9464699351822943,0.8798605263157895,0.8803024622249955,0.9468399276485777
Guo,0.0001,True,0.05,1,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,121.82439303398132,39.18381881713867,1264.240478515625,0.5675603747367859,0.87824,0.8783956535634388,0.9457251040373342,0.8787,0.8803983435219878,0.9455858135358652,0.8799026315789473,0.8802420508191258,0.9468670487441877
Guo,0.0001,True,0.05,0,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,121.3388843536377,39.19204330444336,1264.224853515625,0.5771506428718567,0.87835,0.8785722128504838,0.9457078824233848,0.87405,0.8730406733531575,0.9440072101792497,0.8801368421052631,0.8807069373729756,0.9469404735604692
Guo,0.0001,True,0.01,0,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,123.98812127113342,39.185157775878906,1264.259765625,0.2484668642282486,0.87827,0.878465670270864,0.9457475708555324,0.87475,0.8720306513409962,0.9430908102262129,0.8800126262626262,0.8804903630185397,0.9468679699024438
Guo,0.0001,True,0.01,2,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,125.14144134521484,39.18091583251953,1264.2626953125,0.2483147382736206,0.8782,0.87837513979869,0.9457689312728343,0.879,0.8793619142572282,0.9491931677385097,0.8799974747474747,0.8804439982992811,0.9468142834607811
Guo,0.0001,True,0.01,1,4000,-1,None,4000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,125.7034170627594,39.181739807128906,1264.2506103515625,0.24936239421367645,0.87838,0.8785742811501598,0.9457327392435187,0.87925,0.8822238478419898,0.9442152134824322,0.8799520202020202,0.8803644004882161,0.9468314770085575
Guo,0.0001,True,0.4,0,160000,-1,None,160000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,74.12619829177856,39.20513153076172,1264.2237548828125,1.9862823486328125,0.87796,0.8784655831739963,0.9455839369229888,0.87901875,0.8796049235285702,0.9461898913992312,0.8805458333333334,0.881444386090423,0.9470968075735667
Guo,0.0001,True,0.4,2,160000,-1,None,160000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,74.99333691596985,39.241920471191406,1263.7369384765625,1.9818944931030273,0.87797,0.8784985313884602,0.9455419478889777,0.8777,0.8785079223165947,0.9454325824325855,0.88095,0.8817844050741845,0.9474159429675095
Guo,0.0001,True,0.4,1,160000,-1,None,160000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,75.38095235824585,39.19889450073242,1264.016357421875,2.0323379039764404,0.87834,0.878877782645056,0.9455826675219607,0.8786375,0.8794137738309632,0.9460525644075091,0.8804291666666667,0.8812156182607652,0.947057661213473
Guo,0.0001,True,0.5,0,200000,-1,None,200000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,63.716224670410156,39.213321685791016,1264.10546875,2.4736785888671875,0.87816,0.8788144022279688,0.9455161116680505,0.879355,0.8801871005864274,0.9461509383790403,0.88046,0.8815145207651898,0.9471727597024555
Guo,0.0001,True,0.5,2,200000,-1,None,200000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,63.88261008262634,39.27934646606445,1263.309326171875,2.4621715545654297,0.87776,0.878375420372913,0.9453696287493992,0.877465,0.87829200582045,0.945235450026112,0.881195,0.8823217690612386,0.9477251664982564
Guo,0.0001,True,0.45,1,180000,-1,None,180000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,69.83316922187805,39.236793518066406,1263.744384765625,2.253342628479004,0.87828,0.878904850969,0.9455654871080446,0.8784555555555555,0.8794281683310187,0.9458043562981835,0.8807045454545455,0.8815108105301652,0.9473435781358299
Guo,0.0001,True,0.45,0,180000,-1,None,180000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,70.23624014854431,39.19737243652344,1264.164306640625,2.2240488529205322,0.87801,0.8786012120970872,0.9455749373156992,0.8795333333333333,0.8802372720343757,0.9463338258892485,0.8803772727272727,0.8813400365218567,0.9470108727291816
Guo,0.0001,True,0.45,2,180000,-1,None,180000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,69.8258409500122,39.255836486816406,1263.6795654296875,2.210725784301758,0.87795,0.8784713578747175,0.9455636355065448,0.8777444444444444,0.8785125153198114,0.9455687451680225,0.881,0.881938055811101,0.947499065565875
Guo,0.0001,True,0.5,1,200000,-1,None,200000,1,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,64.8438127040863,39.253719329833984,1263.610107421875,2.490546464920044,0.87787,0.8786116826191966,0.9454831376413415,0.878175,0.879339972564886,0.9456100289781835,0.880615,0.8814737228777507,0.9474980967170323
Guo,0.0001,True,0.2,0,40000,-1,None,80000,2,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,205.3972933292389,39.195465087890625,1264.166015625,1.2464485168457031,0.87806,0.8784150281178957,0.9456258053569023,0.8784875,0.878695234411071,0.9456987338481088,0.880171875,0.8809069027098377,0.9469683842168839
Guo,0.0001,True,0.2,1,40000,-1,None,80000,2,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,204.93961191177368,39.20311737060547,1264.1658935546875,1.2496683597564697,0.87813,0.8783866042650009,0.9456428035706708,0.8777375,0.8785828667899748,0.9453321947071947,0.880403125,0.8808325003970071,0.9470834378403127
Guo,0.0001,True,0.2,2,40000,-1,None,80000,2,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,205.40626573562622,39.18938446044922,1264.2030029296875,1.21951162815094,0.87818,0.8784740926956766,0.9457197982330365,0.8789,0.8795264623955431,0.9461691277516142,0.87996875,0.8805391754372869,0.9469302052005781
Guo,0.0001,True,0.1,0,20000,-1,None,40000,2,uniform_random,0,SGD,1.0,False,512,60,139.401193857193,221.41048049926758,39.18790054321289,1264.2412109375,0.8239738941192627,0.87823,0.8784912438257746,0.9456586881835374,0.8778,0.8777694423605902,0.9453552628375859,0.8800472222222222,0.8806205750713932,0.94689793892731
