method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Golatkar,0.0001,True,0.25,0,100000,0,None,100000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,76.60453534126282,36.50704574584961,466.8638610839844,3.1927406787872314,0.8011,0.8296884900587399,0.9453910783667734,0.63533,0.0,nan,0.85852,0.901403084928452,0.9467479483989907
Guo,0.0001,True,0.25,0,100000,0,None,100000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,75.80093574523926,36.39826965332031,794.08544921875,3.298861265182495,0.79606,0.8263838046753954,0.9453496931332515,0.62363,0.0,nan,0.8557933333333333,0.8998708518684818,0.9467131545120777
Guo,0.0001,True,0.2,0,80000,0,None,80000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,79.57416772842407,37.64934539794922,1049.3701171875,2.1176581382751465,0.83104,0.849773272872766,0.945463107425117,0.705175,0.0,nan,0.863915625,0.8979272291720871,0.9469032019454526
Golatkar,0.0001,True,0.2,0,80000,0,None,80000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,81.3904356956482,37.72496032714844,207.9951629638672,2.0489113330841064,0.83505,0.8525270225567944,0.9454959498517195,0.7152,0.0,nan,0.86628125,0.8993171732572859,0.9469321940654475
Guo,0.0001,True,0.1,0,40000,0,None,40000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,90.12004399299622,38.87916564941406,1242.6053466796875,0.9364655613899231,0.86844,0.8750854538549183,0.9456690539919337,0.815725,0.0,nan,0.8756,0.891928415606479,0.9467864277801035
Golatkar,0.0001,True,0.1,0,40000,0,None,40000,1,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,91.0893247127533,38.909080505371094,21.030170440673828,0.9174659252166748,0.87067,0.8765782014944602,0.9456922256107028,0.822175,0.0,nan,0.876725,0.8924742385439357,0.9468078633084789
Guo,0.0001,True,0.25,0,50000,0,None,100000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,158.00482511520386,36.963096618652344,934.64111328125,2.8570594787597656,0.79746,0.827266834959405,0.9451275021532768,0.62693,0.0,nan,0.85636,0.9001561652849669,0.946482662536422
Golatkar,0.0001,True,0.25,0,50000,0,None,100000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,159.13857054710388,37.26419448852539,324.5751037597656,2.6109588146209717,0.8031,0.8309639092064146,0.9450987597299954,0.64012,0.0,nan,0.8594866666666666,0.9019136083990283,0.9464435714707808
Golatkar,0.0001,True,0.2,0,40000,0,None,80000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,165.17187690734863,38.15518569946289,138.4340362548828,1.7802281379699707,0.83563,0.852900904770854,0.9453352253215325,0.7167625,0.0,nan,0.86646875,0.8993811694672593,0.9467658690634155
Guo,0.0001,True,0.2,0,40000,0,None,80000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,166.53318405151367,37.98035430908203,1119.7000732421875,1.903428077697754,0.83134,0.849935938500961,0.9453379509237403,0.706425,0.0,nan,0.864084375,0.8979988133124764,0.9467739969035998
Guo,0.0001,True,0.1,0,20000,0,None,40000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,172.77547931671143,38.947566986083984,1250.0751953125,0.9183328747749329,0.86848,0.875116318818011,0.9456438935715538,0.815775,0.0,nan,0.8756055555555555,0.8919280260249245,0.9467608723935883
Golatkar,0.0001,True,0.1,0,20000,0,None,40000,2,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,178.4789752960205,38.986549377441406,11.65562915802002,0.8986591100692749,0.87061,0.8765020855007588,0.9456638541877219,0.822275,0.0,nan,0.8766944444444444,0.8924389865663831,0.9467788597752402
Guo,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,216.11345529556274,38.16684341430664,1178.1285400390625,1.7986478805541992,0.83161,0.8501161579748457,0.9452663208657199,0.7069625,0.0,nan,0.864125,0.8980046634482307,0.9467006780243632
Golatkar,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,219.79109263420105,38.314613342285156,50.20849609375,1.7012317180633545,0.83562,0.8528906389833542,0.9452728762710297,0.7169125,0.0,nan,0.86643125,0.8993476981043211,0.9467021574451028
baseline,0.0001,True,0.1,0,None,0,None,40000,None,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,136.80553698539734,39.01663589477539,431.9231262207031,0.897210955619812,0.86955,0.8756636198137575,0.9455725055137294,0.8202,0.0,nan,0.8761305555555555,0.8920561686511923,0.946675542829839
baseline,0.0001,True,0.25,0,None,0,None,100000,None,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,140.1737048625946,37.64678955078125,701.4196166992188,2.3856029510498047,0.80033,0.8290042733944797,0.9447576966537343,0.63418,0.0,nan,0.8576766666666666,0.9008003903209693,0.946081346872144
baseline,0.0001,True,0.2,0,None,0,None,80000,None,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,156.73574090003967,38.35261917114258,1197.537841796875,1.7001817226409912,0.83178,0.8502074762693452,0.9451779587941467,0.7079625,0.0,nan,0.864353125,0.8981441286274436,0.9466069174915182
Golatkar,0.0001,True,0.25,0,25000,0,None,100000,4,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,249.88141989707947,37.56047821044922,121.39910888671875,2.4178669452667236,0.8033,0.8310834020335256,0.9449754714301317,0.64052,0.0,nan,0.8594933333333333,0.901894977912871,0.9463169410903074
Guo,0.0001,True,0.1,0,10000,0,None,40000,4,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,262.0980281829834,38.98357009887695,1255.3865966796875,0.9106611609458923,0.86846,0.8750973279905805,0.9456306507608272,0.815775,0.0,nan,0.8756,0.8919211128379879,0.9467472742326184
Golatkar,0.0001,True,0.1,0,10000,0,None,40000,4,targeted_informed,0,SGD,1.0,False,512,60,119.33021211624146,267.41109108924866,39.01521301269531,3.8886003494262695,0.8936075568199158,0.87059,0.876482996248962,0.9456532351791206,0.8223,0.0,nan,0.8767055555555555,0.8924460728011128,0.9467680143360507
