method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.25,0,100000,-1,None,100000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,64.45386004447937,39.20551300048828,3536.880859375,1.406186580657959,0.87752,0.8791371449999014,0.9455993969355115,0.87795,0.8797667247884465,0.9457733888003228,0.8794233333333333,0.8813101069990714,0.9470145995882893
Guo,0.0001,True,0.3,0,120000,-1,None,120000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,72.95319080352783,39.197349548339844,3536.793701171875,1.5917450189590454,0.87761,0.8793200351025962,0.9456190795514544,0.878375,0.8802029040227856,0.9461881116050926,0.8789035714285715,0.8809675097856804,0.9469416727502606
Guo,0.0001,True,0.15,1,60000,-1,None,60000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,76.29592728614807,39.195289611816406,3537.1591796875,1.067152500152588,0.8782,0.8794870780068864,0.9456825098028329,0.8781166666666667,0.8802305966360404,0.9455055849947225,0.8794470588235294,0.8809166870039165,0.9469772608815968
Guo,0.0001,True,0.05,2,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,80.40174794197083,39.18144607543945,3537.240234375,0.5731971263885498,0.87816,0.8793233231646923,0.9457300748413606,0.8791,0.880627962085308,0.9464239851781587,0.8793947368421052,0.8808452886700328,0.9468095150866562
Guo,0.0001,True,0.35,1,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,88.74042868614197,39.20637893676758,3536.56884765625,1.8283683061599731,0.87743,0.8793044026271996,0.9455516788968599,0.87735,0.879605673699193,0.9457992044911381,0.8791269230769231,0.8812008815335357,0.947048546119809
Guo,0.0001,True,0.35,0,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,89.82323145866394,39.206787109375,3536.622314453125,1.7947213649749756,0.87716,0.879025427901755,0.9455763017168045,0.8778642857142858,0.8798611647825079,0.9460740868669999,0.8788538461538462,0.8810705088995114,0.9470383252955075
Guo,0.0001,True,0.35,2,140000,-1,None,140000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,91.58933401107788,39.2319450378418,3536.19677734375,1.8058719635009766,0.87683,0.8787613319815342,0.9455806533203293,0.8762214285714286,0.8783631067279682,0.9455109155247358,0.8793346153846154,0.8816046191293847,0.9472447206049983
Guo,0.0001,True,0.3,2,120000,-1,None,120000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,92.6641993522644,39.22393798828125,3536.224853515625,1.6502007246017456,0.87694,0.8786964750414006,0.9455773229176315,0.8760583333333334,0.8779551142657858,0.9451723302886333,0.8794571428571428,0.8815785780447414,0.9472333253880814
Guo,0.0001,True,0.05,0,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,96.56167149543762,39.190948486328125,3537.1650390625,0.5772267580032349,0.87785,0.8791036946861052,0.9456957698135737,0.87405,0.8741821087857748,0.9440169127888636,0.879628947368421,0.8811881959650586,0.946909914889966
Guo,0.0001,True,0.05,1,20000,-1,None,20000,1,uniform_random,0,SGD,1.0,False,512,60,130.36576890945435,96.7242603302002,39.182796478271484,3537.22314453125,0.5679406523704529,0.87822,0.8793731922817862,0.9457154042294774,0.87845,0.881211825067188,0.9455824379914235,0.8794368421052632,0.8807709523958236,0.9468384587818007
