strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,9.180367946624756,9.180357456207275,0,1.049041748046875e-05,0.87831,0.874,0.874,0.01708116971850676,None,0.000300000000000078,0.874,500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.2144248485565186,7.214403867721558,0,2.09808349609375e-05,0.87835,0.873,0.872,0.019358218132957194,None,0.00034000000000000696,0.873,1000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.153812646865845,7.153797626495361,0,1.5020370483398438e-05,0.87842,0.8713333333333333,0.868,0.02334280329987654,None,0.00041000000000002146,0.8713333333333333,1500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.298872470855713,7.298865079879761,0,7.3909759521484375e-06,0.87837,0.872,0.874,0.02049670344686383,None,0.00036000000000002697,0.872,2000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.105851411819458,7.105841636657715,0,9.775161743164062e-06,0.87836,0.872,0.874,0.01992746403093155,None,0.0003500000000000725,0.872,2500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.185907363891602,7.185899257659912,0,8.106231689453125e-06,0.8783,0.876,0.896,0.016511891408692796,None,0.00029000000000001247,0.876,3000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.1778295040130615,7.177823543548584,0,5.9604644775390625e-06,0.87834,0.8742857142857143,0.864,0.018788965752842685,None,0.0003300000000000525,0.8742857142857143,3500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.167142391204834,7.167131423950195,0,1.0967254638671875e-05,0.87836,0.87375,0.872,0.01992746403093155,None,0.0003500000000000725,0.87375,4000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.135441780090332,7.135421276092529,0,2.0503997802734375e-05,0.87841,0.8722222222222222,0.864,0.02277359629246234,None,0.00040000000000006697,0.8722222222222222,4500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.093885898590088,7.093879222869873,0,6.67572021484375e-06,0.87849,0.8726,0.882,0.02732707087959214,None,0.00048000000000003595,0.8726,5000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.15033483505249,7.150327920913696,0,6.9141387939453125e-06,0.87849,0.8736363636363637,0.9,0.02732707087959214,None,0.00048000000000003595,0.8736363636363637,5500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.094718933105469,7.094711542129517,0,7.3909759521484375e-06,0.87853,0.872,0.86,0.029603652635298707,None,0.000520000000000076,0.872,6000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,0.0,0,7.05036187171936,7.050327777862549,0,3.409385681152344e-05,0.87856,0.8704615384615385,0.862,0.03131102091007193,None,0.0005500000000000504,0.8704615384615385,6500,False,1.0,1.0,None,None,0
