strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,13.228042840957642,13.228036165237427,0,6.67572021484375e-06,0.86408,0.872,0.872,0.0017359202402563094,500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.952344417572021,12.952328205108643,0,1.621246337890625e-05,0.86403,0.866,0.86,0.004629254574286806,1000,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.970648050308228,12.970640897750854,0,7.152557373046875e-06,0.86406,0.8666666666666667,0.868,0.002893233883240335,1500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.905093431472778,12.905086517333984,0,6.9141387939453125e-06,0.86388,0.8695,0.88,0.013310262212169252,2000,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.986016511917114,12.98599910736084,0,1.7404556274414062e-05,0.86379,0.868,0.862,0.018519590254071298,2500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.896181583404541,12.896175146102905,0,6.4373016357421875e-06,0.86368,0.87,0.882,0.024887283755551395,3000,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.986597061157227,12.986590147018433,0,6.9141387939453125e-06,0.86367,0.8662857142857143,0.844,0.02546620518816029,3500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.998287677764893,12.99827241897583,0,1.52587890625e-05,0.86372,0.866,0.868,0.022571665036490943,4000,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,13.015893459320068,13.015887975692749,0,5.4836273193359375e-06,0.86379,0.8642222222222222,0.856,0.018519590254071298,4500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.927533864974976,12.927517175674438,0,1.6689300537109375e-05,0.86387,0.8654,0.88,0.013889049641779302,5000,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,13.017194986343384,13.017181873321533,0,1.3113021850585938e-05,0.86381,0.8658181818181818,0.87,0.017361914903472265,5500,False,1.0,1.0,None
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,512,60,1.0,1,12.95331335067749,12.953307151794434,0,6.198883056640625e-06,0.86381,0.8633333333333333,0.846,0.017361914903472265,6000,False,1.0,1.0,None
