strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.67435073852539,13.674330234527588,0,2.0503997802734375e-05,0.86408,0.872,0.872,0.0017359202402563094,None,3.0000000000085514e-05,0.872,500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.657201290130615,13.657194375991821,0,6.9141387939453125e-06,0.86403,0.866,0.86,0.004629254574286806,None,8.000000000008001e-05,0.866,1000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.71360182762146,13.713595151901245,0,6.67572021484375e-06,0.86406,0.8666666666666667,0.868,0.002893233883240335,None,4.999999999999449e-05,0.8666666666666667,1500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.632917642593384,13.632910013198853,0,7.62939453125e-06,0.86388,0.8695,0.88,0.013310262212169252,None,0.0002300000000000635,0.8695,2000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.69825005531311,13.698237657546997,0,1.239776611328125e-05,0.86379,0.868,0.862,0.018519590254071298,None,0.000320000000000098,0.868,2500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.607675790786743,13.607669591903687,0,6.198883056640625e-06,0.86368,0.87,0.882,0.024887283755551395,None,0.00043000000000004146,0.87,3000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.592739343643188,13.592729330062866,0,1.0013580322265625e-05,0.86367,0.8662857142857143,0.844,0.02546620518816029,None,0.00043999999999999595,0.8662857142857143,3500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.65186858177185,13.651861906051636,0,6.67572021484375e-06,0.86372,0.866,0.868,0.022571665036490943,None,0.00039000000000000146,0.866,4000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.627527952194214,13.627515316009521,0,1.2636184692382812e-05,0.86379,0.8642222222222222,0.856,0.018519590254071298,None,0.000320000000000098,0.8642222222222222,4500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.630244731903076,13.630237817764282,0,6.9141387939453125e-06,0.86387,0.8654,0.88,0.013889049641779302,None,0.00024000000000001798,0.8654,5000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.612194299697876,13.612186908721924,0,7.3909759521484375e-06,0.86381,0.8658181818181818,0.87,0.017361914903472265,None,0.000300000000000078,0.8658181818181818,5500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.624072074890137,13.624061346054077,0,1.0728836059570312e-05,0.86381,0.8633333333333333,0.846,0.017361914903472265,None,0.000300000000000078,0.8633333333333333,6000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.59918999671936,13.59918212890625,0,7.867813110351562e-06,0.86393,0.8613846153846154,0.85,0.010416425545708952,None,0.000180000000000069,0.8613846153846154,6500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.674159526824951,13.674148559570312,0,1.0967254638671875e-05,0.86396,0.8595714285714285,0.842,0.008680203926929725,None,0.0001500000000000945,0.8595714285714285,7000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.562140464782715,13.562133312225342,0,7.152557373046875e-06,0.86394,0.8584,0.856,0.009837678307919531,None,0.00017000000000000348,0.8584,7500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.580147504806519,13.580134630203247,0,1.2874603271484375e-05,0.8639,0.8575,0.856,0.012152707449612183,None,0.00021000000000004349,0.8575,8000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.59019660949707,13.590189933776855,0,6.67572021484375e-06,0.86388,0.8571764705882353,0.858,0.013310262212169252,None,0.0002300000000000635,0.8571764705882353,8500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.612095355987549,13.612088441848755,0,6.9141387939453125e-06,0.86387,0.8581111111111112,0.884,0.013889049641779302,None,0.00024000000000001798,0.8581111111111112,9000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.648723602294922,13.648712635040283,0,1.0967254638671875e-05,0.86391,0.8573684210526316,0.85,0.011573940116438988,None,0.000200000000000089,0.8573684210526316,9500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.576018333435059,13.576011657714844,0,6.67572021484375e-06,0.86389,0.8563,0.854,0.012731481481481365,None,0.00021999999999999797,0.8563,10000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.58505368232727,13.585042476654053,0,1.1205673217773438e-05,0.8639,0.8556190476190476,0.858,0.012152707449612183,None,0.00021000000000004349,0.8556190476190476,10500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.534619569778442,13.534611463546753,0,8.106231689453125e-06,0.86391,0.8545454545454545,0.846,0.011573940116438988,None,0.000200000000000089,0.8545454545454545,11000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.605523824691772,13.605509996414185,0,1.3828277587890625e-05,0.86388,0.8535652173913043,0.838,0.013310262212169252,None,0.0002300000000000635,0.8535652173913043,11500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.576119661331177,13.576112031936646,0,7.62939453125e-06,0.86387,0.8531666666666666,0.854,0.013889049641779302,None,0.00024000000000001798,0.8531666666666666,12000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.550440311431885,13.550432920455933,0,7.3909759521484375e-06,0.86386,0.85224,0.84,0.01446784377044066,None,0.0002500000000000835,0.85224,12500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.530255317687988,13.530243635177612,0,1.1682510375976562e-05,0.86372,0.8520769230769231,0.856,0.022571665036490943,None,0.00039000000000000146,0.8520769230769231,13000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.553401231765747,13.553394794464111,0,6.4373016357421875e-06,0.86372,0.8516296296296296,0.856,0.022571665036490943,None,0.00039000000000000146,0.8516296296296296,13500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.547197103500366,13.547184705734253,0,1.239776611328125e-05,0.86372,0.85,0.832,0.022571665036490943,None,0.00039000000000000146,0.85,14000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.592972040176392,13.592966318130493,0,5.7220458984375e-06,0.86358,0.8499310344827586,0.866,0.0306767996573477,None,0.0005300000000000304,0.8499310344827586,14500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.544623374938965,13.544609069824219,0,1.430511474609375e-05,0.86355,0.8492,0.858,0.03241378511975764,None,0.0005600000000000049,0.8492,15000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.531610012054443,13.531604766845703,0,5.245208740234375e-06,0.8635,0.8481290322580645,0.834,0.03530889494735498,None,0.0006099999999999994,0.8481290322580645,15500,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.532769918441772,13.5327627658844,0,7.152557373046875e-06,0.86325,0.846875,0.83,0.049786958132646525,None,0.0008600000000000829,0.846875,16000,False,1.0,1.0,None,None,0
golatkar,0.0001,True,0.25,500,0,0,targeted_informed,0,SGD,1.0,False,500,60,1.0,1,13.512557029724121,13.512547731399536,0,9.298324584960938e-06,0.8632,0.8463636363636363,0.852,0.0526830736810461,None,0.0009100000000000774,0.8463636363636363,16500,False,1.0,1.0,None,None,0
