strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.606152534484863,4.569803476333618,0,0.03634905815124512,0.87833,0.9,0.9,0.018219706890470977,0.0006047779900427388,0.000320000000000098,0.9,500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.59965705871582,4.56334662437439,0,0.036310434341430664,0.87835,0.895,0.89,0.019358218132957194,0.0006425692972800681,0.00034000000000000696,0.895,1000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.596409320831299,4.5601232051849365,0,0.036286115646362305,0.87837,0.8913333333333333,0.886,0.02049670344686383,0.0006803597438540324,0.00036000000000002697,0.8913333333333333,1500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.580154657363892,4.5441038608551025,0,0.03605079650878906,0.87847,0.888,0.88,0.02618874111860175,0.0008692990677990086,0.00046000000000001595,0.888,2000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.580966949462891,4.544599771499634,0,0.036367177963256836,0.87832,0.8884,0.89,0.017650441545725034,0.0005858820136658356,0.00031000000000003247,0.8884,2500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.580108880996704,4.54401421546936,0,0.03609466552734375,0.87832,0.888,0.886,0.017650441545725034,0.0005858820136658356,0.00031000000000003247,0.888,3000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.580823183059692,4.54451847076416,0,0.03630471229553223,0.87835,0.8825714285714286,0.852,0.019358218132957194,0.0006425692972800681,0.00034000000000000696,0.8825714285714286,3500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,4.596395254135132,4.5587804317474365,0,0.03761482238769531,0.87836,0.88125,0.878,0.01992746403093155,0.0006614646281482645,0.0003500000000000725,0.88125,4000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,6.120425701141357,6.079818964004517,0,0.04060673713684082,0.87834,0.8804444444444445,0.878,0.018788965752842685,0.000623673751246188,0.0003300000000000525,0.8804444444444445,4500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,6.381147861480713,6.3421525955200195,0,0.03899526596069336,0.87837,0.8782,0.866,0.02049670344686383,0.0006803597438540324,0.00036000000000002697,0.8782,5000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,6.505924940109253,6.436427593231201,0,0.06949734687805176,0.87842,0.8796363636363637,0.9,0.02334280329987654,0.000774832095078639,0.00041000000000002146,0.8796363636363637,5500,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,6.450836420059204,6.410874128341675,0,0.0399622917175293,0.87847,0.8771666666666667,0.864,0.02618874111860175,0.0008692990677990086,0.00046000000000001595,0.8771666666666667,6000,False,1.0,1.0,5,0.03319361796972933,0
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,500,60,0.0,0,6.334083080291748,6.293216705322266,0,0.04086637496948242,0.87853,0.8747692307692307,0.856,0.029603652635298707,0.0009826523360846762,0.000520000000000076,0.8747692307692307,6500,False,1.0,1.0,5,0.03319361796972933,0
