strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,9.5367431640625e-07,0,0,9.5367431640625e-07,0.87801,0.864,0.864,0.0,500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.871,0.878,0.0,1000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8646666666666667,0.852,0.0,1500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,9.5367431640625e-07,0,0,9.5367431640625e-07,0.87801,0.8675,0.876,0.0,2000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.8672,0.866,0.0,2500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.868,0.872,0.0,3000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8697142857142857,0.88,0.0,3500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.86925,0.866,0.0,4000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.87801,0.8682222222222222,0.86,0.0,4500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.9073486328125e-06,0,0,1.9073486328125e-06,0.87801,0.8672,0.858,0.0,5000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.87801,0.8703636363636363,0.902,0.0,5500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.8688333333333333,0.852,0.0,6000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8707692307692307,0.894,0.0,6500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8702857142857143,0.864,0.0,7000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.87,0.866,0.0,7500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.87801,0.8695,0.862,0.0,8000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.87801,0.8696470588235294,0.872,0.0,8500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,2.1457672119140625e-06,0,0,2.1457672119140625e-06,0.87801,0.8701111111111111,0.878,0.0,9000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8707368421052631,0.882,0.0,9500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8707,0.87,0.0,10000,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.430511474609375e-06,0,0,1.430511474609375e-06,0.87801,0.8710476190476191,0.878,0.0,10500,False,1.0,1.0,None
nothing,0.0001,True,0.25,500,1,0,targeted_random,0,SGD,1.0,False,512,60,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.87801,0.8702727272727273,0.854,0.0,11000,False,1.0,1.0,None
