strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.494712829589844,0,52.49469709396362,1.5735626220703125e-05,0.86144,0.892,0.892,0.15473327344904877,500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.599130153656006,0,52.599114656448364,1.5497207641601562e-05,0.86239,0.886,0.886,0.09962351578337994,1000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.46822953224182,0,52.468212366104126,1.71661376953125e-05,0.86341,0.866,0.868,0.040520514957860625,1500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.407965660095215,0,52.407949447631836,1.621246337890625e-05,0.86462,0.8785,0.866,0.029501425902252545,2000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.38811373710632,0,52.38809776306152,1.5974044799804688e-05,0.86401,0.8792,0.878,0.005786635187377034,2500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.41622972488403,0,52.41621470451355,1.5020370483398438e-05,0.86335,0.8626666666666667,0.858,0.04399522999085906,3000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.28331255912781,0,52.28329658508301,1.5974044799804688e-05,0.86349,0.8851428571428571,0.866,0.03588793702246266,3500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.19632005691528,0,52.19630146026611,1.8596649169921875e-05,0.86376,0.862,0.846,0.020256153530073005,4000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.168232440948486,0,52.16821646690369,1.5974044799804688e-05,0.86296,0.8748888888888889,0.856,0.06658676255161027,4500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.14696979522705,0,52.14695167541504,1.811981201171875e-05,0.86354,0.8544,0.842,0.032992793679279396,5000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.017723083496094,0,52.01770567893982,1.7404556274414062e-05,0.86419,0.8701818181818182,0.884,0.004628826014000404,5500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,52.04067087173462,0,52.040653705596924,1.71661376953125e-05,0.86247,0.8415,0.816,0.09498546259079138,6000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.812312602996826,0,51.812294721603394,1.7881393432617188e-05,0.86418,0.8675384615384616,0.834,0.0040502461971025396,6500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.85288763046265,0,51.852871894836426,1.5735626220703125e-05,0.86369,0.873,0.898,0.024308369024197647,7000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.77468466758728,0,51.77466917037964,1.5497207641601562e-05,0.86375,0.8716,0.872,0.02083502135589845,7500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.77972769737244,0,51.77971363067627,1.4066696166992188e-05,0.86256,0.88275,0.876,0.08976816647072408,8000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.721208810806274,0,51.721192598342896,1.621246337890625e-05,0.86383,0.8694117647058823,0.89,0.016204266351844278,8500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.69546675682068,0,51.69545125961304,1.5497207641601562e-05,0.86375,0.8658888888888889,0.86,0.02083502135589845,9000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.64072608947754,0,51.64071011543274,1.5974044799804688e-05,0.86376,0.87,0.854,0.020256153530073005,9500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.57723307609558,0,51.577216148376465,1.6927719116210938e-05,0.86441,0.8676,0.86,0.01735588827435997,10000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.61717224121094,0,51.617157220840454,1.5020370483398438e-05,0.86362,0.8633333333333333,0.826,0.028360912874117503,10500,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.42066717147827,0,51.42065143585205,1.5735626220703125e-05,0.86344,0.8524545454545455,0.852,0.03878324795230584,11000,True,1.0,1.0,None
retrain,0.0001,True,0.25,500,0,0,targeted_random,0,SGD,1.0,False,512,60,1.0,1,51.43882656097412,0,51.4388108253479,1.5735626220703125e-05,0.86362,0.853304347826087,0.84,0.028360912874117503,11500,True,1.0,1.0,None
