method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.01,1,252.15201354026794,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.01,1,229.81423163414001,10.240446090698242,37050.63671875,3.7325848097680137e-05,0.5811254545454545,0.6497784331460973,0.6131523959249547
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.01,1,2.020512580871582,10.241691589355469,36076.4765625,0.00804148055613041,0.5811545454545455,0.6499900481184867,0.6131591984654845
baseline,0.0001,True,0,SGD,1.0,False,512,20,100,0,261.46309089660645,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,100,0,243.65740275382996,10.265413284301758,36920.15625,0.28731679916381836,0.58141,0.65033022962293,0.6134104383546866
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,100,0,2.042280912399292,62.91674041748047,422995.375,62.347469329833984,0.5070472727272727,0.5121045310337753,0.5128327248090181
baseline,0.0001,True,0,SGD,1.0,False,512,20,10,0,295.45912289619446,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,10,0,217.77627682685852,10.242589950561523,37037.3515625,0.028726650401949883,0.5811463636363636,0.6498180074225914,0.6131790883604568
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,10,0,1.4401013851165771,11.848341941833496,79041.734375,6.234746932983398,0.5535318181818182,0.599651590951147,0.5722079991062698
baseline,0.0001,True,0,SGD,1.0,False,512,20,1,0,252.51970720291138,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,1,0,266.10443353652954,10.240662574768066,37048.87109375,0.002870878903195262,0.5811345454545455,0.6497881636133951,0.6131550864485068
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,1,0,2.3640260696411133,10.243045806884766,38933.046875,0.6234747171401978,0.57993,0.6470682137065945,0.6113488099120379
baseline,0.0001,True,0,SGD,1.0,False,512,20,1,2,317.69712710380554,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,1,2,213.6680200099945,10.239015579223633,37048.20703125,0.002869078889489174,0.5811263636363636,0.6497799918366292,0.6131468569254745
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,1,2,1.3687572479248047,10.564199447631836,156289.796875,0.6297876238822937,0.58354,0.6213399150939652,0.6151304262901957
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.01,2,310.6677362918854,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.01,2,231.38422274589539,10.240437507629395,37050.625,2.8649697924265638e-05,0.5811254545454545,0.6497784331460973,0.6131523440499433
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.01,2,1.377035140991211,10.243548393249512,38233.51953125,0.006297840271145105,0.5811318181818181,0.6495288181928129,0.6131822734284398
baseline,0.0001,True,0,SGD,1.0,False,512,20,0,0,312.8771448135376,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0,0,237.2368927001953,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0,0,1.370352029800415,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
baseline,0.0001,True,0,SGD,1.0,False,512,20,0,1,310.18324184417725,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0,1,254.2610583305359,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0,1,1.3358123302459717,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.01,0,315.79270100593567,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.01,0,252.9074833393097,10.24045467376709,37050.44921875,2.80815929727396e-05,0.5811245454545455,0.6497774068525398,0.6131524317590559
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.01,0,1.454064130783081,10.240289688110352,37064.81640625,0.0062348139472305775,0.5811118181818182,0.6497587790808597,0.6131414830461864
baseline,0.0001,True,0,SGD,1.0,False,512,20,10,2,351.5660102367401,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,10,2,221.590252161026,10.226080894470215,37026.33203125,0.028698362410068512,0.5811218181818182,0.6497924289386439,0.6130965878413125
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,10,2,1.3692617416381836,14.4193696975708,1215840.5,6.297874927520752,0.5123490909090909,0.25851630275518495,0.577631114067386
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.1,0,331.58176612854004,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.1,0,247.5051827430725,10.24047565460205,37050.51953125,0.0002871383330784738,0.5811263636363636,0.6497794594380948,0.613152671536666
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.1,0,1.3612689971923828,10.23900318145752,37195.59765625,0.06234745308756828,0.5809936363636363,0.6495315625910091,0.6130361320754608
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.1,1,368.08445978164673,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.1,1,214.81515741348267,10.240402221679688,37050.53515625,0.0003756892983801663,0.5811245454545455,0.6497784716558492,0.6131523378193683
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.1,1,1.3637492656707764,10.253128051757812,27326.47265625,0.08041483163833618,0.5810190909090909,0.651552736331573,0.6132089966070853
baseline,0.0001,True,0,SGD,1.0,False,512,20,0,2,345.27292490005493,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0,2,237.98949003219604,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0,2,1.3530101776123047,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
baseline,0.0001,True,0,SGD,1.0,False,512,20,100,2,346.44851326942444,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,100,2,237.10180974006653,10.0994873046875,36815.55859375,0.2870132625102997,0.5808754545454545,0.6497927410368189,0.6125813624395827
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,100,2,1.3661696910858154,68.5935287475586,5188087.0,62.978759765625,0.4783881818181818,0.08438189678146209,0.5163904561733256
baseline,0.0001,True,0,SGD,1.0,False,512,20,10,1,327.3660876750946,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,10,1,258.216938495636,10.235356330871582,37055.71484375,0.037704240530729294,0.5811445454545454,0.6498239395139318,0.6131449546443161
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,10,1,1.287222146987915,13.959358215332031,901031.75,8.041478157043457,0.55158,0.6806460342802685,0.5657532806073421
baseline,0.0001,True,0,SGD,1.0,False,512,20,1,1,340.89502716064453,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,1,1,251.91535687446594,10.239931106567383,37050.95703125,0.003771925810724497,0.5811290909090909,0.6497836030883877,0.6131516346004379
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,1,1,1.2727534770965576,10.394549369812012,60760.88671875,0.8041479587554932,0.5799918181818182,0.6654225261845224,0.6126101517522307
baseline,0.0001,True,0,SGD,1.0,False,512,20,0.1,2,355.14357805252075,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,0.1,2,237.94542622566223,10.240309715270996,37050.32421875,0.0002856422506738454,0.5811272727272727,0.6497799533303438,0.6131518510913563
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,0.1,2,1.2633056640625,10.2715482711792,48898.45703125,0.06297869980335236,0.5817181818181818,0.6476941736421857,0.6134425345865218
baseline,0.0001,True,0,SGD,1.0,False,512,20,100,1,346.46879959106445,10.24045181274414,37050.55859375,0.0,0.5811245454545455,0.6497774068525398,0.6131524004071205
Guo,0.0001,True,0,SGD,1.0,False,512,20,100,1,255.38262701034546,10.195683479309082,37119.59765625,0.37708303332328796,0.5810254545454545,0.6499172785320698,0.6130621283885177
Golatkar,0.0001,True,0,SGD,1.0,False,512,20,100,1,1.1911187171936035,82.61186218261719,3766313.0,80.41478729248047,0.5300363636363636,0.661242634569817,0.5102532710199803
