method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.1,0,990000,0,None,990000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,2.464805841445923,10.695209503173828,105173.75,5.221432685852051,0.5382063636363636,0.6759092727413089,0.5454352011346699,0.004286868686868687,0.0,nan,0.5984169472502806,0.7203890931815465,0.6336882492651612
Guo,0.0001,True,0.01,0,99000,0,None,99000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,2.6864852905273438,10.228731155395508,82671.9609375,0.6693575978279114,0.5820372727272727,0.6632697678199863,0.6141647704433655,0.24344444444444444,0.0,nan,0.5844465870829507,0.6719122504172952,0.6147031052536661
Guo,0.0001,True,0.05,0,495000,0,None,495000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,4.321321249008179,10.328069686889648,87033.6875,2.8456640243530273,0.556069090909091,0.6790863710086563,0.582297494658333,0.02421818181818182,0.0,nan,0.5856078681552366,0.6998570042797061,0.6176062625757666
Golatkar,0.0001,True,0.05,0,495000,0,None,495000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,5.768930196762085,10.334905624389648,5906.57275390625,2.9077587127685547,0.5531236363636364,0.6829220780058491,0.5813886434106013,0.019042424242424243,0.0,nan,0.5829437533227007,0.7043825744911952,0.6169234242686082
Golatkar,0.0001,True,0.01,0,99000,0,None,99000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,5.968189477920532,10.231461524963379,335.6441650390625,0.706768274307251,0.5780063636363636,0.674554503828354,0.6136482392136272,0.18987878787878787,0.0,nan,0.5806996224875013,0.6824397311222606,0.6142650815852314
Golatkar,0.0001,True,0.1,0,990000,0,None,990000,1,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,5.628682613372803,10.718491554260254,27105.14453125,5.325379371643066,0.5375281818181818,0.6785234241948377,0.5446284846135819,0.003363636363636364,0.0,nan,0.5975721661054995,0.7233310776766375,0.6331144198443648
Guo,0.0001,True,0.05,0,247500,0,None,495000,2,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,7.8136305809021,10.340195655822754,85125.265625,2.8524715900421143,0.5559636363636363,0.6790080293995102,0.5821735846341796,0.024115151515151517,0.0,nan,0.5855384370015949,0.6998028084299878,0.6174827736576798
Golatkar,0.0001,True,0.05,0,247500,0,None,495000,2,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,10.00651216506958,10.359469413757324,1931.2757568359375,2.9229466915130615,0.5529972727272727,0.6827814676348106,0.58112092684858,0.01893737373737374,0.0,nan,0.5828343434343435,0.704247983320354,0.6166618919674933
Golatkar,0.0001,True,0.1,0,495000,0,None,990000,2,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,9.585520029067993,10.826530456542969,11108.494140625,5.418970108032227,0.53732,0.6781983335419883,0.5441584454572386,0.003306060606060606,0.0,nan,0.597372278338945,0.7229824078173133,0.6325741083633042
Guo,0.0001,True,0.01,0,49500,0,None,99000,2,targeted_informed,0,SGD,1.0,False,512,20,139.32816576957703,7.111700057983398,10.229320526123047,82600.0859375,0.6693460941314697,0.5820354545454546,0.6632683030080645,0.6141567403485004,0.2434040404040404,0.0,nan,0.5844407713498623,0.6719076323499441,0.6146950726617126
