method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.01,0,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.2601253986358643,10.240537643432617,37051.38671875,0.005528247449547052,0.5810981818181818,0.6496698872051261,0.6131612186962728,0.5819797979797979,0.6622761918751734,0.6151053141967097,0.5797355371900826,0.660174609845453,0.6130145351148403
Guo,0.0001,True,0.01,2,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.2662601470947266,10.241715431213379,37049.71484375,0.005685425363481045,0.5811190909090909,0.6497536784799138,0.6131699546260476,0.5798282828282828,0.6600024520822265,0.6136083303287496,0.5797448219569432,0.6602611313216129,0.6130393858088818
Guo,0.0001,True,0.01,1,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.253509759902954,10.24107837677002,37050.3046875,0.005420363042503595,0.5811109090909091,0.6496341817639876,0.6131511204286998,0.5807272727272728,0.6621410431724946,0.6132492743144974,0.5797538006325885,0.6601384305119112,0.6130233463688721
Guo,0.0001,True,0.05,2,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.223694086074829,10.243916511535645,37051.4375,0.013206874020397663,0.5810681818181819,0.6494169057394977,0.6131409059565887,0.579480808080808,0.6595498653128717,0.6129939417384386,0.5797490696438065,0.6599713246033904,0.6130132289825944
Guo,0.0001,True,0.05,1,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.323230504989624,10.24190616607666,37050.80859375,0.009664579294621944,0.5810745454545454,0.6491352832162561,0.6130971666660487,0.5805070707070707,0.6607413894230533,0.6124695445747133,0.5797232323232323,0.6596608182995521,0.6129968887250262
Guo,0.0001,True,0.1,2,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.3988077640533447,10.249784469604492,37051.16796875,0.02511902153491974,0.5810463636363636,0.6490756090076247,0.6131302225640332,0.5796676767676767,0.6591696309443561,0.6127749376265695,0.5797603815937149,0.6596928111721289,0.6130238704332215
Guo,0.0001,True,0.05,0,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.7428555488586426,10.236615180969238,37050.66015625,0.01424446702003479,0.5811018181818182,0.6494629218269787,0.613166370451247,0.5809010101010101,0.6607490359865643,0.6148679722329266,0.5797139819245083,0.6599897363571914,0.6129416213729436
Guo,0.0001,True,0.1,1,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.3416004180908203,10.24426555633545,37050.828125,0.01948767900466919,0.5811709090909091,0.648789739774231,0.6131366176405464,0.5806141414141414,0.6601533595699122,0.6133878351101358,0.5797396184062851,0.6592817010546607,0.6129669929182727
Guo,0.0001,True,0.1,0,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.799039363861084,10.233450889587402,37049.75390625,0.025533968582749367,0.5811,0.6489379533126104,0.6131589448963405,0.5810313131313132,0.6604572271507169,0.6146647493868197,0.5796485970819304,0.6594459215638244,0.612841497497503
Guo,0.0001,True,0.15,2,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.8038761615753174,10.245404243469238,37052.51171875,0.03022420033812523,0.5810390909090909,0.6485899968813169,0.6130549167151862,0.5797340067340068,0.6588800397038174,0.6130021635341516,0.5797688651218063,0.6592573770821946,0.6129085199991219
Guo,0.0001,True,0.2,0,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.451624631881714,10.23148250579834,37051.33203125,0.03338785469532013,0.5811227272727273,0.6478653655241037,0.6130683892356181,0.5804035353535354,0.6588995376591619,0.6137113491825983,0.5796604797979797,0.6583747714307147,0.6127236184569692
Guo,0.0001,True,0.15,0,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.5808303356170654,10.230621337890625,37053.3828125,0.02837427332997322,0.5810472727272727,0.6483949773326885,0.6130704062930599,0.5802909090909091,0.6593382087692257,0.6139340204261405,0.5796626262626262,0.6589397425072142,0.6127515123884345
Guo,0.0001,True,0.15,1,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.9201178550720215,10.243261337280273,37049.8203125,0.0193763617426157,0.5811709090909091,0.6483023223503511,0.6130699847422377,0.5801878787878788,0.6593683391514875,0.6131734880151434,0.579782174688057,0.658816986608588,0.6128988937748018
Guo,0.0001,True,0.2,1,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.5603106021881104,10.244563102722168,37050.65625,0.02598840370774269,0.58117,0.6477193395631293,0.6129487811597929,0.5798237373737374,0.6584643830819485,0.6127131297291256,0.5798229797979798,0.6582929774001982,0.6128392916818033
Guo,0.0001,True,0.25,1,2475000,-1,None,2475000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.388558864593506,10.24058723449707,37049.43359375,0.03549249470233917,0.5812054545454546,0.6469438649681412,0.6128021720243285,0.5798824242424242,0.6575612339363114,0.6125237064521072,0.5798212794612795,0.6575003405974733,0.6127089169004865
Guo,0.0001,True,0.2,2,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.4905805587768555,10.24940299987793,37051.1953125,0.03813321143388748,0.58107,0.6481442597616388,0.6130354841006304,0.5796611111111111,0.6583664148897175,0.6128324169465826,0.5798223484848485,0.6588235969562592,0.6129163478538667
Guo,0.0001,True,0.25,2,2475000,-1,None,2475000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.4144182205200195,10.25225830078125,37049.61328125,0.04496673494577408,0.5811890909090909,0.6474245550446639,0.6129320941403712,0.5797858585858586,0.6578549307274912,0.6125491717812964,0.5798379797979798,0.6580975415640086,0.6128765188804508
Guo,0.0001,True,0.3,2,2970000,-1,None,2970000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.359032392501831,10.253613471984863,37052.46484375,0.055526915937662125,0.5812445454545454,0.6467193356377606,0.612917700378987,0.5799824915824916,0.6573745448193313,0.612691511543019,0.5798523809523809,0.6573838457924124,0.6128108533952242
Guo,0.0001,True,0.25,0,2475000,-1,None,2475000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.5066680908203125,10.22823715209961,37051.3515625,0.04287048429250717,0.581149090909091,0.6471440584376296,0.6129601356413518,0.5804105050505051,0.6581908091572701,0.6134011568765025,0.5796501010101011,0.6575642998567324,0.6126097116891358
Guo,0.0001,True,0.35,1,3465000,-1,None,3465000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.134503126144409,10.238812446594238,37050.703125,0.04657229781150818,0.5811954545454545,0.6454848443106814,0.612616217168951,0.5797743145743146,0.6559898806238706,0.61246792074245,0.5798651126651126,0.6561721367432671,0.6124652208802948
Guo,0.0001,True,0.3,1,2970000,-1,None,2970000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.3735311031341553,10.241331100463867,37050.59765625,0.04131760820746422,0.5811790909090909,0.6462788888914482,0.6127672237417807,0.5798380471380471,0.6568324762035452,0.6126452681259992,0.5798519480519481,0.6568953335071074,0.6126137307419567
Guo,0.0001,True,0.3,0,2970000,-1,None,2970000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.341535806655884,10.22593879699707,37052.9375,0.04749313369393349,0.5811390909090909,0.6462695493486942,0.6128621268310434,0.5803323232323232,0.6573336137537991,0.6131981360538139,0.5796252525252525,0.6567393718060097,0.6124933782752582
Guo,0.0001,True,0.35,2,3465000,-1,None,3465000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.114640235900879,10.258270263671875,37054.4453125,0.06867149472236633,0.5813345454545454,0.6458154522941565,0.6128217670137089,0.5798753246753247,0.6563747375716233,0.6125129696936785,0.57996891996892,0.6565065256008055,0.6127540511634192
Guo,0.0001,True,0.35,0,3465000,-1,None,3465000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.1396265029907227,10.224870681762695,37054.83203125,0.05582188814878464,0.5812327272727272,0.6457080624097241,0.6128295013038941,0.5802920634920635,0.6566888507822356,0.6132184910566614,0.5796082362082362,0.6562483044133222,0.6123688050796192
Golatkar,0.0001,True,0.01,0,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.9607808589935303,10.244440078735352,10.966480255126953,0.07637551426887512,0.5812845454545454,0.6579805431030193,0.61388352430039,0.5813030303030303,0.6695788726892999,0.6159968263804362,0.5797423732272217,0.66791006539413,0.6137887718883961
Golatkar,0.0001,True,0.01,1,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.412076234817505,10.244985580444336,10.909814834594727,0.07826735079288483,0.5812681818181819,0.6579372040123249,0.6138701244086239,0.5805353535353536,0.6697102498230321,0.6140255822755534,0.579761248852158,0.6678749337162629,0.6137954099503964
Golatkar,0.0001,True,0.01,2,99000,-1,None,99000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.033051490783691,10.245650291442871,11.280567169189453,0.07808369398117065,0.5812336363636363,0.6580090501096927,0.6138920168611824,0.580010101010101,0.6678701802874054,0.6144839441043926,0.5797406387103357,0.6679898295455828,0.613813560963648
Golatkar,0.0001,True,0.05,1,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.04399299621582,10.245895385742188,11.693402290344238,0.07960541546344757,0.5812790909090909,0.6578210910517294,0.6138492204941947,0.5802262626262626,0.6685954525735576,0.613282569475463,0.5797582137161085,0.6677580074764188,0.6138038430377246
Golatkar,0.0001,True,0.05,2,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.2757110595703125,10.247955322265625,11.31712532043457,0.07767077535390854,0.5812209090909091,0.6580392768195501,0.6138996653134188,0.5795353535353536,0.6676715452243254,0.6138254575860912,0.5797358851674641,0.6680113356705735,0.6138262415953688
Golatkar,0.0001,True,0.1,2,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.052975177764893,10.253865242004395,10.718766212463379,0.07998251914978027,0.5812063636363637,0.6581750807123612,0.6139390804952863,0.579580808080808,0.6677114510874035,0.6136537778983859,0.5797493827160494,0.6681721260839101,0.613889648634427
Golatkar,0.0001,True,0.05,0,495000,-1,None,495000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.601907968521118,10.240612030029297,10.181273460388184,0.07446014881134033,0.5812881818181819,0.6581114674952661,0.6139278222508981,0.5805939393939394,0.6686383921445946,0.6157545938086632,0.5797227006911218,0.6680516087291493,0.6137546972717703
Guo,0.0001,True,0.4,0,3960000,-1,None,3960000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.0660603046417236,10.228120803833008,37055.1171875,0.057763099670410156,0.5813381818181819,0.6446861237728723,0.6127483934808425,0.5803565656565657,0.6557000105665101,0.6130320699146535,0.5796905723905724,0.6552652508906134,0.6122862033863359
Golatkar,0.0001,True,0.1,0,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.843570947647095,10.237588882446289,8.935555458068848,0.07656219601631165,0.5812936363636364,0.6580890185863064,0.6139731547306682,0.5807515151515151,0.6687301065347938,0.6155896361598364,0.5796561167227834,0.6679698117623487,0.6137081180155661
Guo,0.0001,True,0.4,2,3960000,-1,None,3960000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,2.9134609699249268,10.258399963378906,37050.97265625,0.07775047421455383,0.58136,0.644837814533681,0.61273212471946,0.5798833333333333,0.6553898531463664,0.6124812255391101,0.5799873737373737,0.655609070344992,0.6126392037009116
Golatkar,0.0001,True,0.1,1,990000,-1,None,990000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.794189929962158,10.248309135437012,9.744277000427246,0.08378840237855911,0.5813545454545455,0.6579455190721872,0.6139323539591464,0.5804787878787879,0.6685426526100731,0.6141917484543576,0.5797736251402918,0.6678429879056257,0.6138266022028078
Golatkar,0.0001,True,0.15,1,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.9575514793395996,10.247664451599121,8.257100105285645,0.08472814410924911,0.5813727272727273,0.6579862864748278,0.6139142276238018,0.580146127946128,0.6683362901059383,0.6140228473158622,0.5797967914438502,0.6678759354817015,0.6138147558029557
Guo,0.0001,True,0.4,1,3960000,-1,None,3960000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.3041646480560303,10.243114471435547,37052.25390625,0.05788751319050789,0.5814590909090909,0.644678258225394,0.6125926963731826,0.579945202020202,0.6551746797898232,0.6124824974636026,0.5799521885521886,0.6552971514826145,0.6123999218205293
Golatkar,0.0001,True,0.15,0,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.4224138259887695,10.235153198242188,7.728179931640625,0.07716269046068192,0.581200909090909,0.6580361457499013,0.6139419517071738,0.5800457912457913,0.6681788337052562,0.6148923626509988,0.5796690433749258,0.6679523931965015,0.6136799944988043
Golatkar,0.0001,True,0.15,2,1485000,-1,None,1485000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.732337713241577,10.249773025512695,10.442410469055176,0.08238843083381653,0.5812472727272727,0.6582538620307954,0.6139149158584982,0.5796505050505051,0.6678677406808131,0.6139176241459543,0.5797479500891266,0.6682245248393411,0.6138310868677079
Golatkar,0.0001,True,0.2,2,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.100776195526123,10.254051208496094,9.169939041137695,0.08520006388425827,0.5812518181818181,0.6583850563161865,0.6139654516232167,0.5796651515151515,0.66799532946835,0.6138315140343148,0.5797540404040404,0.6683263893110222,0.6139105864146706
Golatkar,0.0001,True,0.2,1,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.10366678237915,10.249214172363281,9.329483032226562,0.08307843655347824,0.581320909090909,0.657971132887491,0.6138599489257132,0.5797828282828282,0.6679848363926576,0.6136586630725369,0.5798075757575758,0.6678893567285077,0.6138232566392897
Guo,0.0001,True,0.45,1,4455000,-1,None,4455000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,3.081516981124878,10.244465827941895,37054.03515625,0.07159249484539032,0.5813872727272728,0.6432989083788047,0.6124721116314922,0.5800139169472502,0.6540024136123892,0.6123612036034021,0.5799961432506887,0.6540824147242856,0.6122578091296427
Golatkar,0.0001,True,0.2,0,1980000,-1,None,1980000,1,uniform_random,0,SGD,1.0,False,512,20,139.5379674434662,4.617134094238281,10.23633098602295,7.409356117248535,0.07838186621665955,0.5812645454545454,0.6581231281938996,0.6140066683984248,0.5801080808080809,0.6682881481038163,0.6147297472107606,0.5796577020202021,0.6679591458745774,0.6137235777423032
