strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,209.51548099517822,0,209.51546096801758,2.002716064453125e-05,0.5712,0.5765,0.5765,0.8612630437921142,10000,True,0.4702000021934509,0.4702000021934509,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,209.3327293395996,0,209.3327043056488,2.5033950805664062e-05,0.5775,0.5705,0.5663,0.3128317511281041,20000,True,0.47189998626708984,0.4710499942302704,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,209.52285718917847,0,209.52283883094788,1.8358230590820312e-05,0.5806627272727273,0.5744666666666667,0.5737,0.03975066629316061,30000,True,0.47189998626708984,0.4713333249092102,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,209.21521377563477,0,209.21519804000854,1.5735626220703125e-05,0.5704172727272727,0.563925,0.5659,0.9298205725762192,40000,True,0.4684000015258789,0.4706000089645386,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.73710823059082,0,208.7370903491974,1.7881393432617188e-05,0.5809972727272728,0.57848,0.5815,0.010951754392829182,50000,True,0.4699999988079071,0.4704799950122833,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.6181161403656,0,208.61809873580933,1.7404556274414062e-05,0.5779581818181818,0.57445,0.5798,0.2731783989063498,60000,True,0.46369999647140503,0.46935001015663147,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.90630459785461,0,208.9062876701355,1.6927719116210938e-05,0.5761754545454545,0.5719,0.5771,0.4276411396432225,70000,True,0.46709999442100525,0.4690285623073578,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.4767551422119,0,208.47673654556274,1.8596649169921875e-05,0.58157,0.580425,0.579,0.03831225898461405,80000,True,0.4634000062942505,0.4683249890804291,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.6026737689972,0,208.60265469551086,1.9073486328125e-05,0.578,0.5811444444444445,0.5812,0.2695608049021402,90000,True,0.46889999508857727,0.4683888852596283,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,208.11075091362,0,208.11073231697083,1.8596649169921875e-05,0.5832481818181818,0.58331,0.5873,0.18238458475495664,100000,True,0.45989999175071716,0.4675399959087372,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,207.8286943435669,0,207.82867670059204,1.7642974853515625e-05,0.5630281818181818,0.5603,0.555,1.5816388149071052,110000,True,0.4699000120162964,0.4677545428276062,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,207.99114966392517,0,207.9911298751831,1.9788742065429688e-05,0.5815927272727273,0.580325,0.575,0.04026617898980618,120000,True,0.47279998660087585,0.4681749939918518,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,212.15799927711487,0,212.15798234939575,1.6927719116210938e-05,0.5824336363636363,0.5801538461538461,0.5786,0.11250755910161908,130000,True,0.4846999943256378,0.4694461524486542,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,213.78066611289978,0,213.78065013885498,1.5974044799804688e-05,0.5702872727272728,0.5655214285714286,0.5651,0.9412160407026018,140000,True,0.4747999906539917,0.4698285758495331,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,213.21660447120667,0,213.21658396720886,2.0503997802734375e-05,0.5815618181818182,0.5826533333333334,0.5812,0.03760882908311415,150000,True,0.46880000829696655,0.469760000705719,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,213.33543252944946,0,213.3354172706604,1.52587890625e-05,0.5817172727272727,0.582125,0.5706,0.05097230452667745,160000,True,0.46860000491142273,0.46968749165534973,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,212.60370802879333,0,212.60369086265564,1.71661376953125e-05,0.5822536363636364,0.5801764705882353,0.584,0.09705278358635377,170000,True,0.4636000096797943,0.4693294167518616,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,212.4653263092041,0,212.46530723571777,1.9073486328125e-05,0.5796727272727272,0.5771611111111111,0.5836,0.12507077815640064,180000,True,0.46970000863075256,0.46935001015663147,None
retrain,0.0001,True,0.1,10000,1,0,uniform_random,0,SGD,1.0,False,512,20,212.44046592712402,0,212.440447807312,1.811981201171875e-05,0.5823236363636364,0.5814315789473684,0.5821,0.10306354230722929,190000,True,0.46939998865127563,0.4693526327610016,None
