strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,201.57226085662842,0,201.57224130630493,1.9550323486328125e-05,0.5641536363636364,0.1605,0.1605,1.4818154541254813,None,0.016970909090909148,"{0: 0.1605, 10000: 1}",10000,True,1.0,1.0,None,None,10000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.50235056877136,0,204.50234079360962,9.775161743164062e-06,0.5817963636363637,0.503,0.5056,0.057769894458544316,None,0.0006718181818181623,"{0: 0.503, 10000: 0.5056, 20000: 1}",20000,True,1.0,1.0,None,None,20000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.46102285385132,0,204.46101474761963,8.106231689453125e-06,0.5785981818181818,0.2532,0.2568,0.21784203904538993,None,0.0025263636363637154,"{0: 0.2532, 10000: 0.2543, 20000: 0.2568, 30000: 1}",30000,True,1.0,1.0,None,None,30000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,205.61008763313293,0,205.6100766658783,1.0967254638671875e-05,0.5813109090909091,0.32165,0.331,0.016032170701165437,None,0.00018636363636359565,"{0: 0.32165, 10000: 0.32563333333333333, 20000: 0.32905, 30000: 0.331, 40000: 1}",40000,True,1.0,1.0,None,None,40000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.87919855117798,0,204.87917757034302,2.09808349609375e-05,0.5804654545454545,0.589,0.6093,0.05674040832746477,None,0.000659090909090998,"{0: 0.589, 10000: 0.595075, 20000: 0.5992333333333333, 30000: 0.6017, 40000: 0.6093, 50000: 1}",50000,True,1.0,1.0,None,None,50000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.90040373802185,0,204.90039372444153,1.0013580322265625e-05,0.5806136363636364,0.55865,0.5767,0.04397798909471302,None,0.0005109090909091174,"{0: 0.55865, 10000: 0.56414, 20000: 0.56775, 30000: 0.5698, 40000: 0.57565, 50000: 0.5767, 60000: 1}",60000,True,1.0,1.0,None,None,60000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,205.39114212989807,0,205.3911213874817,2.0742416381835938e-05,0.5792618181818182,0.32344285714285714,0.3364,0.16052647041541987,None,0.0018627272727272937,"{0: 0.32344285714285714, 10000: 0.32798333333333335, 20000: 0.33222, 30000: 0.335875, 40000: 0.33953333333333335, 50000: 0.339, 60000: 0.3364, 70000: 1}",70000,True,1.0,1.0,None,None,70000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.35721707344055,0,204.3572072982788,9.775161743164062e-06,0.5815536363636363,0.2329125,0.2489,0.03690538928147911,None,0.0004290909090908235,"{0: 0.2329125, 10000: 0.2370857142857143, 20000: 0.2408, 30000: 0.2437, 40000: 0.247025, 50000: 0.2476, 60000: 0.24745, 70000: 0.2489, 80000: 1}",80000,True,1.0,1.0,None,None,80000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.92617797851562,0,204.92615747451782,2.0503997802734375e-05,0.56444,0.09806666666666666,0.1062,1.4564474363969804,None,0.016684545454545452,"{0: 0.09806666666666666, 10000: 0.098175, 20000: 0.1, 30000: 0.10041666666666667, 40000: 0.1022, 50000: 0.10345, 60000: 0.1043, 70000: 0.10485, 80000: 0.1062, 90000: 1}",90000,True,1.0,1.0,None,None,90000
retrain,0.0001,True,0.1,10000,0,0,targeted_informed,0,SGD,1.0,False,10000,20,0.0,0,204.96820950508118,0,204.96819019317627,1.9311904907226562e-05,0.5822754545454546,0.2314,0.258,0.09892634441370907,None,0.0011509090909090913,"{0: 0.2314, 10000: 0.23552222222222222, 20000: 0.2392625, 30000: 0.24255714285714286, 40000: 0.24601666666666666, 50000: 0.24766, 60000: 0.249225, 70000: 0.25276666666666664, 80000: 0.25665, 90000: 0.258, 100000: 1}",100000,True,1.0,1.0,None,None,100000
