strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,253.45067811012268,0,253.45065689086914,2.1219253540039062e-05,0.5785809090909091,0.582,0.582,0.1164504277434466,None,0.0013490909090908554,"{0: 0.582, 10000: 1}",10000,True,0.4749999940395355,0.4749999940395355,None,None,10000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,253.80085039138794,0,253.80083870887756,1.1682510375976562e-05,0.5811109090909091,0.58685,0.5875,0.10171123873953972,None,0.0011809090909091768,"{0: 0.58685, 10000: 0.5875, 20000: 1}",20000,True,0.4788999855518341,0.4769499897956848,None,None,20000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,226.87135362625122,0,226.87129592895508,5.7697296142578125e-05,0.5810963636363636,0.5833,0.578,0.10045970297441029,None,0.0011663636363636876,"{0: 0.5833, 10000: 0.58185, 20000: 0.578, 30000: 1}",30000,True,0.4772999882698059,0.47706666588783264,None,None,30000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,256.69126200675964,0,256.6912488937378,1.3113021850585938e-05,0.5686790909090909,0.5726,0.5568,0.9795246424529271,None,0.01125090909090909,"{0: 0.5726, 10000: 0.5682333333333334, 20000: 0.56565, 30000: 0.5568, 40000: 1}",40000,True,0.49320000410079956,0.4810999929904938,None,None,40000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,255.17462015151978,0,255.17460870742798,1.1444091796875e-05,0.5790018181818182,0.57676,0.5732,0.08008942403858958,None,0.0009281818181817725,"{0: 0.57676, 10000: 0.575, 20000: 0.5723666666666667, 30000: 0.5702, 40000: 0.5732, 50000: 1}",50000,True,0.48429998755455017,0.48173999786376953,None,None,50000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,239.91110491752625,0,239.91109418869019,1.0728836059570312e-05,0.5738181818181818,0.5778833333333333,0.5816,0.5297358884836206,None,0.006111818181818163,"{0: 0.5778833333333333, 10000: 0.5758, 20000: 0.5748, 30000: 0.5741, 40000: 0.57835, 50000: 0.5816, 60000: 1}",60000,True,0.48330000042915344,0.4819999933242798,None,None,60000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,255.37095069885254,0,255.3709363937378,1.430511474609375e-05,0.5667736363636363,0.5693714285714285,0.5625,1.14732030309805,None,0.013156363636363633,"{0: 0.5693714285714285, 10000: 0.5665666666666667, 20000: 0.565, 30000: 0.56325, 40000: 0.5656333333333333, 50000: 0.5654, 60000: 0.5625, 70000: 1}",70000,True,0.4860000014305115,0.48257142305374146,None,None,70000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,252.7577850818634,0,252.75777125358582,1.3828277587890625e-05,0.5791881818181818,0.5769125,0.5737,0.06399849415307833,None,0.0007418181818181768,"{0: 0.5769125, 10000: 0.5758428571428571, 20000: 0.5742166666666667, 30000: 0.57346, 40000: 0.57395, 50000: 0.5741, 60000: 0.5721, 70000: 0.5737, 80000: 1}",80000,True,0.47909998893737793,0.4821375012397766,None,None,80000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,255.70937275886536,0,255.70936155319214,1.1205673217773438e-05,0.5764154545454545,0.5741555555555555,0.573,0.3039355964716411,None,0.003514545454545437,"{0: 0.5741555555555555, 10000: 0.5734, 20000: 0.5724142857142858, 30000: 0.5717333333333333, 40000: 0.5728, 50000: 0.573225, 60000: 0.5717666666666666, 70000: 0.57295, 80000: 0.573, 90000: 1}",90000,True,0.49140000343322754,0.4831666648387909,None,None,90000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,252.2748885154724,0,252.27487802505493,1.049041748046875e-05,0.5800918181818182,0.57167,0.5687,0.013949580885632966,None,0.0001618181818182629,"{0: 0.57167, 10000: 0.5705555555555556, 20000: 0.5694375, 30000: 0.5692428571428572, 40000: 0.5691833333333334, 50000: 0.5696, 60000: 0.568675, 70000: 0.5692666666666667, 80000: 0.5697, 90000: 0.5687, 100000: 1}",100000,True,0.48660001158714294,0.48350998759269714,None,None,100000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,243.44625449180603,0,243.44624137878418,1.3113021850585938e-05,0.5782763636363636,0.5642,0.5648,0.1427756240644816,None,0.0016536363636363571,"{0: 0.5642, 10000: 0.56381, 20000: 0.5630555555555555, 30000: 0.5642375, 40000: 0.5632, 50000: 0.56405, 60000: 0.56338, 70000: 0.563725, 80000: 0.5632, 90000: 0.56445, 100000: 0.5648, 110000: 1}",110000,True,0.48890000581741333,0.48399999737739563,None,None,110000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,198.4703392982483,0,198.4703266620636,1.2636184692382812e-05,0.5816727272727272,0.5699666666666666,0.5743,0.15002782206089965,None,0.0017427272727272847,"{0: 0.5699666666666666, 10000: 0.569590909090909, 20000: 0.56903, 30000: 0.5699222222222222, 40000: 0.56925, 50000: 0.5696857142857142, 60000: 0.5687333333333333, 70000: 0.5686, 80000: 0.568475, 90000: 0.5694, 100000: 0.571, 110000: 0.5743, 120000: 1}",120000,True,0.4839000105857849,0.4839916527271271,None,None,120000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,198.74006366729736,0,198.74005508422852,8.58306884765625e-06,0.5365027272727273,0.5044615384615385,0.4956,3.8898244082613704,None,0.04342727272727265,"{0: 0.5044615384615385, 10000: 0.5048, 20000: 0.5051818181818182, 30000: 0.50613, 40000: 0.5054222222222222, 50000: 0.5053625, 60000: 0.5053285714285715, 70000: 0.5053833333333333, 80000: 0.50654, 90000: 0.50535, 100000: 0.5046, 110000: 0.50075, 120000: 0.4956, 130000: 1}",130000,True,0.474700003862381,0.48327693343162537,None,None,130000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,200.24949884414673,0,200.24948859214783,1.0251998901367188e-05,0.5793236363636364,0.5753642857142857,0.5744,0.05230638208439198,None,0.0006063636363635716,"{0: 0.5753642857142857, 10000: 0.5746923076923077, 20000: 0.5737416666666667, 30000: 0.573590909090909, 40000: 0.57403, 50000: 0.5742444444444444, 60000: 0.5739625, 70000: 0.5742428571428572, 80000: 0.5743166666666667, 90000: 0.57444, 100000: 0.574525, 110000: 0.5749, 120000: 0.57355, 130000: 0.5744, 140000: 1}",140000,True,0.47920000553131104,0.4829857051372528,None,None,140000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,198.39321637153625,0,198.3932056427002,1.0728836059570312e-05,0.5788590909090909,0.5758533333333333,0.5687,0.09241622132193734,None,0.0010709090909090113,"{0: 0.5758533333333333, 10000: 0.5752285714285714, 20000: 0.5743384615384616, 30000: 0.5741833333333334, 40000: 0.5744636363636364, 50000: 0.5746, 60000: 0.5740777777777778, 70000: 0.5748875, 80000: 0.5749285714285715, 90000: 0.5751, 100000: 0.57498, 110000: 0.5747, 120000: 0.5732, 130000: 0.5739, 140000: 0.5687, 150000: 1}",150000,True,0.4839000105857849,0.48304668068885803,None,None,150000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,198.1748504638672,0,198.17483758926392,1.2874603271484375e-05,0.5795945454545455,0.5616,0.5706,0.028930353114945972,None,0.0003354545454544722,"{0: 0.5616, 10000: 0.5616933333333334, 20000: 0.5614214285714286, 30000: 0.5622230769230769, 40000: 0.561375, 50000: 0.5616454545454546, 60000: 0.56123, 70000: 0.5612666666666667, 80000: 0.5612, 90000: 0.5616428571428571, 100000: 0.56225, 110000: 0.56164, 120000: 0.56135, 130000: 0.5622333333333334, 140000: 0.56375, 150000: 0.5706, 160000: 1}",160000,True,0.492900013923645,0.483662486076355,None,None,160000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,198.6170334815979,0,198.6170175075531,1.5974044799804688e-05,0.5806436363636364,0.5674411764705882,0.5616,0.06148996851870728,None,0.0007136363636364162,"{0: 0.5674411764705882, 10000: 0.56728125, 20000: 0.56684, 30000: 0.5674, 40000: 0.5669076923076923, 50000: 0.5672083333333333, 60000: 0.5664818181818182, 70000: 0.5664, 80000: 0.5662888888888888, 90000: 0.5666625, 100000: 0.5667571428571428, 110000: 0.5661833333333334, 120000: 0.56618, 130000: 0.565875, 140000: 0.5659666666666666, 150000: 0.5677, 160000: 0.5616, 170000: 1}",170000,True,0.4876999855041504,0.4839000105857849,None,None,170000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,199.95203351974487,0,199.9520227909088,1.0728836059570312e-05,0.5812681818181819,0.5733777777777778,0.5754,0.11524146688609221,None,0.001338181818181905,"{0: 0.5733777777777778, 10000: 0.5728176470588235, 20000: 0.57208125, 30000: 0.57204, 40000: 0.5721, 50000: 0.5723923076923076, 60000: 0.572025, 70000: 0.5721363636363637, 80000: 0.57218, 90000: 0.5721444444444445, 100000: 0.572225, 110000: 0.5724428571428571, 120000: 0.5713166666666667, 130000: 0.5713, 140000: 0.571875, 150000: 0.5737333333333333, 160000: 0.5719, 170000: 0.5754, 180000: 1}",180000,True,0.4975999891757965,0.4846611022949219,None,None,180000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,200.18985199928284,0,200.18984198570251,1.0013580322265625e-05,0.5799763636363636,0.5632473684210526,0.5692,0.003997187860779158,None,4.6363636363677685e-05,"{0: 0.5632473684210526, 10000: 0.5633222222222222, 20000: 0.5632, 30000: 0.563925, 40000: 0.56332, 50000: 0.5637928571428571, 60000: 0.5634384615384616, 70000: 0.5635416666666667, 80000: 0.5633636363636364, 90000: 0.56404, 100000: 0.5641333333333334, 110000: 0.5641125, 120000: 0.5641571428571429, 130000: 0.5646, 140000: 0.56522, 150000: 0.5673, 160000: 0.5663333333333334, 170000: 0.56965, 180000: 0.5692, 190000: 1}",190000,True,0.49480000138282776,0.48519474267959595,None,None,190000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,207.08558917045593,0,207.0855782032013,1.0967254638671875e-05,0.5803909090909091,0.572865,0.5671,0.03972255324350201,None,0.0004609090909091229,"{0: 0.572865, 10000: 0.5722578947368421, 20000: 0.5716444444444444, 30000: 0.5716058823529412, 40000: 0.57161875, 50000: 0.57188, 60000: 0.57155, 70000: 0.5717076923076924, 80000: 0.5717666666666666, 90000: 0.5717727272727273, 100000: 0.57177, 110000: 0.5716555555555556, 120000: 0.57085, 130000: 0.5707142857142857, 140000: 0.5712833333333334, 150000: 0.5728, 160000: 0.5715, 170000: 0.5729, 180000: 0.57175, 190000: 0.5671, 200000: 1}",200000,True,0.48750001192092896,0.48530998826026917,None,None,200000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,200.7712836265564,0,200.77127361297607,1.0013580322265625e-05,0.5800945454545454,0.5757523809523809,0.5791,0.014184652832582698,None,0.00016454545454547276,"{0: 0.5757523809523809, 10000: 0.575305, 20000: 0.5747315789473684, 30000: 0.5747722222222222, 40000: 0.5750117647058823, 50000: 0.57515, 60000: 0.5748866666666667, 70000: 0.5751142857142857, 80000: 0.5751153846153846, 90000: 0.5751416666666667, 100000: 0.5750545454545455, 110000: 0.57505, 120000: 0.5745222222222223, 130000: 0.574625, 140000: 0.5746, 150000: 0.5760666666666666, 160000: 0.5755, 170000: 0.576425, 180000: 0.5766333333333333, 190000: 0.5745, 200000: 0.5791, 210000: 1}",210000,True,0.49149999022483826,0.48560476303100586,None,None,210000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,196.91535472869873,0,196.91534042358398,1.430511474609375e-05,0.5692581818181818,0.5684954545454546,0.5672,0.9286397433128676,None,0.010671818181818171,"{0: 0.5684954545454546, 10000: 0.5675857142857142, 20000: 0.567165, 30000: 0.5666631578947369, 40000: 0.5671111111111111, 50000: 0.5670588235294117, 60000: 0.566675, 70000: 0.5666733333333334, 80000: 0.5663357142857143, 90000: 0.565923076923077, 100000: 0.565625, 110000: 0.5661, 120000: 0.56565, 130000: 0.5651888888888889, 140000: 0.56465, 150000: 0.5642714285714285, 160000: 0.5644833333333333, 170000: 0.56442, 180000: 0.56535, 190000: 0.5652, 200000: 0.568, 210000: 0.5672, 220000: 1}",220000,True,0.4927000105381012,0.4859272837638855,None,None,220000
retrain,0.0001,True,0.1,10000,0,0,uniform_informed,0,SGD,1.0,False,10000,20,1.0,0,196.743976354599,0,196.74396657943726,9.775161743164062e-06,0.5799554545454545,0.570204347826087,0.565,0.002194574072361832,None,2.5454545454550725e-05,"{0: 0.570204347826087, 10000: 0.5697227272727273, 20000: 0.5693476190476191, 30000: 0.569725, 40000: 0.5696789473684211, 50000: 0.56985, 60000: 0.5696882352941176, 70000: 0.5698625, 80000: 0.5698333333333333, 90000: 0.5699142857142857, 100000: 0.5699846153846154, 110000: 0.5700166666666666, 120000: 0.5698181818181818, 130000: 0.56955, 140000: 0.5701222222222222, 150000: 0.5709875, 160000: 0.5705428571428571, 170000: 0.5716666666666667, 180000: 0.57102, 190000: 0.570075, 200000: 0.5725, 210000: 0.57055, 220000: 0.565, 230000: 1}",230000,True,0.48339998722076416,0.48581740260124207,None,None,230000
