method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,1024,1000,0,0,83.14467453956604,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Guo,0.0001,True,0,SGD,1.0,False,1024,1000,0,0,83.76652956008911,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Golatkar,0.0001,True,0,SGD,1.0,False,1024,1000,0,0,0.5136957168579102,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
baseline,0.0001,True,0,SGD,1.0,False,1024,1000,0,1,83.5284857749939,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Guo,0.0001,True,0,SGD,1.0,False,1024,1000,0,1,84.1970522403717,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Golatkar,0.0001,True,0,SGD,1.0,False,1024,1000,0,1,0.41008567810058594,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
baseline,0.0001,True,0,SGD,1.0,False,1024,1000,0,2,83.58153653144836,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Guo,0.0001,True,0,SGD,1.0,False,1024,1000,0,2,84.32040548324585,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Golatkar,0.0001,True,0,SGD,1.0,False,1024,1000,0,2,0.5976145267486572,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
baseline,0.0001,True,0,SGD,1.0,False,1024,1000,0,3,84.45841240882874,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Guo,0.0001,True,0,SGD,1.0,False,1024,1000,0,3,84.3491723537445,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Golatkar,0.0001,True,0,SGD,1.0,False,1024,1000,0,3,0.5270931720733643,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
baseline,0.0001,True,0,SGD,1.0,False,1024,1000,0.1,3,82.53327822685242,30.744239807128906,2.975957155227661,0.0,0.96875,0.9682051282051282,0.9924858194238315
Guo,0.0001,True,0,SGD,1.0,False,1024,1000,0.1,3,82.60948610305786,30.71135139465332,3.776284694671631,1.5801018476486206,0.9682459677419355,0.9676757311441764,0.9924817533088012
