method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,4,1.4086012840270996,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,4,1.339346170425415,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,4,0.5719432830810547,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,3,1.37868332862854,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,3,1.3174316883087158,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,3,0.6335880756378174,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,2,1.3906075954437256,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,2,1.396773338317871,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,2,0.5425381660461426,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,0,1.3609936237335205,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,0,1.3870432376861572,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,0,0.5825827121734619,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,5,1.4076907634735107,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,5,1.3338656425476074,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,5,0.5874283313751221,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0,1,1.3640012741088867,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0,1,1.330409288406372,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0,1,0.6370913982391357,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,3,1.3869986534118652,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,3,1.3967761993408203,22.180007934570312,93.00080108642578,0.14891254901885986,0.9576612903225806,0.9568345323741007,0.9898804562181064
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,3,6.518393039703369,22.194936752319336,93.01673889160156,0.2621588408946991,0.9576612903225806,0.9568345323741007,0.9898997702645008
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,0,1.406308889389038,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,0,1.3637995719909668,22.177034378051758,93.00308990478516,0.15595655143260956,0.9576612903225806,0.9568345323741007,0.9898824892756216
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,0,6.737489223480225,22.195295333862305,92.77055358886719,0.2664386034011841,0.9571572580645161,0.9563430919363123,0.9898784231605913
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,2,1.376457929611206,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,2,1.3310821056365967,22.18153190612793,92.99884033203125,0.14376236498355865,0.9576612903225806,0.9568345323741007,0.9898835058043793
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,2,6.884199142456055,22.186100006103516,92.88756561279297,0.2571042478084564,0.9576612903225806,0.9568345323741007,0.9898946876207128
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,4,1.3561055660247803,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,4,1.3871128559112549,22.180988311767578,92.99178314208984,0.15728478133678436,0.9576612903225806,0.9568345323741007,0.9898814727468641
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,4,6.858108758926392,22.181241989135742,93.22283935546875,0.26573309302330017,0.9576612903225806,0.9568345323741007,0.9898824892756217
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,5,1.3638591766357422,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,5,1.326282262802124,22.18124771118164,92.99740600585938,0.15156947076320648,0.9576612903225806,0.9568345323741007,0.989879439689349
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,5,6.951807737350464,22.18336296081543,92.95907592773438,0.2571147084236145,0.9576612903225806,0.9568345323741007,0.9898662248155001
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.01,1,1.3853085041046143,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.01,1,1.3568942546844482,22.181589126586914,93.00067901611328,0.1514802724123001,0.9576612903225806,0.9568345323741007,0.9898875719194097
