method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,2,715.3102452754974,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,2,463.3596222400665,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,2,13.572266340255737,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,1,625.3315756320953,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,1,573.3673620223999,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,1,23.284882068634033,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,670.4354195594788,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,576.0640726089478,86.12726593017578,3.1204015016555786,0.1278998702764511,0.8865,0.885677533090623,0.9899259004305208
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,43.33166790008545,86.13383483886719,3.315864825248718,0.5489295721054077,0.8864,0.885570419302877,0.989925846178093
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,674.5165922641754,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,573.622400522232,86.12730407714844,3.111500453948975,0.12870009243488312,0.8864,0.885570419302877,0.9899264091267638
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,43.02212476730347,86.1248550415039,3.4107982873916627,0.5656896233558655,0.8864,0.885570419302877,0.9899259544233496
baseline,0.0001,True,0,SGD,1.0,False,512,200,10,0,731.1485803127289,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,10,0,527.5702095031738,155.1760711669922,257.07571868896486,128.66871643066406,0.8766,0.8756007278094741,0.9880366632343828
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,10,0,43.32286882400513,575.5015869140625,3084.3989013671876,569.3429565429688,0.886,0.8851729577516431,0.9891991420038796
baseline,0.0001,True,0,SGD,1.0,False,512,200,100,0,689.0012166500092,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,100,0,607.4093897342682,1308.3956298828125,2556.896484375,1301.3382568359375,0.6112,0.6076504812293416,0.9090404966826908
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,100,0,45.44104027748108,5693.76123046875,14821.0341796875,5693.43408203125,0.234,0.21513006260530482,0.740890307563372
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,2,830.8248012065887,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,2,481.9366509914398,87.03497314453125,25.71905059814453,12.78964614868164,0.8858,0.8849853303931424,0.9898940046712761
