method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,5,757.4424934387207,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,5,804.1080393791199,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,5,25.715253353118896,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,0,751.40021443367,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,0,812.0216052532196,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,0,24.278636693954468,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,3,760.8115649223328,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,3,805.4219415187836,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,3,25.8607280254364,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,1,760.8102161884308,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,1,805.42152094841,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,1,26.044026613235474,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,2,762.1831920146942,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,2,805.6268236637115,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,2,25.73260760307312,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,4,773.1227588653564,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,4,819.2818608283997,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,4,24.58725619316101,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,4,754.8969807624817,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,4,807.018914937973,86.12799835205078,3.281204307079315,0.1284584403038025,0.8863,0.8854702181187663,0.9899289934252019
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,4,78.67147850990295,86.12359619140625,3.592206072807312,0.5682659149169922,0.8864,0.8855748025846064,0.9899295231736394
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,757.053426027298,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,807.348397731781,86.12667846679688,3.2809555530548096,0.1286727339029312,0.8862,0.8853676632021305,0.989928856557334
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,78.20660543441772,86.12693786621094,3.8507553815841673,0.5693420171737671,0.8863,0.8854702181187663,0.9899289716105638
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,748.5203382968903,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,812.0919795036316,86.12680053710938,3.2779237270355224,0.12870201468467712,0.8863,0.8854702181187663,0.9899293883520638
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,84.64460110664368,86.12431335449219,3.6023900747299193,0.5656883716583252,0.8863,0.8854702181187663,0.9899291320107937
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,5,760.3425192832947,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,5,805.862352848053,86.12762451171875,3.278657102584839,0.12623904645442963,0.8862,0.8853767022210112,0.9899290567612686
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,5,79.88089537620544,86.13502502441406,3.580137300491333,0.5487348437309265,0.8863,0.8854702181187663,0.9899293735224927
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,3,764.6131646633148,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,3,807.6041834354401,86.127197265625,3.2821951270103455,0.12876765429973602,0.8863,0.8854702181187663,0.9899291194614633
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,3,79.92326521873474,86.13501739501953,3.4677469730377197,0.560800313949585,0.8863,0.8854702181187663,0.9899288027583972
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,772.3802223205566,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,819.1028015613556,86.12664031982422,3.2821739673614503,0.12789885699748993,0.8864,0.8855748025846064,0.9899291483703297
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,2,84.3659176826477,86.13326263427734,3.5220144987106323,0.5489281415939331,0.8863,0.8854702181187663,0.9899292712146899
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,730.8771805763245,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,795.8634698390961,86.13187408447266,4.217139673233032,1.2789846658706665,0.8866,0.8857728101907519,0.9899266096601279
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,81.1313488483429,86.34541320800781,13.435563850402833,5.489282131195068,0.8863,0.8854707724061591,0.9899288506354113
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,747.7736563682556,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,785.4121985435486,86.13259887695312,4.210154461860657,1.2870006561279297,0.8866,0.8857889476945539,0.9899313385706339
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,1,80.11393904685974,86.26606750488281,15.290951442718505,5.65688419342041,0.886,0.885161228966545,0.9899281751877703
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,754.1471552848816,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,790.2660884857178,86.13135528564453,4.224756503105164,1.2867250442504883,0.886,0.8851719825703168,0.989923462376934
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,81.64755964279175,86.29374694824219,16.216430187225342,5.693418025970459,0.8865,0.8856720330076009,0.9899278249749983
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,0,749.0018620491028,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,0,777.9356157779694,87.03993225097656,25.94848918914795,12.867008209228516,0.8857,0.8848518237675135,0.9898598782692931
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,0,81.12315630912781,103.06510925292969,163.41290435791015,56.93415069580078,0.8871,0.8862714156599916,0.9899054222416421
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,4,766.9956398010254,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,4,809.3520302772522,86.1444091796875,4.229746174812317,1.2845672369003296,0.8857,0.8848766264586994,0.9899266384012467
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,4,83.40371203422546,86.26102447509766,14.069672298431396,5.682661533355713,0.8864,0.885573456286992,0.989931115330277
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,3,767.3841505050659,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,3,810.8959612846375,86.13693237304688,4.235478496551513,1.287677526473999,0.8861,0.8852728358424246,0.9899276043427003
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,3,86.43789339065552,86.37016296386719,12.934485721588135,5.607999324798584,0.8864,0.8855683846587399,0.9899281392196644
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,5,750.5838553905487,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,5,820.904337644577,86.13992309570312,4.17688398361206,1.2623569965362549,0.886,0.885178519159833,0.9899275325380976
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,5,80.65262484550476,86.36347198486328,13.038983345031738,5.487346649169922,0.8861,0.8852655280792368,0.989928778551719
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,1,766.2541394233704,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,1,796.3069984912872,87.0527572631836,26.01903667449951,12.869665145874023,0.8872,0.8864236432920849,0.9899168848951918
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,1,77.9324791431427,102.65198516845703,156.22982940673828,56.56882858276367,0.8856,0.8847361050184727,0.989910610435204
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,3,765.6914117336273,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,3,797.0137386322021,87.09584045410156,26.00000171661377,12.876908302307129,0.8869,0.8860568589208145,0.9898991292700611
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,3,78.59995770454407,103.28327178955078,124.17825622558594,56.08003616333008,0.8861,0.885252838141203,0.9899134370156311
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,2,776.9420442581177,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,2,807.5115654468536,87.03462982177734,25.692760848999022,12.789673805236816,0.8864,0.8855937472347502,0.9898971900275855
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,2,80.24664521217346,102.500732421875,135.53416061401367,54.89281463623047,0.8856,0.8847381999201492,0.9899191648614216
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,4,773.1902132034302,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,4,805.5935440063477,87.16639709472656,25.905610656738283,12.846138000488281,0.8861,0.8853115318945837,0.9898877214945792
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,4,80.53949999809265,102.73673248291016,131.7313117980957,56.82658767700195,0.8867,0.8859466104820545,0.9899302332101284
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,5,763.9499130249023,86.12711334228516,3.2693305253982543,0.0,0.8864,0.8855748025846064,0.9899293488010666
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,5,802.0524055957794,87.0922622680664,25.39072952270508,12.623663902282715,0.8863,0.8854935685329417,0.9898918364032999
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,5,82.64014410972595,102.6429672241211,124.77487182617188,54.873512268066406,0.8866,0.8857980555534426,0.9899271503309777
