method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Golatkar,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.8253273963928223,25.43645668029785,35.14057922363281,11.512296676635742,0.9133064516129032,0.9181731684110371,0.98517189501291,0.7769864233251725,0.0,nan,0.9790359193483776,0.9866485245343992,0.9952344224263554
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.9071230888366699,27.453733444213867,24.282499313354492,10.049697875976562,0.9395161290322581,0.9411187438665358,0.9873533657267163,0.8316638842515304,0.0,nan,0.9705531711969481,0.9790197910473116,0.9939544544198267
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.893864631652832,24.524354934692383,34.535491943359375,12.917671203613281,0.9067540322580645,0.9125295508274232,0.9836359200601785,0.7580681059425773,0.0,nan,0.9775670984110028,0.9857215706272311,0.9948582722467528
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.9098954200744629,29.573123931884766,12.242347717285156,6.747628688812256,0.9586693548387096,0.9587109768378651,0.9903073982962979,0.8856427378964942,0.0,nan,0.9648445649906113,0.9713994738182128,0.9919270313178882
Golatkar,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.8586990833282471,28.32560157775879,24.853961944580078,9.166422843933105,0.9430443548387096,0.9443623830625307,0.9881625226177648,0.8425153032832499,0.0,nan,0.9715069146399619,0.9796924122695216,0.9943325873298057
Golatkar,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,0.9181416034698486,30.37082290649414,12.401318550109863,6.365813732147217,0.9591733870967742,0.9591939546599496,0.9906692825340029,0.8931552587646077,0.0,nan,0.9659920717713332,0.9723306739093533,0.9922900169011944
Golatkar,0.0001,True,0.3,0,1797,0,None,3594,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.1875994205474854,29.648801803588867,11.002728462219238,10.052267074584961,0.9344758064516129,0.9365853658536585,0.9866397625388822,0.8199777406789093,0.0,nan,0.9724606580829757,0.9803754991079773,0.994539000876247
Guo,0.0001,True,0.3,0,1797,0,None,3594,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.3097474575042725,28.041126251220703,14.38259506225586,10.735159873962402,0.9289314516129032,0.931453573164803,0.9860044320653831,0.8107957707289928,0.0,nan,0.9697186456843109,0.978434369162846,0.9940983510696958
Guo,0.0001,True,0.2,0,1198,0,None,2396,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.3982136249542236,29.947423934936523,7.260645389556885,7.060235977172852,0.9576612903225806,0.9577464788732395,0.9900024396690184,0.8793823038397329,0.0,nan,0.9651575213853536,0.9716757123473542,0.9919735456381442
Golatkar,0.0001,True,0.2,0,1198,0,None,2396,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.3981142044067383,31.10850715637207,4.1575398445129395,6.904139041900635,0.9586693548387096,0.9587109768378651,0.9902718197897818,0.8827212020033389,0.0,nan,0.9665136657625704,0.9727758459842253,0.9923476736090376
Golatkar,0.0001,True,0.375,0,2246,0,None,4493,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.511883020401001,29.18210792541504,5.528791427612305,14.231367111206055,0.8765120967741935,0.8875631023405233,0.9766757476569012,0.6710438459826397,0.0,nan,0.9779676859393778,0.9859634198213525,0.9958199854798728
Guo,0.0001,True,0.375,0,2246,0,None,4493,2,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.5933003425598145,24.9671688079834,20.77704620361328,14.157307624816895,0.8921370967741935,0.9001865671641791,0.9795504909833899,0.695748942799911,0.0,nan,0.9768994525303779,0.9853178307731476,0.9951739045056427
Guo,0.0001,True,0.2,0,599,0,None,2396,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,2.0612642765045166,30.259550094604492,4.767970561981201,7.231916427612305,0.9576612903225806,0.9577464788732395,0.989843861182833,0.8752086811352254,0.0,nan,0.965470477780096,0.9719277414977525,0.9919928560593424
Golatkar,0.0001,True,0.375,0,1123,0,None,4493,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,1.99692702293396,29.36894989013672,2.5846123695373535,14.277222633361816,0.8724798387096774,0.8843164151806127,0.9765029377681096,0.6654796349877588,0.0,nan,0.9785018026438776,0.986315342116447,0.9959201530727766
Golatkar,0.0001,True,0.2,0,599,0,None,2396,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,2.0717670917510986,31.391786575317383,1.162168025970459,7.095780372619629,0.9586693548387096,0.9587525150905434,0.9901366214650212,0.8785475792988314,0.0,nan,0.9663050281660756,0.9726062250869307,0.9923531647240703
Guo,0.0001,True,0.375,0,1123,0,None,4493,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,2.1305720806121826,26.057750701904297,12.50688648223877,14.770040512084961,0.8790322580645161,0.8896044158233669,0.9767153922784477,0.6628088137102159,0.0,nan,0.9767659233542529,0.9852241847826086,0.9954022031444694
Guo,0.0001,True,0.3,0,898,0,None,3594,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,2.1935884952545166,28.770360946655273,8.581920623779297,11.117894172668457,0.9279233870967742,0.930616205725376,0.9851688454266371,0.8007790762381747,0.0,nan,0.9700762994754412,0.9786945081062728,0.9941874107003732
Golatkar,0.0001,True,0.3,0,898,0,None,3594,4,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,2.2370638847351074,30.804759979248047,2.575561761856079,11.089578628540039,0.9264112903225806,0.9294003868471954,0.9850631264358468,0.7949360044518642,0.0,nan,0.971864568431092,0.9799660441426147,0.9946295425885242
Guo,0.0001,True,0.375,0,561,0,None,4493,8,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,3.079543352127075,27.114418029785156,7.705597400665283,15.000592231750488,0.875,0.8863428047662695,0.9755108057006934,0.6550189183173826,0.0,nan,0.9773000400587528,0.9855564995751911,0.9955047705859532
Guo,0.0001,True,0.3,0,449,0,None,3594,8,targeted_informed,0,SGD,1.0,False,1024,1000,32.080798625946045,3.3082003593444824,29.32973289489746,5.495887756347656,11.293359756469727,0.9259072580645161,0.9288824383164004,0.9848344074653872,0.7943795214245966,0.0,nan,0.9704339532665713,0.97894379351333,0.994228774250476
