method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,26.586967945098877,85.35431671142578,21.822452569007872,13.068507194519043,0.8578,0.853087277427566,0.9872446509743265,0.4573333333333333,0.6276303751143641,nan,0.8836756756756756,0.8822561488101613,0.9887882427903578
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,27.02342438697815,85.92393493652344,11.3221506357193,8.450807571411133,0.8784,0.8773273531050066,0.9888729988958858,0.677,0.8073941562313656,nan,0.8820175438596491,0.881040112944029,0.988436185868516
Golatkar,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,27.643075227737427,85.63848114013672,20.37546498179436,12.99877643585205,0.859,0.8544050302916248,0.9873465176625563,0.4608888888888889,0.6309704898083359,nan,0.8842162162162163,0.8828031029749075,0.9888778292891531
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,28.704164266586304,86.17891693115234,3.511857974529266,2.141918897628784,0.8868,0.8860610240540405,0.9898500916555104,0.825,0.9041095890410957,nan,0.8797811447811448,0.8788802273386132,0.9883044715172463
Golatkar,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,28.86008906364441,86.20530700683594,9.595626313984393,8.435281753540039,0.8792,0.8781474205933671,0.9889484073940175,0.6793333333333333,0.8090512107979357,nan,0.882438596491228,0.8814685763316135,0.9885240591261144
Golatkar,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,29.81432271003723,86.45148468017578,0.6423389894887805,2.328141450881958,0.8874,0.8866877242676584,0.9899093073173797,0.825,0.9041095890410957,nan,0.8804377104377105,0.8795422400509865,0.9883870218164075
Guo,0.0001,True,0.075,0,2250,3,None,4500,2,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,50.640422105789185,85.46040344238281,15.187804889678954,13.714859962463379,0.8534,0.8474153995471315,0.9867073487184485,0.4033333333333333,0.5748218527315915,nan,0.8834774774774775,0.8819884958725811,0.9888049325072046
Guo,0.0001,True,0.01,0,300,3,None,600,2,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,52.03515982627869,86.18877410888672,3.320392394065857,2.156698703765869,0.8868,0.8860610240540405,0.98984866409271,0.825,0.9041095890410957,nan,0.8797979797979798,0.878898103116424,0.9883040330730702
Guo,0.0001,True,0.05,0,1500,3,None,3000,2,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,52.25012135505676,86.01947021484375,7.748714876174927,8.712624549865723,0.8777,0.8765532777060236,0.9887619468945512,0.6666666666666666,0.8,nan,0.8819649122807017,0.880976688884953,0.9884268356069127
Golatkar,0.0001,True,0.05,0,1500,3,None,3000,2,targeted_informed,0,SGD,1.0,False,512,200,353.62019634246826,53.649784326553345,86.39038848876953,3.4646539170295,8.797369956970215,0.8783,0.8771558647502139,0.9887830576939303,0.663,0.7973541791942274,nan,0.8824035087719299,0.8814210386305696,0.9885117443864276
