method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.45,0,27000,-1,None,27000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,14.114153385162354,86.0587387084961,3.0488757491111755,4.35660982131958,0.887,0.8861642384534716,0.9898771578968626,0.8773333333333333,0.8763193502245712,0.988351972351443,0.8798181818181818,0.8788859607579941,0.9883493673850804
Guo,0.0001,True,0.4,1,24000,-1,None,24000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,15.244973421096802,85.9809799194336,3.051773953437805,3.97983717918396,0.8856,0.8847624696009687,0.9898494553597755,0.8764583333333333,0.8754793866346228,0.9879520577472547,0.8796111111111111,0.8786871479926881,0.988422165751888
Guo,0.0001,True,0.4,0,24000,-1,None,24000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,15.32755708694458,86.07354736328125,3.058345651626587,3.8839449882507324,0.8862,0.8853326549986188,0.9898506278640417,0.8758333333333334,0.874817617453975,0.9881567064391572,0.8797777777777778,0.8788125138643184,0.9884406052487602
Guo,0.0001,True,0.35,1,21000,-1,None,21000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,16.42420792579651,86.0226058959961,3.0629228353500366,3.549117088317871,0.886,0.8851657354501742,0.9898793374343813,0.8765714285714286,0.8755921410553326,0.987907120408279,0.8795897435897436,0.878674961149419,0.988456093740503
Guo,0.0001,True,0.45,1,27000,-1,None,27000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,16.408814668655396,85.92485046386719,3.05389609336853,4.471500873565674,0.8854,0.8845520091322041,0.9898697556452299,0.8775185185185185,0.8765213171175799,0.9879244765154829,0.8795151515151515,0.8785687773336476,0.9884454840887124
Guo,0.0001,True,0.3,1,18000,-1,None,18000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,17.63068199157715,85.98680877685547,3.068635809421539,3.1308178901672363,0.8857,0.8848506356965272,0.989856762769365,0.8766111111111111,0.8756203479614577,0.988108775227744,0.8791904761904762,0.8782560595402895,0.9883299532034375
Guo,0.0001,True,0.3,0,18000,-1,None,18000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,17.98506999015808,86.06851196289062,3.0618670105934145,3.178785800933838,0.8863,0.8854529214081726,0.9898603406405287,0.8766666666666667,0.875692160681172,0.9881685501113499,0.8793571428571428,0.8784123831583235,0.9883811075773894
Guo,0.0001,True,0.25,1,15000,-1,None,15000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,18.98387050628662,86.0208740234375,3.069434344768524,2.8005001544952393,0.8865,0.8856798292878013,0.9898422505706685,0.8761333333333333,0.8751129823169882,0.9879701294435526,0.8792222222222222,0.87829528846987,0.9883828449763179
Guo,0.0001,True,0.35,0,21000,-1,None,21000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,18.927698135375977,86.05021667480469,3.060557854175568,3.471562623977661,0.8866,0.885746841670313,0.9898432599715743,0.8761428571428571,0.8750772722505398,0.9882360133004979,0.8795128205128205,0.8785743063085903,0.9883555893407309
Guo,0.0001,True,0.2,0,12000,-1,None,12000,1,uniform_random,0,SGD,1.0,False,512,200,354.7472403049469,20.061163663864136,86.10676574707031,3.0815852761268614,2.4415650367736816,0.8857,0.8848706658362262,0.9898731620053492,0.87875,0.8777062021609497,0.9877555675781858,0.8789166666666667,0.8779793142183874,0.9884640590607641
