method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,2,81.13783097267151,0.43686914443969727,27.447460174560547,23.680068969726562,0.938508064516129,0.9401373895976448,0.9873116880476548,0.8297161936560935,0.0,nan,0.9704339532665713,0.9789366400543571,0.9939570817462992
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,0,81.12256693840027,0.4691755771636963,27.48691749572754,23.85016632080078,0.9400201612903226,0.9415807560137456,0.98728830788623,0.8313856427378965,0.0,nan,0.9705531711969481,0.9790197910473116,0.993944955624119
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,0,81.11963415145874,0.5091590881347656,29.57967758178711,11.927906036376953,0.9581653225806451,0.9582284851534978,0.9902809685486001,0.8860601001669449,0.0,nan,0.9649488837888588,0.9714867617107944,0.991911358760399
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,2,81.3222599029541,0.4204745292663574,24.59829330444336,34.025814056396484,0.90625,0.9120982986767485,0.9835983084961473,0.7574004006231916,0.0,nan,0.9773000400587528,0.9855540448674371,0.9948657848162207
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,0,81.47633743286133,0.38757824897766113,24.509571075439453,33.972633361816406,0.9067540322580645,0.9125295508274232,0.9835434159432369,0.7569552637436011,0.0,nan,0.9774335692348778,0.9856378006288774,0.9948615068252737
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,0,81.42293190956116,0.41220784187316895,24.588394165039062,34.0695915222168,0.9067540322580645,0.9125295508274232,0.9835220688393274,0.7580681059425773,0.0,nan,0.9773000400587528,0.9855540448674371,0.9948569158105989
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,1,81.42173361778259,0.48990440368652344,29.576393127441406,11.639106750488281,0.9581653225806451,0.9582284851534978,0.9902891007786611,0.8852253756260434,0.0,nan,0.9648445649906113,0.971404327535002,0.9919256127798382
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,2,81.54561734199524,0.38750624656677246,24.511354446411133,33.96845626831055,0.9067540322580645,0.9125295508274232,0.9835383332994492,0.7569552637436011,0.0,nan,0.9775670984110028,0.9857215706272311,0.9948609851190606
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,1,81.49314975738525,0.4235115051269531,27.584543228149414,23.889223098754883,0.9390120967741935,0.9405989199803634,0.9873462500254131,0.8311074012242626,0.0,nan,0.9706723891273248,0.9791029561671764,0.9939475829505914
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,2,81.52338933944702,0.41060853004455566,27.509958267211914,23.785247802734375,0.9380040322580645,0.9396763119176066,0.9873757293593836,0.830550918196995,0.0,nan,0.9707916070577015,0.9791861354175515,0.9939535786443359
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,2,81.55631470680237,0.4674503803253174,29.57142448425293,11.634039878845215,0.9581653225806451,0.9582284851534978,0.9902891007786611,0.8852253756260434,0.0,nan,0.9649488837888588,0.9714867617107944,0.9919268254010745
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,0,81.6139018535614,0.43708038330078125,29.56719207763672,11.641434669494629,0.9581653225806451,0.9582284851534978,0.9902891007786611,0.8852253756260434,0.0,nan,0.9648445649906113,0.971404327535002,0.9919257500577139
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,2,81.88221836090088,0.4721839427947998,29.6176815032959,11.843586921691895,0.9576612903225806,0.9577464788732395,0.9903236627564194,0.8843906510851419,0.0,nan,0.9647402461923639,0.971317040054311,0.9919299827922182
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,0,82.01795053482056,0.4306447505950928,35.39169692993164,32.37807083129883,0.9380040322580645,0.9397944199706314,0.9869528533962226,0.8319421257651641,0.0,nan,0.9706723891273248,0.979113601630158,0.9935501156124699
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,1,82.31285095214844,0.47505855560302734,29.67084312438965,11.903433799743652,0.9581653225806451,0.9582284851534978,0.990299266066237,0.8852253756260434,0.0,nan,0.9649488837888588,0.9714916002036313,0.9919178108205625
