method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,500.36426401138306,18.616869688034058,86.96178436279297,31.299971961975096,0.8785,0.8775041698133941,0.9888559509506327,0.677,0.8073941562313656,nan,0.8819824561403509,0.8810044542031312,0.9884261354389006
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,503.5906138420105,16.8334698677063,86.45877838134766,39.98754196166992,0.8588,0.8543290710950129,0.9872275615916919,0.4593333333333333,0.6295111923252626,nan,0.8837657657657658,0.8823837474032323,0.9887765238626562
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,527.096508026123,18.100948572158813,86.43978118896484,39.86156234741211,0.8588,0.8543549985350508,0.9872107045106011,0.466,0.6357435197817191,nan,0.8834594594594595,0.8820265325179139,0.9887207005063259
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,538.0581617355347,19.382219791412354,86.1791763305664,3.4970505595207215,0.8871,0.8863508870136512,0.9898479794658547,0.825,0.9041095890410957,nan,0.8798316498316499,0.8789254070041814,0.9883046722556698
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,541.0309565067291,18.20272421836853,85.92528533935547,10.766159236431122,0.8788,0.8777269156079578,0.9888804587821,0.679,0.8088147706968434,nan,0.8820701754385964,0.8810937632456451,0.9884376403701045
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,546.3581478595734,16.714705228805542,85.36248016357422,21.769213247299195,0.8583,0.8537172299731366,0.987263591461885,0.4617777777777778,0.6318029796290666,nan,0.8837477477477478,0.8823323192692818,0.9887835443741915
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,751.0909292697906,23.63430428504944,86.17903900146484,3.5052635431289674,0.8869,0.8861544090463164,0.9898472043776823,0.825,0.9041095890410957,nan,0.8798148148148148,0.8789087757397791,0.988304400045282
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,756.202942609787,21.860183477401733,87.10730743408203,26.07261791229248,0.8864,0.8856453538169575,0.9897776649639409,0.825,0.9041095890410957,nan,0.8796632996632997,0.87873767538936,0.9882629795354667
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,760.9461743831635,23.64427351951599,87.12617492675781,26.056279754638673,0.8865,0.8857446539901661,0.9898327084238391,0.8183333333333334,0.9000916590284143,nan,0.8796969696969696,0.878797103113747,0.9882920767986672
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,777.3277478218079,18.23226571083069,85.3564224243164,21.077354168891908,0.8581,0.8535266295493286,0.9872675732502909,0.46066666666666667,0.6307622090369694,nan,0.8838198198198198,0.8824132447921239,0.9887881594815257
