method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,2274.6161139011383,33.81967234611511,85.93009185791016,11.569680523872375,0.8785,0.8774161778258058,0.9888747173361254,0.6796666666666666,0.8092875570549711,nan,0.8821052631578947,0.881124241156901,0.9884339627535563
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,2,2278.1927206516266,33.87072420120239,85.9251480102539,10.76870254278183,0.8788,0.8777269156079578,0.9888809474111167,0.6793333333333333,0.8090512107979357,nan,0.8820877192982456,0.8811113078535291,0.9884374917264236
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,2,2277.066750764847,35.25959801673889,86.17909240722656,3.5058085799217222,0.8871,0.8863508870136512,0.98984743261093,0.825,0.9041095890410957,nan,0.8798653198653199,0.8789603593680796,0.9883045727155879
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,2279.528453350067,33.573299407958984,86.96178436279297,31.299971961975096,0.8785,0.8775041698133941,0.9888559509506327,0.677,0.8073941562313656,nan,0.8819824561403509,0.8810044542031312,0.9884261354389006
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,2,2280.876335144043,33.384379386901855,85.35649871826172,21.075978779792784,0.8582,0.8536229976491077,0.9872677782422276,0.46066666666666667,0.6307622090369694,nan,0.8838198198198198,0.8824134312119695,0.988788573504707
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,2279.344647169113,35.19379138946533,86.1791763305664,3.4970505595207215,0.8871,0.8863508870136512,0.9898479794658547,0.825,0.9041095890410957,nan,0.8798316498316499,0.8789254070041814,0.9883046722556698
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,2280.5483164787292,34.37931823730469,86.9383316040039,31.261808967590333,0.8786,0.8775601176725182,0.9888114273331314,0.6796666666666666,0.8092875570549711,nan,0.8819824561403509,0.880991017841534,0.9883864871773562
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,2282.6457471847534,33.2900013923645,85.36248016357422,21.769213247299195,0.8583,0.8537172299731366,0.987263591461885,0.4617777777777778,0.6318029796290666,nan,0.8837477477477478,0.8823323192692818,0.9887835443741915
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,2,2281.4604568481445,34.73219537734985,86.18425750732422,4.450590181350708,0.8873,0.8865430253425202,0.9898464235027218,0.825,0.9041095890410957,nan,0.87996632996633,0.8790631007266866,0.9883045922837189
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,2282.964604616165,33.13865613937378,85.92528533935547,10.766159236431122,0.8788,0.8777269156079578,0.9888804587821,0.679,0.8088147706968434,nan,0.8820701754385964,0.8810937632456451,0.9884376403701045
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,0,2281.6067345142365,35.04392075538635,86.18360900878906,4.464764094352722,0.8868,0.8860545495640206,0.9898434340856322,0.825,0.9041095890410957,nan,0.8797811447811448,0.8788728370345675,0.9883019997609086
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,2284.415839910507,33.434314012527466,85.92499542236328,10.76997002363205,0.8788,0.8777269156079578,0.988880502180117,0.679,0.8088147706968434,nan,0.8820701754385964,0.8810933677859641,0.9884371864371072
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,2285.936725616455,32.733763694763184,86.43978118896484,39.86156234741211,0.8588,0.8543549985350508,0.9872107045106011,0.466,0.6357435197817191,nan,0.8834594594594595,0.8820265325179139,0.9887207005063259
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,1,0,2286.333076477051,34.40292000770569,87.10730743408203,26.07261791229248,0.8864,0.8856453538169575,0.9897776649639409,0.825,0.9041095890410957,nan,0.8796632996632997,0.87873767538936,0.9882629795354667
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,2287.646857023239,34.95145773887634,86.17903900146484,3.5052635431289674,0.8869,0.8861544090463164,0.9898472043776823,0.825,0.9041095890410957,nan,0.8798148148148148,0.8789087757397791,0.988304400045282
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,1,2290.3921632766724,33.258933782577515,85.93238067626953,11.550546479225158,0.8788,0.8777258054781029,0.9888803588595693,0.679,0.8088147706968434,nan,0.8820701754385964,0.8810971982854827,0.9884378437227422
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,2,2291.725732088089,33.64545130729675,85.93080139160156,11.545972633361817,0.879,0.8779377004904932,0.9888803989693061,0.68,0.8095238095238095,nan,0.882140350877193,0.8811618504805687,0.9884365416057882
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,1,2293.8429968357086,32.613738775253296,85.35663604736328,21.075994610786438,0.8581,0.8535266295493286,0.9872678562346549,0.46066666666666667,0.6307622090369694,nan,0.8838198198198198,0.8824126345178209,0.9887886867665149
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,1,2292.3175296783447,34.296417474746704,86.18534088134766,4.4067988157272335,0.8871,0.8863574689064732,0.9898487242473099,0.825,0.9041095890410957,nan,0.8799158249158249,0.879009849021448,0.9883047927707427
