strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8671998977661133,1.8671910762786865,0,8.821487426757812e-06,0.9662298387096774,0.94,0.94,0.026089225150012305,None,0.0005040322580645018,0.94,100,False,0.30000001192092896,0.30000001192092896,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8844845294952393,1.884479284286499,0,5.245208740234375e-06,0.9662298387096774,0.94,0.94,0.026089225150012305,None,0.0005040322580645018,0.94,200,False,0.3700000047683716,0.33500000834465027,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8791484832763672,1.8791439533233643,0,4.5299530029296875e-06,0.9662298387096774,0.95,0.97,0.026089225150012305,None,0.0005040322580645018,0.95,300,False,0.3700000047683716,0.3466666638851166,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8949086666107178,1.8949034214019775,0,5.245208740234375e-06,0.9662298387096774,0.9525,0.96,0.026089225150012305,None,0.0005040322580645018,0.9525,400,False,0.4099999964237213,0.36250001192092896,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8791728019714355,1.8791627883911133,0,1.0013580322265625e-05,0.9657258064516129,0.956,0.97,0.0,None,0.0,0.956,500,False,0.4300000071525574,0.37599998712539673,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8635969161987305,1.8635919094085693,0,5.0067901611328125e-06,0.9662298387096774,0.9583333333333334,0.97,0.026089225150012305,None,0.0005040322580645018,0.9583333333333334,600,False,0.4399999976158142,0.3866666555404663,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8607466220855713,1.8607404232025146,0,6.198883056640625e-06,0.9662298387096774,0.9628571428571429,0.99,0.026089225150012305,None,0.0005040322580645018,0.9628571428571429,700,False,0.4300000071525574,0.3928571343421936,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8677113056182861,1.8677055835723877,0,5.7220458984375e-06,0.9662298387096774,0.96625,0.99,0.026089225150012305,None,0.0005040322580645018,0.96625,800,False,0.5099999904632568,0.4074999988079071,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8810503482818604,1.8810451030731201,0,5.245208740234375e-06,0.9662298387096774,0.9644444444444444,0.95,0.026089225150012305,None,0.0005040322580645018,0.9644444444444444,900,False,0.49000000953674316,0.4166666567325592,None,None,0
golatkar,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,100,1000,1.0,1,1.8583793640136719,1.8583743572235107,0,5.0067901611328125e-06,0.9667338709677419,0.966,0.98,0.052164840897233784,None,0.0010080645161290036,0.966,1000,False,0.4399999976158142,0.4189999997615814,None,None,0
