strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.26599669456482,21.262377738952637,0,0.003618955612182617,0.8859,0.89,0.89,0.011289230074507675,0.015431549999941946,0.00019999999999997797,0.89,100,False,0.10999999940395355,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.830394983291626,21.82598090171814,0,0.004414081573486328,0.8862,0.855,0.82,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.855,200,False,0.07000000029802322,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.417900562286377,21.414311170578003,0,0.0035893917083740234,0.886,0.8466666666666667,0.83,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8466666666666667,300,False,0.09000000357627869,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.71188974380493,21.708184719085693,0,0.0037050247192382812,0.8861,0.845,0.84,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.845,400,False,0.07000000029802322,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.25444006919861,21.250281810760498,0,0.0041582584381103516,0.886,0.86,0.92,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.86,500,False,0.11999999731779099,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.161756992340088,21.157736778259277,0,0.004020214080810547,0.886,0.8566666666666667,0.84,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8566666666666667,600,False,0.10999999940395355,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.791930675506592,20.78799271583557,0,0.003937959671020508,0.8863,0.86,0.88,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.86,700,False,0.07000000029802322,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.785710334777832,21.781498908996582,0,0.00421142578125,0.8862,0.8625,0.88,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.8625,800,False,0.09000000357627869,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.796323776245117,20.792272090911865,0,0.004051685333251953,0.8861,0.8655555555555555,0.89,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8655555555555555,900,False,0.07999999821186066,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.359217643737793,21.355223178863525,0,0.003994464874267578,0.8861,0.866,0.87,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.866,1000,False,0.11999999731779099,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.279848337173462,21.275259256362915,0,0.004589080810546875,0.8862,0.8690909090909091,0.9,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.8690909090909091,1100,False,0.20000000298023224,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.638928651809692,21.634835481643677,0,0.004093170166015625,0.886,0.865,0.82,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.865,1200,False,0.10000000149011612,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.529791593551636,21.525634765625,0,0.004156827926635742,0.886,0.8669230769230769,0.89,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8669230769230769,1300,False,0.07000000029802322,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.163349151611328,21.158756256103516,0,0.0045928955078125,0.8859,0.8685714285714285,0.89,0.011289230074507675,0.015431549999941946,0.00019999999999997797,0.8685714285714285,1400,False,0.11999999731779099,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.603426456451416,21.599148511886597,0,0.004277944564819336,0.8862,0.872,0.92,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.872,1500,False,0.15000000596046448,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.736424446105957,21.73212218284607,0,0.004302263259887695,0.8863,0.871875,0.87,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.871875,1600,False,0.10000000149011612,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,22.08020520210266,22.07552170753479,0,0.004683494567871094,0.8862,0.8735294117647059,0.9,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.8735294117647059,1700,False,0.10999999940395355,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.145222663879395,20.140649795532227,0,0.004572868347167969,0.8861,0.8738888888888889,0.88,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8738888888888889,1800,False,0.05000000074505806,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.792754650115967,20.788320302963257,0,0.004434347152709961,0.8861,0.8757894736842106,0.91,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8757894736842106,1900,False,0.10999999940395355,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.70802402496338,21.70321297645569,0,0.00481104850769043,0.8862,0.8765,0.9,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.8765,2000,False,0.15000000596046448,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.42432951927185,21.419535636901855,0,0.004793882369995117,0.8862,0.8795238095238095,0.94,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.8795238095238095,2100,False,0.10000000149011612,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.41232943534851,21.407891988754272,0,0.004437446594238281,0.8861,0.8781818181818182,0.85,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8781818181818182,2200,False,0.05999999865889549,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.17607569694519,21.170804500579834,0,0.005271196365356445,0.8861,0.8782608695652174,0.88,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8782608695652174,2300,False,0.07000000029802322,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.43301296234131,21.428313732147217,0,0.004699230194091797,0.8863,0.8758333333333334,0.82,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.8758333333333334,2400,False,0.12999999523162842,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.704302310943604,20.69943594932556,0,0.004866361618041992,0.8862,0.876,0.88,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.876,2500,False,0.10000000149011612,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.924720287322998,20.919479608535767,0,0.005240678787231445,0.8864,0.875,0.84,0.039501156819588226,0.05399518589788389,0.0006999999999999229,0.875,2600,False,0.05999999865889549,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.315042972564697,21.310237407684326,0,0.004805564880371094,0.8863,0.8751851851851852,0.89,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.8751851851851852,2700,False,0.05999999865889549,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.226564645767212,21.22176241874695,0,0.004802227020263672,0.8861,0.8742857142857143,0.85,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.8742857142857143,2800,False,0.12999999523162842,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.20981502532959,21.204490900039673,0,0.005324125289916992,0.886,0.8744827586206897,0.88,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8744827586206897,2900,False,0.17000000178813934,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.753313302993774,20.748436212539673,0,0.0048770904541015625,0.886,0.8756666666666667,0.91,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8756666666666667,3000,False,0.10999999940395355,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.159782886505127,21.15472936630249,0,0.005053520202636719,0.8859,0.8777419354838709,0.93,0.011289230074507675,0.015431549999941946,0.00019999999999997797,0.8777419354838709,3100,False,0.05000000074505806,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.19405746459961,21.188560724258423,0,0.0054967403411865234,0.8861,0.87625,0.83,0.022575911502424426,0.030859616186812457,0.00039999999999995595,0.87625,3200,False,0.07999999821186066,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,20.96050500869751,20.956868886947632,0,0.0036361217498779297,0.886,0.8763636363636363,0.89,0.01693288931534498,0.023146018496272357,0.00029999999999996696,0.8763636363636363,3300,False,0.07999999821186066,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.49266219139099,21.48859143257141,0,0.004070758819580078,0.8863,0.8767647058823529,0.88,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.8767647058823529,3400,False,0.12999999523162842,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.17086100578308,21.167118310928345,0,0.003742694854736328,0.8862,0.876,0.86,0.028218296743605445,0.03857234321899818,0.0004999999999999449,0.876,3500,False,0.09000000357627869,9.0,5,1.3669266989950082,0
golatkar_disparity_thresh_v2,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,2,21.104199171066284,21.100208520889282,0,0.003990650177001953,0.8863,0.8775,0.92,0.03386004514672313,0.0462841997402322,0.0005999999999999339,0.8775,3600,False,0.09000000357627869,9.0,5,1.3669266989950082,0
