strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,8.344650268554688e-06,0,0,8.344650268554688e-06,0.96875,0.97,0.97,0.0,100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.955,0.94,0.0,200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.96,0.97,0.0,300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.95,0.92,0.0,400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.952,0.96,0.0,500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.955,0.97,0.0,600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.9528571428571428,0.94,0.0,700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9575,0.99,0.0,800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9577777777777777,0.96,0.0,900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.956,0.94,0.0,1000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.9563636363636364,0.96,0.0,1100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9541666666666667,0.93,0.0,1200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9546153846153846,0.96,0.0,1300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9542857142857143,0.95,0.0,1400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9553333333333334,0.97,0.0,1500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.955,0.95,0.0,1600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9552941176470588,0.96,0.0,1700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9555555555555556,0.96,0.0,1800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9536842105263158,0.92,0.0,1900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9535,0.95,0.0,2000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9538095238095238,0.96,0.0,2100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9536363636363636,0.95,0.0,2200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9543478260869566,0.97,0.0,2300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.955,0.97,0.0,2400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9556,0.97,0.0,2500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9561538461538461,0.97,0.0,2600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9566666666666667,0.97,0.0,2700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.9567857142857142,0.96,0.0,2800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.9582758620689655,1.0,0.0,2900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.959,0.98,0.0,3000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9587096774193549,0.95,0.0,3100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.959375,0.98,0.0,3200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.96,0.98,0.0,3300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9594117647058824,0.94,0.0,3400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9591428571428572,0.95,0.0,3500,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9591666666666666,0.96,0.0,3600,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,7.152557373046875e-07,0,0,7.152557373046875e-07,0.96875,0.9597297297297297,0.98,0.0,3700,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9602631578947368,0.98,0.0,3800,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.9607692307692308,0.98,0.0,3900,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9605,0.95,0.0,4000,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.96875,0.96,0.94,0.0,4100,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.96,0.96,0.0,4200,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9595348837209302,0.94,0.0,4300,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9595454545454546,0.96,0.0,4400,False,1.0,1.0,None
nothing,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,1024,1000,9.5367431640625e-07,0,0,9.5367431640625e-07,0.96875,0.9599376808368574,0.978494623655914,0.0,4493,False,1.0,1.0,None
