strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,2.384185791015625e-06,0,0,2.384185791015625e-06,0.9692540322580645,0.88,0.88,0.0,None,0.0,0.88,100,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9692540322580645,0.925,0.97,0.0,None,0.0,0.925,200,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9692540322580645,0.9466666666666667,0.99,0.0,None,0.0,0.9466666666666667,300,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9692540322580645,0.9475,0.95,0.0,None,0.0,0.9475,400,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9692540322580645,0.948,0.95,0.0,None,0.0,0.948,500,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9692540322580645,0.95,0.96,0.0,None,0.0,0.95,600,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,2.6226043701171875e-06,0,0,2.6226043701171875e-06,0.9692540322580645,0.95,0.95,0.0,None,0.0,0.95,700,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.9692540322580645,0.95125,0.96,0.0,None,0.0,0.95125,800,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,7.152557373046875e-07,0,0,7.152557373046875e-07,0.9692540322580645,0.95,0.94,0.0,None,0.0,0.95,900,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9692540322580645,0.953,0.98,0.0,None,0.0,0.953,1000,False,1.0,1.0,None,None,0
nothing,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,100,1000,1.0,3,9.5367431640625e-07,0,0,9.5367431640625e-07,0.9692540322580645,0.9536363636363636,0.96,0.0,None,0.0,0.9536363636363636,1100,False,1.0,1.0,None,None,0
