strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.8865,0.89,0.89,0.0,None,0.0,0.89,100,False,0.10999999940395355,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.8865,0.86,0.83,0.0,None,0.0,0.86,200,False,0.07000000029802322,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.85,0.83,0.0,None,0.0,0.85,300,False,0.09000000357627869,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.8865,0.8475,0.84,0.0,None,0.0,0.8475,400,False,0.07000000029802322,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.8865,0.862,0.92,0.0,None,0.0,0.862,500,False,0.11999999731779099,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8865,0.8583333333333333,0.84,0.0,None,0.0,0.8583333333333333,600,False,0.10999999940395355,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.9073486328125e-06,0,0,1.9073486328125e-06,0.8865,0.8628571428571429,0.89,0.0,None,0.0,0.8628571428571429,700,False,0.07000000029802322,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.86625,0.89,0.0,None,0.0,0.86625,800,False,0.09000000357627869,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,9.5367431640625e-07,0,0,9.5367431640625e-07,0.8865,0.8688888888888889,0.89,0.0,None,0.0,0.8688888888888889,900,False,0.07999999821186066,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.869,0.87,0.0,None,0.0,0.869,1000,False,0.11999999731779099,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.8718181818181818,0.9,0.0,None,0.0,0.8718181818181818,1100,False,0.20000000298023224,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8865,0.8675,0.82,0.0,None,0.0,0.8675,1200,False,0.10000000149011612,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.8692307692307693,0.89,0.0,None,0.0,0.8692307692307693,1300,False,0.07000000029802322,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.430511474609375e-06,0,0,1.430511474609375e-06,0.8865,0.87,0.88,0.0,None,0.0,0.87,1400,False,0.11999999731779099,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.6689300537109375e-06,0,0,1.6689300537109375e-06,0.8865,0.8733333333333333,0.92,0.0,None,0.0,0.8733333333333333,1500,False,0.15000000596046448,9.0,None,None,0
nothing,0.0001,True,0.075,100,1,3,uniform_random,0,SGD,1.0,False,100,200,1.0,4,1.1920928955078125e-06,0,0,1.1920928955078125e-06,0.8865,0.87375,0.88,0.0,None,0.0,0.87375,1600,False,0.10000000149011612,9.0,None,None,0
