strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.491733312606812,0,13.491722822189331,1.049041748046875e-05,0.9692540322580645,0.97,0.97,0.026007802340701474,None,0.0005040322580645018,"{0: 0.97, 100: 1}",100,True,1.0,1.0,None,None,100
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.488074779510498,0,13.488065958023071,8.821487426757812e-06,0.9692540322580645,0.955,0.94,0.026007802340701474,None,0.0005040322580645018,"{0: 0.955, 100: 0.94, 200: 1}",200,True,1.0,1.0,None,None,200
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.395371675491333,0,13.395363569259644,8.106231689453125e-06,0.9692540322580645,0.96,0.97,0.026007802340701474,None,0.0005040322580645018,"{0: 0.96, 100: 0.955, 200: 0.97, 300: 1}",300,True,1.0,1.0,None,None,300
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.187046766281128,0,13.187038660049438,8.106231689453125e-06,0.9692540322580645,0.945,0.91,0.026007802340701474,None,0.0005040322580645018,"{0: 0.945, 100: 0.94, 200: 0.94, 300: 0.91, 400: 1}",400,True,1.0,1.0,None,None,400
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.15248966217041,0,13.15248155593872,8.106231689453125e-06,0.96875,0.948,0.96,0.0,None,0.0,"{0: 0.948, 100: 0.945, 200: 0.9466666666666667, 300: 0.935, 400: 0.96, 500: 1}",500,True,1.0,1.0,None,None,500
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.210132837295532,0,13.210126161575317,6.67572021484375e-06,0.9692540322580645,0.95,0.96,0.026007802340701474,None,0.0005040322580645018,"{0: 0.95, 100: 0.948, 200: 0.95, 300: 0.9433333333333334, 400: 0.96, 500: 0.96, 600: 1}",600,True,1.0,1.0,None,None,600
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,13.198857307434082,0,13.198851108551025,6.198883056640625e-06,0.96875,0.9485714285714286,0.94,0.0,None,0.0,"{0: 0.9485714285714286, 100: 0.9466666666666667, 200: 0.948, 300: 0.9425, 400: 0.9533333333333334, 500: 0.95, 600: 0.94, 700: 1}",700,True,1.0,1.0,None,None,700
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,12.69408631324768,0,12.69406509399414,2.1219253540039062e-05,0.9682459677419355,0.9525,0.99,0.026021337496746594,None,0.0005040322580645018,"{0: 0.9525, 100: 0.9514285714285714, 200: 0.9533333333333334, 300: 0.95, 400: 0.96, 500: 0.96, 600: 0.965, 700: 0.99, 800: 1}",800,True,1.0,1.0,None,None,800
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,12.532215595245361,0,12.532207489013672,8.106231689453125e-06,0.9672379032258065,0.9511111111111111,0.95,0.0781046602447257,None,0.0015120967741935054,"{0: 0.9511111111111111, 100: 0.95, 200: 0.9514285714285714, 300: 0.9483333333333334, 400: 0.956, 500: 0.955, 600: 0.9566666666666667, 700: 0.965, 800: 0.95, 900: 1}",900,True,1.0,1.0,None,None,900
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,12.551378965377808,0,12.55137300491333,5.9604644775390625e-06,0.9672379032258065,0.947,0.91,0.0781046602447257,None,0.0015120967741935054,"{0: 0.947, 100: 0.9455555555555556, 200: 0.94625, 300: 0.9428571428571428, 400: 0.9483333333333334, 500: 0.946, 600: 0.945, 700: 0.9466666666666667, 800: 0.93, 900: 0.91, 1000: 1}",1000,True,1.0,1.0,None,None,1000
retrain,0.0001,True,0.375,100,0,0,targeted_random,0,SGD,1.0,False,100,1000,0.0,0,12.586249113082886,0,12.586241960525513,7.152557373046875e-06,0.9667338709677419,0.9481818181818182,0.96,0.10416666666666945,None,0.0020161290322581182,"{0: 0.9481818181818182, 100: 0.947, 200: 0.9477777777777778, 300: 0.945, 400: 0.95, 500: 0.9483333333333334, 600: 0.948, 700: 0.95, 800: 0.94, 900: 0.935, 1000: 0.96, 1100: 1}",1100,True,1.0,1.0,None,None,1100
