strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,15.86136245727539,0,15.861348152160645,1.430511474609375e-05,0.9621975806451613,0.95,0.95,0.0,100,True,0.30000001192092896,0.30000001192092896,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,14.927282571792603,0,14.927274942398071,7.62939453125e-06,0.9621975806451613,0.93,0.91,0.0,200,True,0.3700000047683716,0.33500000834465027,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,15.097513914108276,0,15.097506523132324,7.3909759521484375e-06,0.9621975806451613,0.9433333333333334,0.97,0.0,300,True,0.3700000047683716,0.3466666638851166,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,13.47711181640625,0,13.477104663848877,7.152557373046875e-06,0.9621975806451613,0.9475,0.96,0.0,400,True,0.4099999964237213,0.36250001192092896,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,13.40522050857544,0,13.40520453453064,1.5974044799804688e-05,0.9621975806451613,0.954,0.98,0.0,500,True,0.4300000071525574,0.37599998712539673,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,13.20803189277649,0,13.208025693893433,6.198883056640625e-06,0.9621975806451613,0.955,0.96,0.0,600,True,0.4399999976158142,0.3866666555404663,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.971479177474976,0,11.971462726593018,1.6450881958007812e-05,0.9621975806451613,0.9585714285714285,0.98,0.0,700,True,0.4300000071525574,0.3928571343421936,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.686703443527222,0,12.686690092086792,1.33514404296875e-05,0.9621975806451613,0.9625,0.99,0.0,800,True,0.5099999904632568,0.4074999988079071,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.872029542922974,0,12.872021675109863,7.867813110351562e-06,0.9621975806451613,0.96,0.95,0.0,900,True,0.49000000953674316,0.4166666567325592,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.776066541671753,0,12.776058912277222,7.62939453125e-06,0.9621975806451613,0.962,0.97,0.0,1000,True,0.4399999976158142,0.4189999997615814,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.02652645111084,0,12.026519298553467,7.152557373046875e-06,0.9621975806451613,0.9590909090909091,0.94,0.0,1100,True,0.5199999809265137,0.42818182706832886,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.792706727981567,0,12.792699575424194,7.152557373046875e-06,0.9616935483870968,0.9608333333333333,0.96,0.026198585276394327,1200,True,0.46000000834465027,0.4308333396911621,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.032872438430786,0,12.032859086990356,1.33514404296875e-05,0.9616935483870968,0.9576923076923077,0.95,0.026198585276394327,1300,True,0.38999998569488525,0.4276922941207886,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,10.577258110046387,0,10.577250957489014,7.152557373046875e-06,0.9616935483870968,0.9585714285714285,0.97,0.026198585276394327,1400,True,0.550000011920929,0.43642857670783997,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,10.44568920135498,0,10.445680379867554,8.821487426757812e-06,0.9616935483870968,0.9593333333333334,0.96,0.026198585276394327,1500,True,0.4699999988079071,0.4386666715145111,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,12.099499702453613,0,12.099488973617554,1.0728836059570312e-05,0.9621975806451613,0.958125,0.95,0.0,1600,True,0.4399999976158142,0.4387499988079071,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,10.810092210769653,0,10.81008505821228,7.152557373046875e-06,0.9621975806451613,0.9588235294117647,0.97,0.0,1700,True,0.4699999988079071,0.44058823585510254,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,10.265189409255981,0,10.265182495117188,6.9141387939453125e-06,0.9627016129032258,0.9566666666666667,0.94,0.026184865147943746,1800,True,0.5400000214576721,0.44611111283302307,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.663815975189209,0,9.663807153701782,8.821487426757812e-06,0.9627016129032258,0.9547368421052631,0.92,0.026184865147943746,1900,True,0.5,0.44894737005233765,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,10.457696914672852,0,10.457682132720947,1.4781951904296875e-05,0.9621975806451613,0.9535,0.93,0.0,2000,True,0.4699999988079071,0.44999998807907104,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.574512720108032,0,11.574503898620605,8.821487426757812e-06,0.9621975806451613,0.9547619047619048,0.98,0.0,2100,True,0.4099999964237213,0.4480952322483063,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.385416984558105,0,11.385406970977783,1.0013580322265625e-05,0.9616935483870968,0.9559090909090909,0.98,0.026198585276394327,2200,True,0.5299999713897705,0.45181816816329956,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.321789979934692,0,11.32178258895874,7.3909759521484375e-06,0.9621975806451613,0.9534782608695652,0.92,0.0,2300,True,0.550000011920929,0.4560869634151459,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.624663352966309,0,11.624655961990356,7.3909759521484375e-06,0.9616935483870968,0.955,0.98,0.026198585276394327,2400,True,0.49000000953674316,0.45750001072883606,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.570462226867676,0,11.570455551147461,6.67572021484375e-06,0.9616935483870968,0.9556,0.98,0.026198585276394327,2500,True,0.550000011920929,0.4611999988555908,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,11.011433839797974,0,11.0114266872406,7.152557373046875e-06,0.9616935483870968,0.955,0.93,0.026198585276394327,2600,True,0.4399999976158142,0.4603846073150635,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.478651285171509,0,9.478635787963867,1.5497207641601562e-05,0.9616935483870968,0.9548148148148148,0.97,0.026198585276394327,2700,True,0.4099999964237213,0.45851850509643555,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.63510799407959,0,9.635098218917847,9.775161743164062e-06,0.9616935483870968,0.9535714285714286,0.94,0.026198585276394327,2800,True,0.5400000214576721,0.46142858266830444,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.377151012420654,0,9.377145767211914,5.245208740234375e-06,0.9611895161290323,0.9534482758620689,0.94,0.05241090146750375,2900,True,0.4000000059604645,0.4593103528022766,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.538887023925781,0,9.538877964019775,9.059906005859375e-06,0.9611895161290323,0.953,0.94,0.05241090146750375,3000,True,0.4699999988079071,0.4596666693687439,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.05506443977356,0,9.055057048797607,7.3909759521484375e-06,0.9611895161290323,0.9516129032258065,0.94,0.05241090146750375,3100,True,0.4000000059604645,0.45774194598197937,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.237828969955444,0,9.237821578979492,7.3909759521484375e-06,0.9611895161290323,0.9521875,0.97,0.05241090146750375,3200,True,0.4699999988079071,0.4581249952316284,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.489678382873535,0,9.48966932296753,9.059906005859375e-06,0.9601814516129032,0.9503030303030303,0.91,0.10487676979548732,3300,True,0.5299999713897705,0.46030303835868835,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.152491331100464,0,9.152485609054565,5.7220458984375e-06,0.9601814516129032,0.9494117647058824,0.92,0.10487676979548732,3400,True,0.5199999809265137,0.46205881237983704,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.350128650665283,0,9.350120544433594,8.106231689453125e-06,0.9601814516129032,0.95,0.97,0.10487676979548732,3500,True,0.5099999904632568,0.4634285569190979,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,8.682328701019287,0,8.682316780090332,1.1920928955078125e-05,0.9596774193548387,0.95,0.96,0.1311303435614964,3600,True,0.41999998688697815,0.46222221851348877,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,9.14314341545105,0,9.143136501312256,6.9141387939453125e-06,0.9591733870967742,0.95,0.95,0.1573976915005202,3700,True,0.5099999904632568,0.4635135233402252,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,8.824414491653442,0,8.824404001235962,1.049041748046875e-05,0.9586693548387096,0.9505263157894737,0.99,0.18367882445552405,3800,True,0.5199999809265137,0.4650000035762787,None
retrain,0.0001,True,0.375,100,0,0,uniform_informed,0,SGD,1.0,False,1024,1000,1.0,5,8.765269756317139,0,8.765262365341187,7.3909759521484375e-06,0.9586693548387096,0.9492307692307692,0.93,0.18367882445552405,3900,True,0.5,0.46589744091033936,None
