strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,checkpoint_remove_accuracy,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const,checkpoint_batch
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,163.4169156551361,0,163.4169042110443,1.1444091796875e-05,0.8867,0.8,0.8,0.016919519485651006,None,0.000300000000000078,"{0: 0.8, 100: 1}",100,True,0.0,9.0,None,None,100
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,152.1831774711609,0,152.18317031860352,7.152557373046875e-06,0.887,0.82,0.84,0.03383331453705001,None,0.0006000000000000449,"{0: 0.82, 100: 0.84, 200: 1}",200,True,0.0,9.0,None,None,200
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,152.37882900238037,0,152.3788194656372,9.5367431640625e-06,0.8868,0.84,0.91,0.02255808707421988,None,0.00040000000000006697,"{0: 0.84, 100: 0.87, 200: 0.91, 300: 1}",300,True,0.0,9.0,None,None,300
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,156.2426347732544,0,156.2426254749298,9.298324584960938e-06,0.8868,0.835,0.83,0.02255808707421988,None,0.00040000000000006697,"{0: 0.835, 100: 0.8566666666666667, 200: 0.87, 300: 0.83, 400: 1}",400,True,0.0,9.0,None,None,400
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,182.26129150390625,0,182.2612807750702,1.0728836059570312e-05,0.887,0.82,0.79,0.03383331453705001,None,0.0006000000000000449,"{0: 0.82, 100: 0.8325, 200: 0.8366666666666667, 300: 0.8, 400: 0.79, 500: 1}",500,True,0.0,9.0,None,None,500
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,164.74813890457153,0,164.74812746047974,1.1444091796875e-05,0.8865,0.8183333333333334,0.86,0.00564047605617852,None,9.999999999998899e-05,"{0: 0.8183333333333334, 100: 0.828, 200: 0.83, 300: 0.8066666666666666, 400: 0.815, 500: 0.86, 600: 1}",600,True,0.0,9.0,None,None,600
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,155.31641674041748,0,155.31640720367432,9.5367431640625e-06,0.8868,0.8142857142857143,0.82,0.02255808707421988,None,0.00040000000000006697,"{0: 0.8142857142857143, 100: 0.8233333333333334, 200: 0.824, 300: 0.805, 400: 0.8133333333333334, 500: 0.835, 600: 0.82, 700: 1}",700,True,0.0,9.0,None,None,700
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,153.5117383003235,0,153.51172852516174,9.775161743164062e-06,0.8865,0.80625,0.82,0.00564047605617852,None,9.999999999998899e-05,"{0: 0.80625, 100: 0.8171428571428572, 200: 0.8166666666666667, 300: 0.802, 400: 0.815, 500: 0.83, 600: 0.82, 700: 0.82, 800: 1}",800,True,0.0,9.0,None,None,800
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,152.5863437652588,0,152.58633542060852,8.344650268554688e-06,0.8865,0.8055555555555556,0.84,0.00564047605617852,None,9.999999999998899e-05,"{0: 0.8055555555555556, 100: 0.81625, 200: 0.8157142857142857, 300: 0.8033333333333333, 400: 0.816, 500: 0.83, 600: 0.8233333333333334, 700: 0.825, 800: 0.84, 900: 1}",900,True,0.0,9.0,None,None,900
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,152.54388618469238,0,152.54387617111206,1.0013580322265625e-05,0.8867,0.805,0.85,0.016919519485651006,None,0.000300000000000078,"{0: 0.805, 100: 0.8144444444444444, 200: 0.81375, 300: 0.8028571428571428, 400: 0.8133333333333334, 500: 0.828, 600: 0.825, 700: 0.8333333333333334, 800: 0.845, 900: 0.85, 1000: 1}",1000,True,0.0,9.0,None,None,1000
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,151.4728593826294,0,151.4728500843048,9.298324584960938e-06,0.8864,0.7927272727272727,0.81,0.0,None,0.0,"{0: 0.7927272727272727, 100: 0.804, 200: 0.8044444444444444, 300: 0.795, 400: 0.8028571428571428, 500: 0.815, 600: 0.812, 700: 0.82, 800: 0.83, 900: 0.83, 1000: 0.81, 1100: 1}",1100,True,0.0,9.0,None,None,1100
retrain,0.0001,True,0.075,100,0,3,targeted_informed,0,SGD,1.0,False,100,200,0.0,0,151.30904698371887,0,151.30903720855713,9.775161743164062e-06,0.8859,0.7866666666666666,0.81,0.02821192800315663,None,0.0004999999999999449,"{0: 0.7866666666666666, 100: 0.7972727272727272, 200: 0.798, 300: 0.7911111111111111, 400: 0.8, 500: 0.81, 600: 0.8083333333333333, 700: 0.814, 800: 0.82, 900: 0.8166666666666667, 1000: 0.8, 1100: 0.81, 1200: 1}",1200,True,0.0,9.0,None,None,1200
